,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600989,宝丰能源,15.21,1.53,0.23,0.13,0.2,0.78,2.6,2.16亿,73.33亿,1115.40亿,15.57
1,2,600348,华阳股份,15.39,1.38,0.21,-0.07,1.36,2.46,2.9,5.04亿,24.05亿,370.13亿,5.60
2,3,600881,亚泰集团,2.4,1.27,0.03,0.0,0.24,1.09,1.27,0.18亿,32.49亿,77.97亿,--
3,4,002072,凯瑞德,7.77,1.04,0.08,-0.13,1.68,1.47,3.38,0.34亿,2.58亿,20.02亿,--
4,5,601225,陕西煤业,18.73,1.02,0.19,0.16,0.1,0.81,1.35,1.84亿,96.95亿,1815.87亿,4.81
5,6,600051,宁波联合,8.04,1.0,0.08,-0.12,0.61,0.98,1.25,0.15亿,3.11亿,25.03亿,16.03
6,7,000683,远兴能源,9.21,0.99,0.09,0.0,0.51,1.08,2.63,1.55亿,32.77亿,301.80亿,10.67
7,8,600744,华银电力,4.47,0.9,0.04,0.0,0.87,1.41,1.58,0.32亿,8.28亿,37.00亿,--
8,9,600971,恒源煤电,8.28,0.85,0.07,0.12,0.78,1.43,1.22,0.77亿,12.00亿,99.36亿,4.64
9,10,600208,新湖中宝,2.72,0.74,0.02,0.0,0.29,1.12,1.11,0.67亿,85.98亿,233.87亿,10.98
10,11,000983,山西焦煤,11.43,0.7,0.08,0.09,0.42,0.88,1.5,1.99亿,40.97亿,468.24亿,5.38
11,12,600581,八一钢铁,4.43,0.68,0.03,0.23,0.51,1.0,1.36,0.34亿,15.33亿,67.91亿,--
12,13,601699,潞安环能,19.8,0.66,0.13,0.0,0.19,0.77,1.12,1.14亿,29.91亿,592.30亿,4.79
13,14,600157,永泰能源,1.6,0.63,0.01,0.0,0.35,0.94,1.26,1.22亿,222.18亿,355.48亿,17.30
14,15,600256,广汇能源,9.84,0.61,0.06,0.0,0.31,0.75,1.23,2.00亿,65.66亿,646.07亿,5.77
15,16,000552,靖远煤电,3.42,0.59,0.02,0.29,0.38,0.91,0.88,0.33亿,25.05亿,85.66亿,16.66
16,17,000010,美丽生态,3.5,0.57,0.02,0.0,0.41,0.68,0.86,0.08亿,5.22亿,18.28亿,--
17,18,600582,天地科技,5.29,0.57,0.03,0.38,0.18,0.72,0.76,0.40亿,41.39亿,218.93亿,10.26
18,19,000557,西部创业,5.32,0.57,0.03,0.0,0.35,1.05,1.13,0.27亿,14.58亿,77.56亿,25.58
19,20,000573,粤宏远A,4.19,0.48,0.02,-0.24,1.76,0.89,1.2,0.47亿,6.33亿,26.52亿,43.11
20,21,601088,中国神华,27.34,0.48,0.13,0.04,0.06,0.98,0.92,2.45亿,164.91亿,4508.65亿,6.89
21,22,600673,东阳光,9.29,0.43,0.04,0.0,0.18,1.04,1.08,0.49亿,29.95亿,278.25亿,29.36
22,23,000571,ST大洲,2.36,0.43,0.01,0.0,0.66,1.57,1.28,0.13亿,8.14亿,19.21亿,18.98
23,24,600997,开滦股份,7.13,0.42,0.03,0.0,0.14,0.76,0.56,0.16亿,15.88亿,113.21亿,4.66
24,25,600575,淮河能源,2.45,0.41,0.01,0.0,0.23,0.84,0.82,0.22亿,38.86亿,95.21亿,11.28
25,26,600188,兖矿能源,32.09,0.41,0.13,0.06,0.21,0.74,1.09,1.98亿,29.87亿,958.82亿,4.39
26,27,600408,安泰集团,2.69,0.37,0.01,-0.37,0.3,0.81,1.12,0.08亿,10.07亿,27.08亿,--
27,28,601898,中煤能源,8.4,0.36,0.03,0.0,0.07,0.98,0.84,0.57亿,91.52亿,768.77亿,4.32
28,29,600180,瑞茂通,6.19,0.32,0.02,0.0,0.17,1.05,0.65,0.11亿,10.52亿,65.11亿,12.82
29,30,600863,内蒙华电,3.59,0.28,0.01,0.0,0.18,0.41,0.56,0.43亿,65.27亿,234.31亿,11.28
30,31,600792,云煤能源,3.64,0.28,0.01,0.0,0.31,1.81,1.38,0.11亿,9.90亿,36.03亿,--
31,32,601666,平煤股份,11.11,0.27,0.03,0.09,0.31,0.85,0.9,0.78亿,22.94亿,254.89亿,4.08
32,33,601011,宝泰隆,3.74,0.27,0.01,0.27,0.32,1.07,0.8,0.23亿,19.16亿,71.65亿,48.42
33,34,600758,辽宁能源,4.07,0.25,0.01,0.0,0.34,0.99,0.74,0.18亿,13.21亿,53.75亿,18.82
34,35,600425,青松建化,4.14,0.24,0.01,-0.24,0.58,0.95,1.45,0.33亿,13.79亿,57.08亿,12.50
35,36,601918,新集能源,4.31,0.23,0.01,0.0,0.22,0.8,0.7,0.25亿,25.91亿,111.65亿,5.14
36,37,600295,鄂尔多斯,16.39,0.18,0.03,0.06,0.1,0.98,0.92,0.24亿,14.11亿,231.28亿,5.44
37,38,600740,山西焦化,5.67,0.18,0.01,-0.18,0.19,0.8,0.53,0.28亿,25.62亿,145.27亿,4.03
38,39,000937,冀中能源,6.55,0.15,0.01,0.0,0.19,0.59,0.61,0.37亿,29.07亿,190.38亿,4.36
39,40,601101,昊华能源,6.56,0.15,0.01,-0.15,0.23,0.89,0.61,0.21亿,14.40亿,94.61亿,4.64
40,41,000065,北方国际,10.0,0.1,0.01,0.1,1.06,0.84,2.2,0.96亿,9.05亿,90.53亿,15.06
41,42,600985,淮北矿业,13.26,0.08,0.01,0.0,0.1,0.68,0.53,0.32亿,24.81亿,328.99亿,4.73
42,43,600508,上海能源,14.63,0.07,0.01,0.0,0.32,0.87,0.48,0.33亿,7.23亿,105.73亿,3.74
43,44,601216,君正集团,4.45,0.0,0.0,0.0,0.11,0.84,0.67,0.42亿,84.38亿,375.49亿,10.31
44,45,600403,大有能源,4.92,0.0,0.0,0.0,0.12,1.19,0.61,0.14亿,23.91亿,117.63亿,6.44
45,46,600397,安源煤业,3.16,0.0,0.0,-0.32,0.41,0.8,0.95,0.13亿,9.90亿,31.28亿,--
46,47,600395,盘江股份,7.0,0.0,0.0,-0.14,0.27,1.08,0.43,0.40亿,21.47亿,150.26亿,6.80
47,48,600123,兰花科创,13.46,0.0,0.0,-0.07,0.42,0.86,0.59,0.65亿,11.42亿,153.77亿,4.18
48,49,600121,郑州煤电,5.21,0.0,0.0,-0.19,0.54,0.77,0.58,0.35亿,12.18亿,63.48亿,85.56
49,50,600089,特变电工,21.18,0.0,0.0,-0.05,0.32,0.95,0.85,2.61亿,38.85亿,822.94亿,5.58
