,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600665,天地源,3.94,2.34,0.09,0.0,0.73,1.61,3.12,0.25亿,8.64亿,34.05亿,37.66
1,2,002285,世联行,3.3,1.85,0.06,0.0,1.04,1.43,3.7,0.69亿,20.15亿,66.49亿,--
2,3,600383,金地集团,9.91,1.75,0.17,0.1,1.11,1.56,3.9,4.98亿,45.15亿,447.39亿,10.06
3,4,000861,海印股份,2.34,1.74,0.04,0.43,1.11,2.97,3.04,0.61亿,23.68亿,55.42亿,53.93
4,5,600748,上实发展,3.69,1.65,0.06,0.0,0.21,0.8,2.2,0.14亿,18.45亿,68.06亿,--
5,6,600724,宁波富达,4.08,1.49,0.06,0.25,0.63,4.39,4.97,0.38亿,14.45亿,58.95亿,25.10
6,7,000002,万科A,17.57,1.33,0.23,0.0,0.42,1.77,2.08,7.16亿,97.17亿,1707.34亿,8.99
7,8,000023,深天地A,11.64,1.31,0.15,0.09,1.65,2.98,4.96,0.27亿,1.39亿,16.15亿,--
8,9,600628,新世界,7.21,1.26,0.09,0.0,0.36,3.1,1.97,0.17亿,6.47亿,46.64亿,--
9,10,300917,特发服务,26.59,1.26,0.33,0.0,2.2,1.05,2.21,0.51亿,0.87亿,23.03亿,40.30
10,11,601992,金隅集团,2.62,1.16,0.03,0.0,0.16,1.13,1.93,0.35亿,83.34亿,218.35亿,9.01
11,12,000402,金融街,5.3,1.15,0.06,0.0,0.59,2.16,1.53,0.94亿,29.88亿,158.35亿,8.61
12,13,000882,华联股份,1.85,1.09,0.02,0.0,1.01,3.18,1.64,0.51亿,27.37亿,50.64亿,--
13,14,000631,顺发恒业,3.77,1.07,0.04,0.0,0.18,0.96,1.34,0.17亿,24.33亿,91.71亿,61.14
14,15,600621,华鑫股份,12.36,1.06,0.13,0.0,1.15,1.21,1.72,1.50亿,10.61亿,131.13亿,40.26
15,16,000056,皇庭国际,4.8,1.05,0.05,0.0,0.82,0.61,1.9,0.36亿,9.03亿,43.36亿,--
16,17,600051,宁波联合,8.04,1.0,0.08,-0.12,0.61,0.98,1.25,0.15亿,3.11亿,25.03亿,16.03
17,18,000011,深物业A,11.43,0.97,0.11,-0.09,0.42,0.86,1.24,0.25亿,5.26亿,60.18亿,11.21
18,19,600565,迪马股份,2.14,0.94,0.02,0.0,0.99,3.08,1.42,0.53亿,24.92亿,53.32亿,20.24
19,20,600048,保利发展,15.27,0.93,0.14,-0.07,0.35,1.6,2.45,6.36亿,119.70亿,1826.69亿,9.98
20,21,000029,深深房A,12.15,0.91,0.11,0.17,0.27,1.17,2.58,0.29亿,8.92亿,108.34亿,73.68
21,22,600622,光大嘉宝,3.32,0.91,0.03,0.0,0.39,0.78,0.91,0.19亿,15.00亿,49.79亿,61.23
22,23,600730,中国高科,6.82,0.89,0.06,-0.29,1.09,1.44,1.92,0.43亿,5.87亿,40.01亿,351.09
23,24,600638,新黄浦,5.96,0.85,0.05,0.17,0.24,0.86,1.18,0.10亿,6.73亿,40.13亿,40.15
24,25,600823,世茂股份,2.4,0.84,0.02,0.0,0.14,1.34,1.26,0.13亿,37.51亿,90.03亿,--
25,26,000965,天保基建,4.93,0.82,0.04,0.0,0.81,0.88,0.82,0.44亿,11.10亿,54.71亿,66.68
26,27,600149,廊坊发展,6.61,0.76,0.05,0.0,0.48,0.74,1.07,0.12亿,3.80亿,25.13亿,--
27,28,000036,华联控股,4.03,0.75,0.03,0.0,0.22,1.07,1.0,0.13亿,14.80亿,59.63亿,62.18
28,29,600611,大众交通,3.17,0.64,0.02,0.0,0.32,1.42,0.95,0.16亿,15.63亿,49.56亿,--
29,30,000608,阳光股份,3.19,0.63,0.02,0.0,0.65,1.23,1.26,0.16亿,7.50亿,23.92亿,--
30,31,002968,新大正,25.13,0.6,0.15,-0.04,0.09,0.71,1.16,0.05亿,2.22亿,55.69亿,29.18
31,32,600653,申华控股,1.98,0.51,0.01,0.0,0.18,0.63,1.01,0.07亿,19.46亿,38.54亿,--
32,33,000014,沙河股份,10.42,0.48,0.05,-0.1,1.09,0.86,1.25,0.27亿,2.42亿,25.22亿,10.22
33,34,000514,渝开发,4.46,0.45,0.02,0.0,0.44,1.03,1.13,0.16亿,8.44亿,37.63亿,--
34,35,002235,安妮股份,9.38,0.43,0.04,1.08,9.65,1.08,3.32,4.86亿,5.48亿,51.42亿,--
35,36,001914,招商积余,16.57,0.42,0.07,0.0,0.12,0.79,1.21,0.21亿,10.60亿,175.68亿,27.89
36,37,000632,三木集团,4.83,0.42,0.02,-0.21,1.21,1.0,1.04,0.27亿,4.65亿,22.48亿,110.17
37,38,002188,中天服务,7.53,0.4,0.03,-0.13,1.25,0.75,1.73,0.23亿,2.41亿,18.14亿,34.13
38,39,600683,京投发展,5.07,0.4,0.02,0.0,0.48,0.7,0.99,0.18亿,7.41亿,37.56亿,11.51
39,40,000548,湖南投资,5.36,0.38,0.02,-0.19,1.3,1.25,1.69,0.35亿,4.99亿,26.76亿,85.02
40,41,002305,南国置业,2.79,0.36,0.01,-0.36,0.71,0.66,1.08,0.35亿,17.33亿,48.34亿,--
41,42,600173,卧龙地产,5.66,0.35,0.02,0.18,0.38,1.45,1.06,0.15亿,7.00亿,39.64亿,8.22
42,43,603682,锦和商管,5.79,0.35,0.02,0.0,0.71,1.03,1.04,0.07亿,1.80亿,10.40亿,23.56
43,44,600624,复旦复华,6.23,0.32,0.02,-0.16,0.54,1.21,0.97,0.23亿,6.85亿,42.66亿,742.47
44,45,000668,荣丰控股,12.98,0.31,0.04,0.0,0.45,1.62,1.08,0.09亿,1.47亿,19.04亿,--
45,46,603506,南都物业,13.13,0.31,0.04,-0.23,0.26,0.71,0.99,0.06亿,1.88亿,24.66亿,12.96
46,47,000058,深赛格,7.09,0.28,0.02,0.0,0.5,0.87,1.41,0.35亿,9.85亿,69.81亿,340.59
47,48,002175,东方智造,3.68,0.27,0.01,0.27,0.42,0.83,0.82,0.20亿,12.77亿,46.99亿,82.79
48,49,000797,中国武夷,3.75,0.27,0.01,0.0,1.11,0.78,1.07,0.66亿,15.70亿,58.88亿,169.51
49,50,600684,珠江股份,3.81,0.26,0.01,-0.26,0.35,0.65,0.79,0.11亿,8.53亿,32.52亿,--
