,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,601208,东材科技,14.38,4.43,0.61,-0.14,1.56,2.87,7.55,1.98亿,8.88亿,127.75亿,28.8
1,2,688191,智洋创新,16.7,3.34,0.54,0.0,2.41,2.37,5.14,0.28亿,0.71亿,11.90亿,74.56
2,3,601868,中国能建,2.39,2.14,0.05,0.0,2.61,4.59,2.56,8.85亿,142.22亿,339.92亿,17.89
3,4,002576,通达动力,21.52,1.75,0.37,-0.05,12.96,2.13,6.43,4.47亿,1.62亿,34.84亿,54.73
4,5,300069,金利华电,14.64,1.67,0.24,-0.2,1.82,5.45,4.86,0.31亿,1.17亿,17.13亿,1166.18
5,6,300099,精准信息,7.03,1.15,0.08,0.14,1.29,1.74,2.45,0.45亿,5.09亿,35.77亿,40.0
6,7,688187,时代电气,54.24,1.14,0.61,0.11,0.72,0.97,1.96,0.82亿,2.10亿,113.82亿,36.87
7,8,601669,中国电建,7.03,0.72,0.05,0.14,0.43,1.38,0.86,3.32亿,109.91亿,772.70亿,10.54
8,9,600517,国网英大,5.31,0.57,0.03,-0.19,0.71,1.87,2.65,0.72亿,19.00亿,100.87亿,27.67
9,10,603530,神马电力,16.9,0.54,0.09,0.12,0.81,0.94,2.85,0.58亿,4.32亿,73.05亿,224.04
10,11,688681,科汇股份,17.1,0.41,0.07,-0.23,1.86,1.4,3.82,0.21亿,0.66亿,11.23亿,--
11,12,002316,*ST亚联,3.54,0.28,0.01,0.0,0.93,0.98,1.7,0.10亿,2.92亿,10.33亿,--
12,13,603577,汇金通,11.45,0.26,0.03,0.18,0.34,0.95,1.14,0.11亿,2.88亿,33.01亿,66.33
13,14,300140,中环装备,8.18,0.12,0.01,0.0,1.06,0.88,1.96,0.37亿,4.23亿,34.63亿,--
14,15,600089,特变电工,21.2,0.09,0.02,0.09,0.36,0.85,0.85,2.94亿,38.85亿,823.72亿,5.59
15,16,002459,晶澳科技,60.2,0.07,0.04,-0.03,0.25,1.02,2.33,3.50亿,23.43亿,1410.79亿,32.33
16,17,002272,川润股份,7.56,0.0,0.0,-0.13,4.0,0.53,2.38,1.01亿,3.33亿,25.18亿,--
17,18,002263,大东南,3.14,0.0,0.0,0.32,0.42,1.23,0.95,0.25亿,18.78亿,58.98亿,44.99
18,19,603333,尚纬股份,6.44,0.0,0.0,0.16,1.36,0.98,1.4,0.55亿,6.22亿,40.03亿,158.38
19,20,002564,天沃科技,5.34,0.0,0.0,0.19,0.78,0.69,1.12,0.36亿,8.58亿,45.82亿,--
20,21,002545,东方铁塔,9.34,0.0,0.0,-0.11,0.26,0.72,0.96,0.27亿,11.30亿,105.51亿,12.21
21,22,000027,深圳能源,6.27,-0.16,-0.01,0.0,0.11,0.73,0.48,0.33亿,47.57亿,298.29亿,13.69
22,23,601179,中国西电,5.02,-0.2,-0.01,-0.2,0.25,0.78,1.39,0.65亿,51.26亿,257.32亿,41.14
23,24,603861,白云电器,8.61,-0.23,-0.02,-0.12,0.3,0.96,1.27,0.11亿,4.24亿,36.51亿,--
24,25,300427,红相股份,19.61,-0.3,-0.06,-0.15,0.34,0.69,1.88,0.21亿,3.23亿,63.39亿,69.51
25,26,300830,金现代,9.79,-0.31,-0.03,0.31,2.31,1.01,2.04,0.54亿,2.40亿,23.54亿,--
26,27,002471,中超控股,2.98,-0.33,-0.01,0.0,1.05,0.79,2.01,0.39亿,12.66亿,37.73亿,--
27,28,301289,国缆检测,45.94,-0.37,-0.17,0.09,2.15,0.96,1.76,0.15亿,0.15亿,6.89亿,41.02
28,29,300341,麦克奥迪,10.23,-0.39,-0.04,0.1,0.94,1.04,1.75,0.49亿,5.13亿,52.48亿,21.63
29,30,002132,恒星科技,5.09,-0.39,-0.02,0.0,2.0,1.11,1.57,1.43亿,13.99亿,71.22亿,41.99
30,31,000973,佛塑科技,4.88,-0.41,-0.02,0.21,0.4,0.91,1.02,0.19亿,9.67亿,47.21亿,36.0
31,32,601609,金田股份,7.16,-0.42,-0.03,0.14,0.51,0.92,1.11,0.22亿,6.07亿,43.43亿,19.8
32,33,002028,思源电气,44.93,-0.47,-0.21,0.07,0.29,0.47,1.88,0.78亿,5.97亿,268.25亿,28.38
33,34,600550,保变电气,5.07,-0.59,-0.03,0.0,0.26,1.12,1.57,0.25亿,18.42亿,93.37亿,19511.1
34,35,000551,创元科技,10.05,-0.59,-0.06,0.0,0.33,0.93,1.58,0.13亿,4.00亿,40.21亿,25.44
35,36,002358,ST森源,5.0,-0.6,-0.03,0.2,1.15,0.61,3.18,0.54亿,9.29亿,46.44亿,61.17
36,37,003008,开普检测,28.17,-0.6,-0.17,-0.04,0.82,0.71,1.41,0.08亿,0.35亿,9.83亿,32.49
37,38,600487,亨通光电,14.93,-0.67,-0.1,0.0,1.62,1.31,2.33,5.94亿,24.67亿,368.28亿,19.46
38,39,002270,华明装备,8.89,-0.67,-0.06,0.0,0.68,0.8,1.68,0.46亿,7.59亿,67.50亿,20.82
39,40,000586,汇源通信,9.98,-0.7,-0.07,-0.1,0.78,0.57,2.69,0.15亿,1.93亿,19.31亿,76.42
40,41,002560,通达股份,9.81,-0.71,-0.07,-0.1,4.03,0.86,1.72,1.78亿,4.51亿,44.25亿,44.63
41,42,600869,远东股份,5.6,-0.71,-0.04,0.18,0.41,1.04,1.77,0.51亿,22.19亿,124.28亿,19.07
42,43,301179,泽宇智能,49.62,-0.72,-0.36,-0.1,4.27,1.67,3.0,0.70亿,0.33亿,16.37亿,41.88
43,44,300617,安靠智电,40.0,-0.72,-0.29,-0.03,1.46,1.31,2.73,0.61亿,1.04亿,41.71亿,34.6
44,45,001216,华瓷股份,15.19,-0.78,-0.12,0.0,1.64,0.95,1.89,0.16亿,0.63亿,9.56亿,18.22
45,46,603618,杭电股份,5.87,-0.84,-0.05,0.0,0.4,1.03,1.18,0.16亿,6.91亿,40.56亿,28.89
46,47,601700,风范股份,5.7,-0.87,-0.05,-0.18,0.56,0.87,1.22,0.37亿,11.42亿,65.08亿,146.67
47,48,600522,中天科技,15.76,-0.88,-0.14,0.06,1.38,1.01,2.33,7.42亿,34.13亿,537.88亿,16.33
48,49,600879,航天电子,7.55,-0.92,-0.07,0.0,0.82,1.07,1.57,1.69亿,27.19亿,205.31亿,30.51
49,50,000070,特发信息,8.45,-0.94,-0.08,0.36,3.06,0.87,3.05,2.12亿,8.33亿,70.37亿,73.03
50,51,300215,电科院,5.98,-0.99,-0.06,0.17,0.45,0.99,1.49,0.19亿,7.00亿,41.84亿,83.41
51,52,600406,国电南瑞,26.14,-1.02,-0.27,0.19,0.14,0.94,1.29,2.52亿,66.28亿,1732.46亿,35.91
52,53,002498,汉缆股份,4.4,-1.12,-0.05,-0.23,0.37,1.11,1.35,0.54亿,33.27亿,146.38亿,16.47
53,54,300018,中元股份,7.0,-1.13,-0.08,0.0,1.4,1.36,3.11,0.40亿,4.05亿,28.36亿,139.09
54,55,300120,经纬辉开,6.89,-1.15,-0.08,0.15,1.0,1.35,2.01,0.28亿,4.11亿,28.34亿,32.17
55,56,301041,金百泽,20.32,-1.17,-0.24,0.0,3.43,1.02,2.43,0.36亿,0.51亿,10.40亿,65.69
56,57,300365,恒华科技,8.9,-1.22,-0.11,0.0,1.28,1.21,2.22,0.50亿,4.35亿,38.68亿,199.78
57,58,300019,硅宝科技,18.54,-1.28,-0.24,0.11,1.29,0.61,1.44,0.78亿,3.24亿,60.13亿,28.98
58,59,001208,华菱线缆,11.33,-1.31,-0.15,0.27,2.49,1.01,2.44,0.70亿,2.50亿,28.28亿,54.35
59,60,002452,长高电新,7.2,-1.37,-0.1,-0.14,1.11,0.91,1.78,0.41亿,5.12亿,36.87亿,39.89
60,61,600268,国电南自,8.6,-1.38,-0.12,0.12,1.37,1.27,2.52,0.82亿,6.95亿,59.79亿,241.26
61,62,600312,平高电气,9.16,-1.4,-0.13,0.0,0.74,0.78,2.37,0.92亿,13.57亿,124.29亿,52.24
62,63,002533,金杯电工,6.98,-1.55,-0.11,0.0,1.83,1.62,2.4,0.77亿,6.02亿,42.02亿,14.54
63,64,002227,奥特迅,15.0,-1.57,-0.24,0.2,3.35,1.38,3.81,1.24亿,2.45亿,36.79亿,--
64,65,000400,许继电气,25.15,-1.68,-0.43,-0.2,1.19,0.87,2.58,3.02亿,10.08亿,253.58亿,29.35
65,66,300265,通光线缆,9.29,-1.69,-0.16,0.0,0.85,1.4,2.54,0.29亿,3.65亿,33.87亿,53.43
66,67,300933,中辰股份,8.7,-1.7,-0.15,0.0,1.12,0.68,1.92,0.23亿,2.35亿,20.42亿,40.35
67,68,002339,积成电子,9.25,-1.8,-0.17,-0.32,7.84,0.83,4.78,3.48亿,4.86亿,44.94亿,--
68,69,002300,太阳电缆,8.82,-1.89,-0.17,-0.11,1.31,1.11,2.56,0.76亿,6.57亿,57.91亿,29.23
69,70,002364,中恒电气,8.36,-1.99,-0.17,0.0,2.25,0.73,1.29,0.99亿,5.25亿,43.91亿,235.88
70,71,002606,大连电瓷,10.63,-2.03,-0.22,-0.09,2.23,1.28,2.12,0.99亿,4.16亿,44.23亿,20.73
71,72,603016,新宏泰,22.75,-2.11,-0.49,0.09,0.71,1.34,3.62,0.24亿,1.48亿,33.71亿,50.85
72,73,688597,煜邦电力,16.93,-2.14,-0.37,0.0,1.3,1.06,2.25,0.26亿,1.17亿,19.78亿,38.89
73,74,300712,永福股份,50.18,-2.15,-1.1,-0.22,1.77,1.24,2.85,1.64亿,1.85亿,92.68亿,127.0
74,75,301023,江南奕帆,47.63,-2.2,-1.07,-0.15,4.11,1.05,3.39,0.45亿,0.23亿,11.01亿,30.89
75,76,300510,金冠股份,6.58,-2.37,-0.16,-0.15,4.31,2.04,4.01,2.32亿,8.22亿,54.10亿,308.86
76,77,002169,智光电气,9.43,-2.38,-0.23,0.0,1.75,1.32,2.79,1.27亿,7.64亿,72.02亿,160.93
77,78,300376,易事特,7.8,-2.5,-0.2,0.0,1.28,1.91,1.88,2.33亿,23.25亿,181.32亿,34.12
78,79,600379,宝光股份,12.69,-2.54,-0.33,-0.08,1.93,0.96,3.53,0.81亿,3.30亿,41.90亿,78.73
79,80,603097,江苏华辰,22.8,-2.56,-0.6,-0.7,17.33,1.97,6.15,1.59亿,0.40亿,9.12亿,43.59
80,81,601126,四方股份,16.13,-2.71,-0.45,-0.06,1.51,1.37,2.71,1.99亿,8.13亿,131.16亿,22.43
81,82,600501,航天晨光,16.73,-2.73,-0.47,-0.12,4.5,1.15,5.06,3.21亿,4.21亿,70.48亿,123.54
82,83,300831,派瑞股份,16.34,-3.54,-0.6,0.06,4.78,0.98,4.19,1.45亿,1.84亿,30.14亿,84.8
