,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002722,物产金轮,18.66,10.02,1.7,0.0,17.04,2.84,10.61,5.38亿,1.75亿,32.74亿,38.63
1,2,002131,利欧股份,2.17,9.04,0.18,-0.46,8.63,4.21,10.55,10.66亿,58.35亿,126.61亿,--
2,3,300181,佐力药业,12.56,5.55,0.66,0.0,2.8,3.04,6.22,2.11亿,6.09亿,76.44亿,32.39
3,4,002024,ST易购,2.3,5.02,0.11,0.0,0.7,8.13,4.57,1.26亿,78.83亿,181.32亿,--
4,5,300494,盛天网络,17.87,4.38,0.75,-0.5,6.37,3.51,6.72,2.37亿,2.11亿,37.77亿,19.14
5,6,300413,芒果超媒,35.79,4.34,1.49,-0.08,0.85,2.24,5.98,3.10亿,10.22亿,365.67亿,29.92
6,7,300418,昆仑万维,26.23,4.09,1.03,0.5,8.95,1.48,8.61,24.50亿,10.74亿,281.61亿,29.56
7,8,300148,天舟文化,3.8,3.83,0.14,-0.26,9.1,4.91,6.28,2.68亿,7.75亿,29.47亿,228.76
8,9,002488,金固股份,7.41,3.49,0.25,-0.14,4.11,5.7,10.2,2.80亿,9.10亿,67.44亿,6.16
9,10,002605,姚记科技,17.07,2.89,0.48,0.12,1.91,2.18,4.34,1.07亿,3.28亿,55.96亿,17.98
10,11,300603,立昂技术,13.52,2.81,0.37,-0.3,13.31,1.28,9.05,4.52亿,2.53亿,34.24亿,78.04
11,12,600825,新华传媒,5.01,2.66,0.13,-0.79,12.52,11.43,10.86,6.73亿,10.45亿,52.45亿,--
12,13,300212,易华录,27.3,2.52,0.67,-0.69,4.53,2.37,7.85,7.75亿,6.41亿,174.92亿,--
13,14,601318,中国平安,49.98,2.25,1.1,0.0,0.27,1.57,1.99,14.52亿,108.33亿,5414.17亿,8.96
14,15,002292,奥飞娱乐,5.56,2.02,0.11,-0.36,7.57,2.55,5.5,4.12亿,9.75亿,54.23亿,--
15,16,600633,浙数文化,9.79,1.98,0.19,-0.1,2.18,1.91,3.54,2.67亿,12.66亿,123.92亿,25.91
16,17,002445,中南文化,2.61,1.95,0.05,0.39,1.54,2.03,3.91,0.96亿,23.80亿,62.13亿,64.93
17,18,603000,人民网,19.78,1.85,0.36,-1.15,8.24,3.19,5.66,17.73亿,11.06亿,218.71亿,118.27
18,19,000987,越秀资本,6.67,1.83,0.12,0.15,0.22,1.91,2.14,0.74亿,50.17亿,334.61亿,13.34
19,20,601811,新华文轩,10.82,1.79,0.19,0.0,0.25,2.21,2.16,0.21亿,7.92亿,85.68亿,12.96
20,21,002236,大华股份,13.76,1.77,0.24,-0.07,1.29,1.74,3.03,3.43亿,19.59亿,269.59亿,18.49
21,22,600070,浙江富润,6.36,1.76,0.11,-0.16,1.4,1.54,3.84,0.45亿,5.07亿,32.23亿,--
22,23,002407,多氟多,38.26,1.75,0.66,-0.16,2.19,1.63,2.42,5.72亿,6.84亿,261.71亿,12.71
23,24,600986,浙文互联,5.91,1.72,0.1,-0.17,3.33,2.02,4.47,2.58亿,13.22亿,78.16亿,46.76
24,25,300479,神思电子,25.57,1.71,0.43,-0.51,13.63,1.88,8.43,6.99亿,1.97亿,50.38亿,--
25,26,300063,天龙集团,4.34,1.4,0.06,0.0,5.39,1.88,3.74,1.46亿,6.20亿,26.90亿,28.24
26,27,600187,国中水务,2.9,1.4,0.04,0.0,1.41,1.29,1.75,0.66亿,16.14亿,46.80亿,--
27,28,002551,尚荣医疗,4.85,1.25,0.06,0.0,2.06,2.45,2.09,0.61亿,6.10亿,29.60亿,--
28,29,601801,皖新传媒,5.74,1.24,0.07,0.0,0.35,1.13,2.65,0.39亿,19.89亿,114.18亿,10.30
29,30,002316,*ST亚联,3.57,1.13,0.04,0.28,0.71,0.88,1.7,0.07亿,2.92亿,10.42亿,--
30,31,300016,北陆药业,6.89,1.03,0.07,0.0,0.52,1.45,1.17,0.18亿,4.91亿,33.84亿,46.02
31,32,603003,龙宇燃油,8.92,1.02,0.09,0.11,0.56,0.8,1.7,0.20亿,4.02亿,35.90亿,98.48
32,33,600446,金证股份,13.78,0.95,0.13,-0.29,1.6,1.5,2.86,2.07亿,9.41亿,129.64亿,70.56
33,34,600606,绿地控股,3.18,0.95,0.03,-0.31,0.3,1.16,2.22,1.33亿,140.54亿,446.92亿,4.83
34,35,002280,联络互动,3.21,0.94,0.03,0.31,1.11,1.63,2.2,0.67亿,18.89亿,60.63亿,--
35,36,603380,易德龙,30.13,0.9,0.27,0.13,0.14,1.27,1.44,0.07亿,1.60亿,48.31亿,26.76
36,37,300369,绿盟科技,12.95,0.86,0.11,-0.77,2.17,2.72,3.74,2.04亿,7.35亿,95.13亿,--
37,38,002208,合肥城建,7.24,0.84,0.06,0.0,0.49,1.15,0.97,0.22亿,6.22亿,45.05亿,29.32
38,39,300290,荣科科技,5.25,0.77,0.04,0.19,1.06,1.2,2.5,0.34亿,6.24亿,32.74亿,84.79
39,40,600208,新湖中宝,2.72,0.74,0.02,0.37,0.3,1.08,1.11,0.70亿,85.98亿,233.87亿,10.98
40,41,300324,旋极信息,3.23,0.62,0.02,0.0,1.42,0.87,2.18,0.78亿,16.96亿,54.78亿,--
41,42,000676,智度股份,6.57,0.61,0.04,0.15,5.56,2.08,5.51,4.66亿,12.62亿,82.92亿,52.91
42,43,600689,上海三毛,9.11,0.55,0.05,-0.22,0.49,0.96,1.44,0.07亿,1.52亿,13.87亿,691.87
43,44,002489,浙江永强,3.76,0.54,0.02,-0.27,0.43,0.72,1.07,0.31亿,18.81亿,70.74亿,42.55
44,45,600533,栖霞建设,3.84,0.52,0.02,-0.26,1.04,1.54,1.83,0.42亿,10.50亿,40.32亿,14.10
45,46,300688,创业黑马,19.56,0.51,0.1,-0.15,2.32,0.99,1.03,0.61亿,1.36亿,26.52亿,--
46,47,300588,熙菱信息,11.41,0.44,0.05,0.18,2.6,0.9,2.38,0.40亿,1.36亿,15.56亿,--
47,48,600645,中源协和,18.55,0.43,0.08,-0.11,0.35,0.96,1.35,0.31亿,4.68亿,86.77亿,56.83
48,49,002235,安妮股份,9.38,0.43,0.04,0.0,11.61,1.2,4.5,5.88亿,5.48亿,51.42亿,--
49,50,600848,上海临港,12.4,0.41,0.05,0.0,0.08,1.53,0.73,0.24亿,23.94亿,296.85亿,30.25
50,51,600229,城市传媒,7.53,0.4,0.03,-0.27,0.53,1.47,2.13,0.27亿,6.71亿,50.54亿,15.51
51,52,000988,华工科技,20.21,0.4,0.08,-0.05,0.63,0.81,1.39,1.27亿,10.05亿,203.11亿,21.10
52,53,600208,新湖中宝,2.71,0.37,0.01,0.0,0.3,1.06,1.11,0.70亿,85.98亿,233.01亿,10.94
53,54,600635,大众公用,3.16,0.32,0.01,0.32,0.12,0.56,0.64,0.09亿,24.19亿,76.43亿,--
54,55,601727,上海电气,4.2,0.24,0.01,0.24,0.09,1.22,0.72,0.47亿,126.55亿,531.52亿,--
55,56,600400,红豆股份,4.24,0.24,0.01,0.24,0.44,0.61,0.71,0.43亿,22.91亿,97.15亿,158.23
56,57,000652,泰达股份,4.28,0.23,0.01,0.0,0.31,0.89,0.7,0.19亿,14.74亿,63.11亿,34.94
57,58,601777,力帆科技,4.31,0.23,0.01,0.23,0.25,1.32,1.4,0.24亿,22.50亿,96.99亿,97.04
58,59,300496,中科创达,100.1,0.2,0.2,-0.08,0.97,1.09,1.9,3.22亿,3.35亿,334.91亿,53.74
59,60,300213,佳讯飞鸿,6.22,0.16,0.01,0.16,2.51,1.16,2.09,0.86亿,5.51亿,34.25亿,111.12
60,61,300496,中科创达,100.1,0.2,0.2,-0.08,0.97,1.09,1.9,3.22亿,3.35亿,334.91亿,53.74
61,62,002654,万润科技,5.35,0.19,0.01,0.19,1.77,1.01,2.44,0.72亿,7.64亿,40.89亿,--
62,63,300213,佳讯飞鸿,6.22,0.16,0.01,0.16,2.51,1.16,2.09,0.86亿,5.51亿,34.25亿,111.12
63,64,002202,金风科技,11.63,0.0,0.0,0.09,0.25,0.94,0.95,0.99亿,33.94亿,394.68亿,15.58
64,65,002226,江南化工,5.87,0.0,0.0,0.0,0.97,1.02,2.04,1.01亿,17.83亿,104.66亿,13.92
65,66,002288,超华科技,5.3,0.0,0.0,0.0,0.65,0.94,1.51,0.27亿,8.01亿,42.46亿,112.80
66,67,300184,力源信息,5.16,0.0,0.0,0.0,1.32,0.79,1.36,0.71亿,10.48亿,54.10亿,20.55
67,68,300303,聚飞光电,4.56,0.0,0.0,-0.44,0.78,0.97,1.53,0.44亿,12.53亿,57.16亿,29.42
68,69,000532,华金资本,12.24,-0.16,-0.02,-0.08,1.03,1.22,1.22,0.43亿,3.44亿,42.05亿,25.57
69,70,300171,东富龙,28.79,-0.17,-0.05,0.04,0.75,0.96,1.21,0.94亿,4.34亿,125.05亿,26.99
70,71,600386,北巴传媒,4.42,-0.23,-0.01,0.0,0.67,1.31,2.71,0.24亿,8.06亿,35.64亿,74.19
71,72,000890,法尔胜,4.2,-0.24,-0.01,-0.24,0.36,0.91,0.95,0.06亿,4.20亿,17.62亿,--
72,73,600571,信雅达,11.63,-0.26,-0.03,0.0,4.09,0.9,2.66,2.11亿,4.46亿,51.83亿,--
73,74,002241,歌尔股份,23.04,-0.26,-0.06,0.17,1.8,0.77,1.34,12.39亿,30.08亿,693.08亿,15.39
74,75,300272,开能健康,5.96,-0.33,-0.02,0.0,0.7,1.09,1.17,0.17亿,4.11亿,24.50亿,28.79
75,76,300456,赛微电子,16.81,-0.36,-0.06,0.24,1.27,0.79,1.96,1.24亿,5.82亿,97.82亿,5753.48
76,77,002367,康力电梯,7.91,-0.38,-0.03,0.13,0.36,0.63,0.76,0.15亿,5.25亿,41.51亿,23.14
77,78,603017,中衡设计,10.26,-0.39,-0.04,-0.1,0.26,0.63,1.36,0.07亿,2.76亿,28.31亿,25.81
78,79,600462,ST九有,2.46,-0.41,-0.01,0.0,1.3,1.53,3.64,0.19亿,5.84亿,14.36亿,--
79,80,300171,东富龙,28.72,-0.42,-0.12,-0.21,0.78,0.98,1.21,0.98亿,4.34亿,124.74亿,26.92
80,81,300300,海峡创新,4.75,-0.42,-0.02,-0.21,0.88,0.79,1.89,0.28亿,6.71亿,31.89亿,--
81,82,002266,浙富控股,4.16,-0.48,-0.02,0.0,0.24,0.86,0.72,0.32亿,31.97亿,132.98亿,16.06
82,83,300279,和晶科技,5.63,-0.53,-0.03,-0.18,0.54,0.93,1.77,0.13亿,4.32亿,24.30亿,--
83,84,300462,华铭智能,10.89,-0.55,-0.06,0.0,0.76,0.86,2.1,0.11亿,1.37亿,14.87亿,--
84,85,300067,安诺其,3.37,-0.59,-0.02,-0.3,0.42,0.58,0.89,0.11亿,7.73亿,26.06亿,66.21
85,86,603533,掌阅科技,19.17,-0.67,-0.13,0.31,1.57,1.18,4.56,1.32亿,4.39亿,84.14亿,164.82
86,87,688049,炬芯科技,33.75,-0.68,-0.23,-0.09,2.1,0.93,3.51,0.64亿,0.90亿,30.18亿,63.30
87,88,300007,汉威科技,20.25,-0.69,-0.14,-0.1,1.77,0.73,1.42,1.01亿,2.82亿,57.18亿,21.54
88,89,002504,ST弘高,1.42,-0.7,-0.01,0.0,1.33,1.15,2.1,0.08亿,4.14亿,5.89亿,--
89,90,002543,万和电气,9.52,-0.73,-0.07,0.0,0.63,0.98,1.25,0.38亿,6.31亿,60.06亿,9.75
90,91,300045,华力创通,8.08,-0.74,-0.06,-0.12,1.92,0.68,1.6,0.77亿,4.93亿,39.82亿,--
91,92,002590,万安科技,9.13,-0.76,-0.07,0.11,0.31,0.7,1.96,0.13亿,4.56亿,41.59亿,62.15
92,93,603313,梦百合,11.54,-0.77,-0.09,0.0,0.28,0.57,1.38,0.16亿,4.85亿,56.00亿,42.53
93,94,002141,贤丰控股,4.69,-0.85,-0.04,-0.21,0.39,1.24,1.9,0.21亿,11.35亿,53.22亿,16.05
94,95,600869,远东股份,5.59,-0.89,-0.05,-0.18,0.39,1.12,1.77,0.48亿,22.19亿,124.06亿,19.03
95,96,300438,鹏辉能源,71.67,-1.06,-0.77,0.04,1.62,1.15,2.73,4.15亿,3.59亿,257.02亿,55.96
96,97,301171,易点天下,23.25,-1.06,-0.25,-0.43,15.55,1.44,3.45,2.55亿,0.71亿,16.48亿,32.86
97,98,300541,先进数通,14.25,-1.11,-0.16,-0.07,6.55,1.22,2.64,2.37亿,2.55亿,36.32亿,84.16
98,99,002230,科大讯飞,50.2,-1.16,-0.59,0.22,2.03,0.97,1.67,22.33亿,22.00亿,1104.16亿,208.19
99,100,603133,碳元科技,11.86,-1.17,-0.14,0.08,1.23,2.37,1.83,0.31亿,2.09亿,24.81亿,--
100,101,000721,西安饮食,14.23,-1.25,-0.18,0.0,6.43,0.81,2.71,4.03亿,4.36亿,62.04亿,--
101,102,000821,京山轻机,25.83,-1.34,-0.35,0.08,5.25,1.06,4.16,7.69亿,5.73亿,147.97亿,60.00
102,103,002181,粤传媒,5.76,-1.37,-0.08,0.17,3.17,1.96,2.91,2.08亿,11.34亿,65.34亿,184.49
103,104,002642,荣联科技,9.47,-1.46,-0.14,-0.42,7.44,1.26,2.81,4.26亿,6.05亿,57.28亿,347.21
104,105,002403,爱仕达,10.17,-2.12,-0.22,-0.2,3.17,1.67,2.41,0.99亿,3.06亿,31.11亿,--
105,106,000829,天音控股,12.2,-2.94,-0.37,0.16,5.63,1.63,4.06,7.02亿,10.24亿,124.94亿,76.22
106,107,300311,任子行,7.67,-5.42,-0.44,-0.13,11.11,3.54,3.7,4.58亿,5.35亿,41.04亿,--
