,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002100,天康生物,9.11,4.35,0.38,0.0,2.94,2.87,5.84,3.59亿,13.54亿,123.38亿,35.87
1,2,002133,广宇集团,3.63,0.83,0.03,0.28,0.72,0.99,0.83,0.20亿,7.70亿,27.95亿,15.38
2,3,600811,东方集团,2.53,0.8,0.02,0.4,0.54,1.25,1.59,0.50亿,36.59亿,92.58亿,--
3,4,831087,秋乐种业,7.3,0.69,0.05,-0.14,1.27,0.41,3.17,0.06亿,0.65亿,4.71亿,129.05
4,5,600108,亚盛集团,3.24,0.62,0.02,0.0,0.55,0.82,0.93,0.35亿,19.47亿,63.08亿,108.17
5,6,601952,苏垦农发,12.51,0.56,0.07,0.48,0.31,0.68,0.8,0.52亿,13.78亿,172.39亿,20.66
6,7,000998,隆平高科,17.37,0.52,0.09,0.17,0.85,0.7,1.85,1.91亿,12.96亿,225.11亿,--
7,8,600057,厦门象屿,11.31,0.35,0.04,0.0,0.17,0.82,1.69,0.40亿,21.42亿,242.22亿,8.80
8,9,002041,登海种业,20.1,0.35,0.07,0.05,0.29,0.52,0.6,0.52亿,8.80亿,176.88亿,118.11
9,10,000713,丰乐种业,9.09,0.33,0.03,0.11,1.62,0.72,1.32,0.90亿,6.14亿,55.81亿,899.24
10,11,002588,史丹利,6.34,0.32,0.02,-0.16,0.46,0.6,0.63,0.23亿,7.96亿,50.47亿,12.89
11,12,300189,神农科技,4.2,0.24,0.01,0.24,1.28,0.61,0.95,0.52亿,9.63亿,40.45亿,--
12,13,002385,大北农,8.3,0.12,0.01,0.0,1.65,0.77,0.96,4.51亿,32.94亿,273.44亿,--
13,14,600313,农发种业,10.86,0.09,0.01,-0.09,1.93,0.63,1.48,2.23亿,10.67亿,115.88亿,122.55
14,15,002539,云图控股,12.04,0.08,0.01,-0.08,0.5,0.64,0.75,0.41亿,6.88亿,82.79亿,8.37
15,16,600598,北大荒,14.19,0.07,0.01,0.0,0.4,0.74,0.56,1.00亿,17.78亿,252.25亿,14.69
16,17,600127,金健米业,7.85,0.0,0.0,-0.13,0.54,0.56,0.64,0.27亿,6.42亿,50.38亿,--
17,18,600371,万向德农,13.61,-0.44,-0.06,0.0,1.18,0.54,0.73,0.47亿,2.93亿,39.82亿,54.08
18,19,300087,荃银高科,16.62,-0.54,-0.09,-0.12,1.24,0.75,1.62,1.32亿,6.39亿,106.23亿,222.99
19,20,600354,敦煌种业,7.97,-0.87,-0.07,0.13,4.43,0.62,1.74,1.86亿,5.28亿,42.07亿,--
