,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000735,罗牛山,8.13,10.01,0.74,0.0,4.68,7.89,9.61,4.24亿,11.51亿,93.57亿,1180.63
1,2,002234,民和股份,21.34,2.35,0.49,-0.09,2.68,1.98,4.51,1.46亿,2.56亿,54.69亿,--
2,3,002321,ST华英,2.54,2.01,0.05,0.4,0.28,2.5,2.01,0.15亿,21.29亿,54.07亿,--
3,4,002548,金新农,5.95,1.36,0.08,0.0,1.14,1.35,1.53,0.37亿,5.45亿,32.42亿,--
4,5,002311,海大集团,60.4,0.97,0.58,-0.02,0.16,2.03,2.14,1.63亿,16.60亿,1002.62亿,35.80
5,6,600692,亚通股份,6.43,0.78,0.05,0.0,0.54,1.05,1.41,0.09亿,2.55亿,16.40亿,--
6,7,603609,禾丰股份,12.31,0.74,0.09,0.0,0.26,1.16,1.55,0.29亿,9.19亿,113.18亿,24.27
7,8,002588,史丹利,6.36,0.63,0.04,0.0,0.38,0.75,0.63,0.19亿,7.96亿,50.63亿,12.93
8,9,600300,维维股份,3.48,0.58,0.02,0.29,0.28,0.66,1.16,0.16亿,16.17亿,56.28亿,42.88
9,10,000930,中粮科技,8.78,0.57,0.05,0.0,0.24,1.22,0.92,0.38亿,18.56亿,163.00亿,12.72
10,11,300189,神农科技,4.21,0.48,0.02,0.24,1.06,0.77,0.95,0.43亿,9.63亿,40.54亿,--
11,12,002538,司尔特,8.43,0.36,0.03,0.0,0.26,0.78,0.71,0.18亿,8.27亿,69.76亿,10.72
12,13,002041,登海种业,20.1,0.35,0.07,0.05,0.23,0.61,0.6,0.40亿,8.80亿,176.88亿,118.11
13,14,000998,隆平高科,17.34,0.35,0.06,-0.17,0.71,0.9,1.85,1.61亿,12.96亿,224.72亿,--
14,15,002783,凯龙股份,9.98,0.3,0.03,-0.1,0.85,1.29,1.31,0.28亿,3.33亿,33.23亿,18.45
15,16,000902,新洋丰,12.45,0.24,0.03,0.0,0.65,1.92,1.45,0.97亿,11.85亿,147.59亿,10.14
16,17,002539,云图控股,12.05,0.17,0.02,0.0,0.37,0.73,0.75,0.31亿,6.88亿,82.86亿,8.38
17,18,600598,北大荒,14.2,0.14,0.02,-0.07,0.3,0.86,0.56,0.77亿,17.78亿,252.43亿,14.70
18,19,002910,庄园牧场,12.88,0.08,0.01,0.08,1.05,0.79,1.17,0.23亿,1.71亿,22.03亿,62.64
19,20,603086,先达股份,13.59,0.07,0.01,-0.07,0.74,0.53,0.81,0.31亿,3.09亿,42.03亿,9.75
20,21,002470,ST金正,2.05,0.0,0.0,0.0,0.16,1.22,0.98,0.10亿,31.25亿,64.07亿,--
21,22,300021,大禹节水,4.91,0.0,0.0,-0.2,0.5,0.6,0.41,0.17亿,7.01亿,34.42亿,69.09
22,23,300072,海新能科,4.48,0.0,0.0,-0.22,0.27,0.84,1.34,0.29亿,23.30亿,104.38亿,--
23,24,002170,芭田股份,6.19,0.0,0.0,0.0,0.64,0.69,1.13,0.28亿,7.08亿,43.84亿,49.71
24,25,300237,美晨生态,2.37,0.0,0.0,0.0,0.76,1.7,1.69,0.26亿,14.38亿,34.09亿,--
25,26,600075,新疆天业,5.88,0.0,0.0,-0.17,0.34,1.18,0.85,0.25亿,12.69亿,74.60亿,8.85
26,27,002758,浙农股份,15.3,-0.07,-0.01,0.0,1.96,1.03,1.18,0.58亿,1.92亿,29.40亿,14.06
27,28,300387,富邦股份,7.47,-0.13,-0.01,-0.13,0.91,0.54,0.8,0.20亿,2.88亿,21.54亿,35.41
28,29,002215,诺普信,6.72,-0.15,-0.01,-0.15,1.94,0.62,2.97,1.03亿,7.91亿,53.14亿,16.63
29,30,600807,济南高新,3.55,-0.28,-0.01,-0.28,0.33,1.32,1.12,0.09亿,7.87亿,27.94亿,--
30,31,300335,迪森股份,5.17,-0.39,-0.02,-0.19,0.99,0.9,0.77,0.20亿,3.96亿,20.48亿,184.20
31,32,000626,远大控股,10.16,-0.39,-0.04,0.0,0.23,1.0,1.08,0.12亿,5.00亿,50.82亿,32.03
32,33,000830,鲁西化工,14.15,-0.63,-0.09,0.0,0.37,0.78,1.61,0.78亿,14.64亿,207.17亿,6.54
33,34,002513,蓝丰生化,5.7,-0.7,-0.04,-0.18,0.54,1.08,1.92,0.10亿,3.14亿,17.92亿,2373.69
34,35,002565,顺灏股份,4.36,-0.91,-0.04,-0.23,1.2,0.98,1.36,0.55亿,10.56亿,46.03亿,--
