,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688073,毕得医药,147.84,10.58,14.14,0.39,3.96,4.37,12.42,0.75亿,0.13亿,19.73亿,65.82
1,2,300086,康芝药业,7.23,6.95,0.47,0.42,10.92,5.07,9.17,3.37亿,4.36亿,31.50亿,--
2,3,300181,佐力药业,12.69,6.64,0.79,-0.31,3.19,2.97,7.23,2.41亿,6.09亿,77.23亿,32.73
3,4,688131,皓元医药,129.29,5.72,6.99,0.0,1.42,1.97,6.39,1.09亿,0.60亿,78.06亿,65.72
4,5,600095,湘财股份,9.87,5.45,0.51,0.0,8.62,3.85,9.19,9.48亿,11.30亿,111.55亿,--
5,6,300261,雅本化学,13.61,4.69,0.61,0.15,8.52,2.96,9.62,10.96亿,9.50亿,129.23亿,54.17
6,7,688247,宣泰医药,16.77,4.49,0.72,0.84,10.69,2.98,5.11,0.72亿,0.41亿,6.86亿,84.97
7,8,603566,普莱柯,32.3,4.19,1.3,0.0,0.88,1.37,5.64,0.91亿,3.21亿,103.84亿,64.35
8,9,603567,珍宝岛,13.85,4.13,0.55,0.87,0.69,1.87,4.29,0.89亿,9.42亿,130.46亿,63.75
9,10,600566,济川药业,30.44,3.93,1.15,-0.03,0.98,3.02,5.94,2.73亿,9.16亿,278.75亿,12.78
10,11,688566,吉贝尔,24.27,3.67,0.86,0.04,1.69,2.45,7.05,0.33亿,0.81亿,19.59亿,42.93
11,12,300147,香雪制药,6.13,3.55,0.21,0.49,4.84,4.48,3.55,1.92亿,6.56亿,40.22亿,--
12,13,000950,重药控股,5.52,3.37,0.18,0.0,1.29,3.74,3.18,1.22亿,17.28亿,95.40亿,9.26
13,14,600613,神奇制药,8.69,3.33,0.28,1.28,3.01,2.86,3.57,1.24亿,4.79亿,41.65亿,62.78
14,15,600272,开开实业,10.3,3.31,0.33,0.0,4.97,4.68,8.83,0.82亿,1.60亿,16.48亿,56.28
15,16,300485,赛升药业,13.15,3.3,0.42,0.31,4.07,2.83,3.3,1.43亿,2.70亿,35.54亿,18.80
16,17,600056,中国医药,15.62,3.24,0.49,0.13,4.4,4.34,3.83,10.23亿,14.95亿,233.57亿,22.86
17,18,301130,西点药业,33.24,3.23,1.04,0.18,7.62,3.1,3.79,0.51亿,0.20亿,6.71亿,62.72
18,19,301211,亨迪药业,29.4,2.98,0.85,0.34,12.01,3.41,3.61,2.02亿,0.58亿,16.96亿,67.37
19,20,301075,多瑞医药,31.13,2.81,0.85,1.4,6.6,2.7,3.04,0.55亿,0.27亿,8.54亿,83.06
20,21,600535,天士力,12.64,2.76,0.34,0.0,0.81,2.48,3.09,1.53亿,15.00亿,189.56亿,--
21,22,300434,金石亚药,12.9,2.54,0.32,0.55,4.18,2.95,3.5,1.78亿,3.32亿,42.83亿,36.32
22,23,000153,丰原药业,10.53,2.53,0.26,0.29,4.28,2.07,2.53,1.39亿,3.12亿,32.85亿,20.73
23,24,300584,海辰药业,28.8,2.42,0.68,0.24,3.95,2.07,2.42,0.72亿,0.64亿,18.45亿,129.07
24,25,002317,众生药业,23.38,2.36,0.54,0.34,4.29,1.98,3.94,7.02亿,7.07亿,165.35亿,57.42
25,26,688117,圣诺生物,27.49,2.35,0.63,0.0,1.55,1.34,3.02,0.19亿,0.45亿,12.29亿,42.29
26,27,300683,海特生物,40.45,2.28,0.9,-0.15,0.93,2.13,4.12,0.42亿,1.13亿,45.53亿,210.98
27,28,002737,葵花药业,24.28,2.27,0.54,0.04,0.94,1.35,3.45,1.33亿,5.84亿,141.79亿,20.89
28,29,301047,义翘神州,112.9,2.27,2.5,0.0,1.32,2.04,4.5,0.87亿,0.58亿,66.01亿,39.65
29,30,300255,常山药业,5.94,2.24,0.13,0.0,0.43,1.63,2.24,0.24亿,9.32亿,55.34亿,61.90
30,31,301126,达嘉维康,17.57,2.15,0.37,0.29,6.92,3.64,3.37,1.32亿,1.08亿,19.04亿,51.47
31,32,002773,康弘药业,17.9,2.05,0.36,0.22,0.75,2.35,2.45,0.92亿,6.91亿,123.63亿,16.36
32,33,600062,华润双鹤,18.53,2.04,0.37,0.11,1.63,2.54,2.37,3.08亿,10.24亿,189.83亿,14.81
33,34,300363,博腾股份,47.3,2.03,0.94,0.0,1.63,1.63,2.74,3.83亿,5.00亿,236.38亿,12.28
34,35,300966,共同药业,28.96,1.97,0.56,0.35,4.47,1.86,2.85,0.76亿,0.59亿,17.11亿,62.73
35,36,002349,精华制药,12.45,1.97,0.24,0.24,3.13,2.62,3.11,3.15亿,8.11亿,101.00亿,45.02
36,37,002550,千红制药,6.51,1.88,0.12,0.15,3.55,3.81,2.5,2.12亿,9.22亿,59.99亿,23.28
37,38,600222,太龙药业,6.52,1.88,0.12,0.31,1.92,1.7,2.03,0.71亿,5.74亿,37.42亿,--
38,39,600332,白云山,30.77,1.85,0.56,0.03,0.57,2.62,2.38,2.48亿,14.06亿,432.59亿,10.80
39,40,300497,富祥药业,13.26,1.84,0.24,0.15,0.9,1.2,2.38,0.52亿,4.46亿,59.08亿,119.17
40,41,002332,仙琚制药,12.85,1.82,0.23,0.16,0.51,0.8,3.41,0.64亿,9.78亿,125.69亿,18.01
41,42,000597,东北制药,6.18,1.81,0.11,0.16,1.7,2.72,2.31,1.40亿,13.37亿,82.61亿,51.88
42,43,600080,金花股份,8.41,1.69,0.14,0.12,1.61,2.01,2.06,0.50亿,3.73亿,31.39亿,73.97
43,44,002107,沃华医药,6.65,1.68,0.11,0.45,0.83,2.25,1.83,0.31亿,5.63亿,37.44亿,36.39
44,45,300254,仟源医药,7.34,1.66,0.12,0.41,3.83,2.04,2.77,0.63亿,2.24亿,16.45亿,--
45,46,300016,北陆药业,6.93,1.61,0.11,0.15,0.62,1.47,1.47,0.21亿,4.91亿,34.04亿,46.29
46,47,300436,广生堂,38.69,1.55,0.59,0.36,1.59,1.46,1.89,0.82亿,1.33亿,51.56亿,--
47,48,300204,舒泰神,12.55,1.54,0.19,0.32,1.52,1.67,1.78,0.89亿,4.69亿,58.91亿,--
