,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688589,力合微,44.53,2.58,1.12,-0.31,4.14,1.57,4.7,1.04亿,0.57亿,25.24亿,65.10
1,2,688100,威胜信息,27.84,2.5,0.68,-0.22,0.26,1.54,3.61,0.35亿,4.90亿,136.38亿,36.73
2,3,002308,威创股份,5.81,2.11,0.12,-0.51,9.95,3.56,6.15,5.28亿,8.97亿,52.09亿,51.72
3,4,300356,*ST光一,4.84,1.9,0.09,-0.21,0.64,1.09,3.79,0.12亿,3.92亿,18.97亿,--
4,5,002474,榕基软件,9.74,1.67,0.16,-0.1,6.37,2.33,4.07,3.04亿,4.98亿,48.50亿,248.97
5,6,300286,安科瑞,45.75,1.44,0.65,0.44,0.62,1.23,5.3,0.48亿,1.75亿,79.90亿,53.19
6,7,300222,科大智能,8.01,1.39,0.11,0.13,3.12,2.52,3.17,1.57亿,6.26亿,50.17亿,--
7,8,300366,创意信息,12.48,1.22,0.15,-0.16,5.29,1.52,4.7,3.20亿,4.96亿,61.86亿,--
8,9,603421,鼎信通讯,10.37,0.97,0.1,-0.29,0.33,0.97,2.73,0.22亿,6.52亿,67.63亿,67.97
9,10,300002,神州泰岳,6.41,0.63,0.04,-0.16,5.4,1.62,4.55,6.06亿,17.65亿,113.13亿,24.60
10,11,601567,三星医疗,14.39,0.42,0.06,0.0,0.18,0.76,1.47,0.35亿,13.87亿,199.53亿,21.73
11,12,688616,西力科技,13.45,0.37,0.05,0.07,1.42,1.44,1.79,0.10亿,0.53亿,7.11亿,33.73
12,13,300201,*ST海伦,3.05,0.33,0.01,0.0,0.22,0.64,0.66,0.07亿,10.38亿,31.65亿,36.97
13,14,300427,红相股份,19.68,0.05,0.01,0.1,0.31,0.8,1.88,0.20亿,3.23亿,63.61亿,69.76
14,15,300514,友讯达,12.4,0.0,0.0,0.08,1.73,1.39,1.21,0.33亿,1.54亿,19.09亿,22.99
15,16,002322,理工能科,11.13,-0.09,-0.01,-0.27,0.74,1.0,1.44,0.30亿,3.60亿,40.06亿,25.63
16,17,002063,远光软件,8.72,-0.12,-0.01,0.0,0.9,1.52,3.32,1.13亿,14.62亿,127.50亿,70.76
17,18,002028,思源电气,45.06,-0.18,-0.08,0.38,0.26,0.54,1.88,0.71亿,5.97亿,269.02亿,28.46
18,19,300184,力源信息,5.15,-0.19,-0.01,0.0,1.26,0.82,1.36,0.68亿,10.48亿,53.99亿,20.52
19,20,300259,新天科技,3.73,-0.27,-0.01,0.0,0.43,1.1,1.07,0.13亿,8.11亿,30.27亿,20.02
20,21,600590,泰豪科技,6.7,-0.3,-0.02,0.15,0.46,1.28,1.49,0.26亿,8.44亿,56.52亿,16.45
