,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002722,物产金轮,18.66,10.02,1.7,0.0,17.31,2.48,10.61,5.47亿,1.75亿,32.74亿,38.63
1,2,002261,拓维信息,9.39,9.95,0.85,2.07,13.37,2.43,11.01,13.23亿,11.16亿,104.79亿,85.99
2,3,600640,国脉文化,12.0,9.19,1.01,0.0,3.38,7.91,11.1,3.15亿,7.96亿,95.48亿,--
3,4,300624,万兴科技,53.2,8.13,4.0,0.0,19.27,2.73,14.57,11.20亿,1.13亿,59.88亿,212.61
4,5,002053,云南能投,13.41,7.37,0.92,-0.15,1.74,7.28,10.49,1.75亿,7.61亿,102.05亿,45.14
5,6,300181,佐力药业,12.69,6.64,0.79,-0.31,3.19,2.97,7.23,2.41亿,6.09亿,77.23亿,32.73
6,7,002024,ST易购,2.3,5.02,0.11,0.0,0.75,7.42,4.57,1.34亿,78.83亿,181.32亿,--
7,8,601858,中国科传,14.12,4.67,0.63,0.43,4.11,1.41,8.38,4.52亿,7.91亿,111.62亿,29.85
8,9,300413,芒果超媒,35.84,4.49,1.54,0.14,0.9,2.02,5.98,3.25亿,10.22亿,366.18亿,29.96
9,10,000560,我爱我家,3.28,4.13,0.13,0.31,3.82,1.94,6.67,2.80亿,22.50亿,73.79亿,--
10,11,300033,同花顺,129.02,4.05,5.02,-0.09,1.63,2.26,6.47,5.68亿,2.72亿,350.35亿,58.95
11,12,002991,甘源食品,88.1,3.89,3.3,-0.07,1.07,1.58,4.81,0.34亿,0.36亿,32.09亿,68.81
12,13,301066,万事利,13.64,3.49,0.46,-0.07,3.92,1.39,4.1,0.38亿,0.72亿,9.83亿,128.15
13,14,603615,茶花股份,9.07,3.42,0.3,-0.11,1.27,1.61,4.22,0.28亿,2.42亿,21.93亿,--
14,15,600272,开开实业,10.3,3.31,0.33,0.0,4.97,4.68,8.83,0.82亿,1.60亿,16.48亿,56.28
15,16,300418,昆仑万维,26.03,3.29,0.83,0.15,9.68,1.38,8.81,26.57亿,10.74亿,279.46亿,29.34
16,17,000158,常山北明,6.67,3.25,0.21,1.37,1.71,1.98,4.33,1.76亿,15.81亿,105.47亿,--
17,18,300043,星辉娱乐,3.33,3.1,0.1,0.0,3.97,2.96,4.64,1.23亿,9.38亿,31.23亿,--
18,19,300226,上海钢联,34.33,3.09,1.03,-0.06,2.83,2.0,8.68,2.52亿,2.57亿,88.37亿,49.90
19,20,601888,中国中免,206.48,2.98,5.98,0.28,0.52,1.6,3.17,20.85亿,19.52亿,4031.47亿,85.01
20,21,600790,轻纺城,4.63,2.89,0.13,0.0,0.78,2.79,2.89,0.52亿,14.66亿,67.87亿,7.45
21,22,600258,首旅酒店,25.79,2.87,0.72,0.27,0.78,0.99,3.95,2.14亿,10.70亿,276.06亿,--
22,23,600138,中青旅,14.89,2.69,0.39,0.0,2.48,1.66,3.79,2.68亿,7.24亿,107.78亿,--
23,24,600859,王府井,28.31,2.68,0.74,0.04,0.91,1.32,4.46,2.80亿,10.93亿,309.56亿,58.08
24,25,605136,丽人丽妆,13.6,2.64,0.35,0.15,3.62,2.53,3.47,0.96亿,1.96亿,26.67亿,--
25,26,301009,可靠股份,13.81,2.6,0.35,0.22,4.38,2.27,2.9,0.58亿,0.97亿,13.42亿,190.63
26,27,002127,南极电商,5.1,2.41,0.12,0.0,2.88,2.92,3.62,2.91亿,19.95亿,101.73亿,37.73
27,28,002699,ST美盛,3.59,2.28,0.08,-0.28,4.49,1.98,3.13,1.46亿,9.09亿,32.65亿,15.89
28,29,300085,银之杰,12.14,2.27,0.27,0.17,4.47,2.26,5.98,2.82亿,5.27亿,63.99亿,--
29,30,600315,上海家化,33.12,2.25,0.73,0.18,0.76,1.31,2.93,1.68亿,6.73亿,222.96亿,53.84
30,31,603605,珀莱雅,183.88,2.17,3.91,0.15,0.34,0.87,3.46,1.73亿,2.81亿,517.47亿,78.94
31,32,601118,海南橡胶,4.71,2.17,0.1,-0.21,0.61,2.81,2.82,1.23亿,42.79亿,201.56亿,--
32,33,002410,广联达,63.86,2.13,1.33,0.08,0.24,0.92,3.15,1.54亿,9.92亿,633.22亿,89.39
33,34,600398,海澜之家,5.46,2.06,0.11,-0.37,0.37,1.92,3.55,0.87亿,43.20亿,235.85亿,10.11
34,35,002444,巨星科技,22.46,2.04,0.45,0.09,0.82,1.17,2.18,2.12亿,11.56亿,259.54亿,16.04
