,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002785,万里石,25.53,2.61,0.65,0.16,4.91,1.49,4.62,2.09亿,1.67亿,42.56亿,628.81
1,2,300631,久吾高科,34.46,1.35,0.46,0.15,1.32,1.21,2.15,0.55亿,1.21亿,41.59亿,167.61
2,3,603867,新化股份,37.96,1.12,0.42,0.19,0.96,0.79,2.82,0.66亿,1.85亿,70.08亿,21.18
3,4,603843,正平股份,4.62,0.87,0.04,0.22,0.7,1.26,1.09,0.23亿,7.00亿,32.32亿,100.63
4,5,300070,碧水源,5.08,0.79,0.04,0.2,0.37,1.14,0.99,0.51亿,27.27亿,138.52亿,634.82
5,6,002594,比亚迪,281.13,0.76,2.13,-0.09,0.38,1.05,1.36,12.36亿,11.65亿,3274.50亿,65.92
6,7,000792,盐湖股份,25.93,0.58,0.15,-0.04,0.28,0.97,1.63,3.96亿,54.33亿,1408.73亿,8.74
7,8,601068,中铝国际,5.19,0.58,0.03,0.19,0.19,0.81,1.16,0.25亿,25.60亿,132.84亿,139.11
8,9,603603,*ST博天,5.02,0.4,0.02,0.0,0.35,0.99,1.6,0.14亿,8.18亿,41.04亿,--
9,10,600499,科达制造,15.5,0.26,0.04,0.0,0.55,1.19,1.62,1.39亿,16.37亿,253.77亿,6.29
10,11,002539,云图控股,12.06,0.25,0.03,0.08,0.44,0.65,0.75,0.37亿,6.88亿,82.93亿,8.39
11,12,000408,藏格矿业,28.05,0.21,0.06,0.04,0.15,0.65,1.04,0.69亿,15.80亿,443.31亿,7.98
12,13,300172,中电环保,4.86,0.21,0.01,0.0,0.42,0.81,0.62,0.10亿,4.97亿,24.16亿,26.90
13,14,002460,赣锋锂业,76.79,0.14,0.11,0.01,0.94,1.04,2.36,8.66亿,12.08亿,927.40亿,7.85
14,15,600444,国机通用,14.01,0.14,0.02,0.07,0.4,0.66,0.79,0.08亿,1.46亿,20.51亿,47.14
15,16,603799,华友钴业,62.16,0.1,0.06,0.06,0.39,1.03,1.8,3.78亿,15.80亿,982.11亿,24.80
16,17,600338,西藏珠峰,24.95,0.04,0.01,0.12,0.71,0.58,1.88,1.62亿,9.14亿,228.19亿,31.18
