,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,603998,方盛制药,11.1,9.25,0.94,0.0,9.25,2.66,11.32,4.23亿,4.29亿,47.67亿,14.1
1,2,600572,康恩贝,5.07,4.32,0.21,0.0,1.99,3.89,4.53,2.54亿,25.63亿,129.96亿,42.61
2,3,688566,吉贝尔,24.27,3.67,0.86,0.04,1.69,2.45,7.05,0.33亿,0.81亿,19.59亿,42.93
3,4,300622,博士眼镜,23.35,3.46,0.78,0.0,2.22,4.24,5.54,0.56亿,1.08亿,25.14亿,62.52
4,5,600993,马应龙,25.49,2.91,0.72,-0.24,1.33,1.98,3.19,1.45亿,4.30亿,109.69亿,19.81
5,6,000153,丰原药业,10.53,2.53,0.26,0.29,4.28,2.07,2.53,1.39亿,3.12亿,32.85亿,20.73
6,7,002317,众生药业,23.38,2.36,0.54,0.34,4.29,1.98,3.94,7.02亿,7.07亿,165.35亿,57.42
7,8,600129,太极集团,35.23,2.26,0.78,0.09,0.8,1.71,3.51,1.56亿,5.57亿,196.19亿,59.12
8,9,300595,欧普康视,36.11,2.12,0.75,0.06,1.44,1.59,3.68,3.46亿,6.68亿,241.30亿,47.97
9,10,002773,康弘药业,17.9,2.05,0.36,0.22,0.75,2.35,2.45,0.92亿,6.91亿,123.63亿,16.36
10,11,002223,鱼跃医疗,30.43,2.05,0.61,0.07,1.2,1.82,2.31,3.40亿,9.38亿,285.38亿,20.15
11,12,000650,仁和药业,6.53,2.03,0.13,0.31,2.95,2.61,2.5,2.58亿,13.42亿,87.65亿,15.02
12,13,003020,立方制药,39.19,1.79,0.69,0.21,0.79,0.88,2.21,0.16亿,0.51亿,19.94亿,21.11
13,14,300573,兴齐眼药,155.79,1.66,2.54,0.84,1.28,0.64,2.67,1.35亿,0.68亿,105.98亿,51.01
14,15,301239,普瑞眼科,94.85,1.63,1.52,-0.02,1.07,0.55,3.81,0.38亿,0.37亿,35.48亿,113.22
15,16,000908,景峰医药,3.34,1.52,0.05,0.3,1.2,1.77,1.52,0.31亿,7.82亿,26.12亿,--
16,17,300015,爱尔眼科,33.03,1.38,0.45,0.12,0.2,0.93,2.46,3.76亿,58.03亿,1916.74亿,75.42
17,18,300238,冠昊生物,11.62,1.31,0.15,0.09,1.43,1.63,2.18,0.44亿,2.65亿,30.81亿,--
18,19,600812,华北制药,6.37,1.27,0.08,0.16,0.62,2.35,1.11,0.64亿,16.31亿,103.88亿,216.07
19,20,000790,华神科技,4.98,1.22,0.06,0.0,1.51,1.72,1.83,0.47亿,6.19亿,30.83亿,90.52
20,21,300233,金城医药,25.03,1.17,0.29,0.16,1.86,1.66,2.51,1.69亿,3.61亿,90.43亿,28.15
21,22,600671,ST目药,9.02,1.12,0.1,0.0,0.24,0.73,1.34,0.03亿,1.22亿,10.98亿,--
22,23,300006,莱美药业,4.18,0.97,0.04,0.0,0.65,0.96,1.21,0.22亿,8.12亿,33.95亿,--
23,24,603168,莎普爱思,8.23,0.86,0.07,0.0,0.5,1.27,1.47,0.13亿,3.23亿,26.55亿,50.80
24,25,688050,爱博医疗,229.9,0.84,1.92,0.0,0.59,1.07,1.73,0.94亿,0.70亿,160.14亿,104.33
25,26,601886,江河集团,7.95,0.76,0.06,-0.13,0.2,0.92,1.52,0.18亿,11.33亿,90.07亿,15.07
26,27,600668,尖峰集团,13.25,0.68,0.09,0.08,1.22,1.27,1.22,0.56亿,3.44亿,45.59亿,18.48
27,28,002524,光正眼科,7.52,0.67,0.05,0.0,0.8,0.73,1.21,0.31亿,5.09亿,38.29亿,21.98
28,29,002020,京新药业,13.9,0.51,0.07,0.22,1.01,1.35,2.46,0.93亿,6.56亿,91.24亿,19.03
29,30,600223,鲁商发展,12.09,0.33,0.04,0.08,0.7,0.61,1.58,0.86亿,10.17亿,122.90亿,59.94
30,31,688198,佰仁医疗,130.97,0.19,0.25,-0.29,0.12,0.64,1.46,0.11亿,0.73亿,95.29亿,222.66
31,32,600568,ST中珠,1.84,0.0,0.0,0.0,0.2,1.19,1.09,0.06亿,15.65亿,28.80亿,--
32,33,301103,何氏眼科,35.2,-0.06,-0.02,0.11,1.84,0.62,1.39,0.26亿,0.40亿,13.96亿,63.47
33,34,301267,华厦眼科,90.2,-0.31,-0.28,0.02,0.99,0.55,2.12,0.50亿,0.56亿,50.82亿,95.27
34,35,600276,恒瑞医药,44.38,-0.96,-0.43,0.05,0.29,0.97,1.85,8.27亿,63.79亿,2831.00亿,66.91
35,36,688366,昊海生科,111.32,-1.49,-1.68,-0.06,0.36,0.44,2.08,0.23亿,0.58亿,64.65亿,88.41
36,37,002411,*ST必康,7.23,-1.63,-0.12,0.0,0.56,0.55,2.04,0.62亿,15.32亿,110.78亿,27.28
37,38,300558,贝达药业,60.7,-1.64,-1.01,-0.02,0.41,1.04,2.92,1.03亿,4.16亿,252.57亿,184.86
38,39,430047,诺思兰德,14.4,-1.64,-0.24,0.0,0.17,0.82,3.28,0.04亿,1.86亿,26.77亿,--
39,40,301263,泰恩康,36.84,-3.05,-1.16,0.22,5.03,1.15,5.37,0.99亿,0.54亿,19.77亿,51.36
