,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600378,昊华科技,54.6,9.99,4.96,0.0,0.14,2.13,0.0,0.70亿,9.04亿,493.56亿,49.37
1,2,603359,东珠生态,11.33,2.16,0.24,0.27,1.47,3.42,3.52,0.74亿,4.46亿,50.54亿,19.84
2,3,002118,紫鑫药业,2.37,1.72,0.04,0.42,1.55,2.69,2.15,0.47亿,12.81亿,30.35亿,--
3,4,600968,海油发展,3.28,1.55,0.05,0.31,0.17,1.39,1.86,0.55亿,101.65亿,333.42亿,13.58
4,5,600864,哈投股份,5.09,1.39,0.07,0.0,0.45,2.17,2.39,0.47亿,20.81亿,105.90亿,--
5,6,000402,金融街,5.29,0.95,0.05,-0.38,0.57,2.32,1.53,0.90亿,29.88亿,158.06亿,8.59
6,7,600744,华银电力,4.47,0.9,0.04,0.22,0.86,1.55,1.58,0.32亿,8.28亿,37.00亿,--
7,8,601669,中国电建,7.02,0.57,0.04,0.0,0.35,1.6,0.86,2.73亿,109.91亿,771.60亿,10.53
8,9,600517,国网英大,5.31,0.57,0.03,0.0,0.66,2.46,2.65,0.67亿,19.00亿,100.87亿,27.67
9,10,603060,国检集团,13.32,0.38,0.05,0.15,0.12,1.16,0.98,0.12亿,7.29亿,97.13亿,38.41
10,11,002092,中泰化学,8.57,0.23,0.02,0.23,0.63,0.83,1.87,1.38亿,25.76亿,220.72亿,14.47
11,12,000543,皖能电力,4.62,0.22,0.01,-0.22,0.55,1.2,1.3,0.58亿,22.67亿,104.73亿,18.12
12,13,000885,城发环境,10.7,0.19,0.02,-0.09,0.33,1.17,0.94,0.23亿,6.42亿,68.70亿,6.2
13,14,000027,深圳能源,6.29,0.16,0.01,0.16,0.08,0.74,0.48,0.24亿,47.57亿,299.24亿,13.74
14,15,300137,先河环保,6.7,0.15,0.01,0.15,0.86,0.96,1.5,0.28亿,4.82亿,32.27亿,120.27
15,16,000663,永安林业,9.09,0.11,0.01,0.11,0.6,0.82,0.88,0.17亿,3.06亿,27.84亿,6.98
16,17,600039,四川路桥,12.71,0.0,0.0,0.08,0.07,0.62,1.18,0.40亿,47.42亿,602.75亿,9.86
17,18,300190,维尔利,4.48,0.0,0.0,0.22,0.15,0.68,1.12,0.05亿,7.76亿,34.77亿,65.1
18,19,002015,协鑫能科,11.76,0.0,0.0,-0.09,0.29,0.54,0.94,0.55亿,16.23亿,190.90亿,21.71
19,20,000993,闽东电力,10.81,-0.09,-0.01,0.09,0.4,0.64,0.65,0.19亿,4.40亿,47.54亿,17.35
20,21,600963,岳阳林纸,7.03,-0.14,-0.01,0.14,0.42,0.79,1.56,0.53亿,17.65亿,124.08亿,20.07
21,22,002679,福建金森,12.27,-0.16,-0.02,-0.08,0.45,0.81,1.22,0.13亿,2.36亿,28.93亿,--
22,23,300732,设研院,9.88,-0.2,-0.02,-0.2,0.34,0.93,0.61,0.11亿,3.22亿,31.86亿,15.95
23,24,002554,惠博普,4.14,-0.24,-0.01,0.0,0.85,0.91,0.72,0.30亿,8.54亿,35.35亿,39.93
24,25,000767,晋控电力,3.39,-0.29,-0.01,-0.29,0.18,0.68,0.88,0.18亿,29.12亿,98.72亿,163.77
25,26,002610,爱康科技,2.96,-0.34,-0.01,0.0,0.41,0.87,0.67,0.53亿,43.83亿,129.74亿,--
26,27,002665,首航高科,3.92,-0.51,-0.02,-0.25,1.27,1.11,1.27,1.23亿,24.62亿,96.49亿,--
27,28,600475,华光环能,10.68,-0.65,-0.07,-0.28,1.3,1.63,4.28,1.28亿,9.27亿,99.00亿,15.19
28,29,001289,龙源电力,19.26,-0.67,-0.13,-0.16,0.47,0.78,1.29,0.31亿,3.46亿,66.56亿,22.62
29,30,000966,长源电力,5.1,-0.78,-0.04,-0.2,0.45,0.74,0.78,0.30亿,13.08亿,66.71亿,40.47
30,31,600160,巨化股份,17.89,-0.89,-0.16,-0.11,0.7,1.11,2.55,3.41亿,27.00亿,482.99亿,21.32
31,32,603126,中材节能,7.75,-1.02,-0.08,0.0,0.52,1.27,1.92,0.24亿,6.11亿,47.31亿,28.49
32,33,603177,德创环保,18.62,-1.38,-0.26,-0.16,1.1,1.06,1.75,0.42亿,2.02亿,37.61亿,154.88
33,34,000591,太阳能,7.33,-1.74,-0.13,0.0,0.99,2.35,2.28,2.17亿,30.07亿,220.42亿,18.45
34,35,000807,云铝股份,13.31,-1.92,-0.26,0.0,0.59,1.2,3.17,2.70亿,34.32亿,456.75亿,9.20
35,36,688051,佳华科技,39.76,-2.21,-0.9,-0.08,3.9,1.04,3.12,0.37亿,0.24亿,9.47亿,--
36,37,300614,百川畅银,29.53,-2.38,-0.72,0.68,1.89,1.03,2.98,0.50亿,0.89亿,26.28亿,69.22
37,38,300234,开尔新材,5.87,-2.81,-0.17,-0.17,3.63,2.75,2.48,0.73亿,3.41亿,20.00亿,65.08
38,39,300490,华自科技,16.32,-3.55,-0.6,0.06,2.34,1.15,3.6,1.25亿,3.23亿,52.73亿,--
