,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,836077,吉林碳谷,48.82,1.77,0.85,0.0,0.15,0.65,3.52,0.07亿,1.01亿,49.46亿,24.12
1,2,600516,方大炭素,6.74,1.66,0.11,0.0,0.76,2.68,2.11,1.94亿,38.06亿,256.52亿,41.22
2,3,600348,华阳股份,15.43,1.65,0.25,0.13,1.44,2.07,2.9,5.35亿,24.05亿,371.09亿,5.61
3,4,600688,上海石化,3.29,1.23,0.04,0.31,0.14,1.47,1.54,0.34亿,73.29亿,241.12亿,--
4,5,600843,上工申贝,5.48,1.11,0.06,0.0,0.76,1.99,2.03,0.19亿,4.69亿,25.71亿,32.93
5,6,601718,际华集团,3.15,0.96,0.03,0.0,0.5,1.34,1.28,0.69亿,43.92亿,138.34亿,59.38
6,7,002221,东华能源,9.25,0.54,0.05,-0.11,0.26,0.79,1.41,0.35亿,14.58亿,134.90亿,68.98
7,8,688295,中复神鹰,46.22,0.52,0.24,0.13,0.64,0.56,1.52,0.21亿,0.73亿,33.61亿,73.64
8,9,300699,光威复材,67.35,0.42,0.28,0.02,0.25,0.5,1.12,0.85亿,5.10亿,343.30亿,37.46
9,10,300777,中简科技,56.07,0.38,0.21,0.02,0.71,1.52,1.95,1.62亿,4.07亿,228.25亿,57.72
10,11,002529,海源复材,19.18,0.31,0.06,0.0,1.35,1.16,1.73,0.67亿,2.60亿,49.87亿,--
11,12,000420,吉林化纤,4.87,0.21,0.01,-0.21,0.64,0.73,1.24,0.77亿,24.58亿,119.70亿,--
12,13,600089,特变电工,21.2,0.09,0.02,0.09,0.36,0.85,0.85,2.94亿,38.85亿,823.72亿,5.59
13,14,600143,金发科技,10.15,-0.2,-0.02,0.0,0.31,0.99,0.89,0.80亿,25.74亿,261.22亿,16.81
14,15,000969,安泰科技,8.92,-0.22,-0.02,0.0,0.62,0.98,1.34,0.57亿,10.26亿,91.50亿,40.21
15,16,002171,楚江新材,8.12,-0.37,-0.03,0.0,0.4,0.78,0.98,0.42亿,12.98亿,105.41亿,81.21
16,17,002361,神剑股份,4.45,-0.45,-0.02,0.23,0.73,0.84,1.12,0.26亿,7.95亿,35.40亿,62.23
17,18,002297,博云新材,8.42,-0.47,-0.04,0.0,0.93,0.97,1.42,0.45亿,5.73亿,48.26亿,198.43
18,19,002006,精功科技,29.19,-0.48,-0.14,0.07,0.56,1.02,1.88,0.75亿,4.55亿,132.86亿,63.44
19,20,002338,奥普光电,26.14,-0.57,-0.15,-0.04,0.89,1.13,1.75,0.56亿,2.40亿,62.73亿,67.73
20,21,688033,天宜上佳,23.24,-0.9,-0.21,-0.04,0.7,0.83,2.35,0.58亿,3.55亿,82.54亿,78.98
21,22,300719,安达维尔,12.8,-1.0,-0.13,0.16,0.96,0.84,2.09,0.22亿,1.81亿,23.19亿,--
22,23,002768,国恩股份,30.96,-1.09,-0.34,-0.03,0.76,0.82,1.76,0.42亿,1.77亿,54.72亿,11.78
23,24,300629,新劲刚,27.48,-1.44,-0.4,-0.07,1.85,0.91,1.97,0.75亿,1.46亿,40.15亿,35.45
24,25,300690,双一科技,18.69,-1.63,-0.31,0.05,0.98,1.12,2.32,0.20亿,1.09亿,20.46亿,55.81
25,26,002085,万丰奥威,6.75,-1.75,-0.12,0.0,0.55,1.11,2.33,0.79亿,21.42亿,144.56亿,18.26
26,27,002669,康达新材,15.93,-2.33,-0.38,-0.06,1.64,0.97,3.25,0.66亿,2.51亿,39.98亿,--
27,28,301131,聚赛龙,45.19,-3.99,-1.88,0.02,7.66,1.68,4.65,0.42亿,0.12亿,5.40亿,73.84
28,29,300594,朗进科技,25.08,-7.79,-2.12,-0.24,5.21,2.51,9.23,1.19亿,0.90亿,22.48亿,--
