,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688307,中润光学,52.12,118.26,28.24,-0.15,55.45,0.0,44.89,4.86亿,0.18亿,9.51亿,141.66
1,2,688073,毕得医药,147.92,10.64,14.22,0.67,3.35,4.58,10.96,0.63亿,0.13亿,19.75亿,65.86
2,3,688132,邦彦技术,29.15,5.24,1.45,1.57,3.57,3.18,6.17,0.34亿,0.33亿,9.72亿,--
3,4,688435,英方软件,104.66,4.57,4.57,0.35,10.3,1.82,6.55,1.84亿,0.18亿,18.44亿,1061.88
4,5,688053,思科瑞,73.93,4.42,3.13,0.44,3.3,2.73,5.93,0.55亿,0.23亿,16.92亿,67.06
5,6,688400,凌云光,30.45,4.28,1.25,0.0,7.18,2.59,5.17,1.89亿,0.87亿,26.61亿,66.94
6,7,688515,裕太微,241.87,3.82,8.9,0.32,9.85,0.77,7.78,4.22亿,0.18亿,44.07亿,1905.05
7,8,688072,拓荆科技,286.15,2.93,8.15,-0.47,2.11,1.28,4.73,1.65亿,0.28亿,78.95亿,114.29
8,9,688279,峰岹科技,104.32,2.88,2.92,0.37,0.87,1.92,5.17,0.20亿,0.22亿,22.94亿,62.34
9,10,688048,长光华芯,132.57,2.53,3.27,0.43,3.13,1.16,5.41,1.27亿,0.31亿,41.39亿,142.10
10,11,688137,近岸蛋白,85.1,2.28,1.9,0.08,3.19,1.95,3.02,0.44亿,0.16亿,13.84亿,49.71
11,12,688213,思特威,48.23,2.16,1.02,-0.45,1.26,1.4,4.91,0.19亿,0.32亿,15.44亿,--
12,13,688247,宣泰医药,16.38,2.06,0.33,-0.3,9.04,3.12,4.36,0.61亿,0.41亿,6.70亿,83.00
13,14,688348,昱能科技,465.5,2.0,9.13,-0.08,2.29,1.54,4.07,2.03亿,0.19亿,89.21亿,110.48
14,15,688244,永信至诚,67.31,1.99,1.31,0.05,2.46,1.69,4.88,0.15亿,0.10亿,6.42亿,--
15,16,688203,海正生材,18.56,1.98,0.36,0.87,2.95,3.52,4.83,0.26亿,0.48亿,8.96亿,67.12
