,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688020,方邦股份,73.0,4.03,2.83,-0.01,1.44,1.14,6.16,0.69亿,0.68亿,49.30亿,--
1,2,002167,东方锆业,9.77,3.61,0.34,0.51,17.54,1.72,7.0,11.67亿,6.81亿,66.55亿,44.29
2,3,300779,惠城环保,45.0,2.98,1.3,0.22,2.82,1.5,6.61,1.13亿,0.90亿,40.43亿,--
3,4,000970,中科三环,14.75,1.3,0.19,0.07,1.89,1.21,2.54,3.37亿,12.16亿,179.32亿,21.82
4,5,600010,包钢股份,2.05,0.98,0.02,0.0,0.46,1.37,1.48,2.95亿,316.77亿,649.38亿,--
5,6,300631,久吾高科,34.28,0.82,0.28,0.0,1.37,1.1,2.15,0.57亿,1.21亿,41.37亿,166.73
6,7,603663,三祥新材,16.45,0.73,0.12,-0.12,2.3,1.27,3.43,1.14亿,3.01亿,49.50亿,29.26
7,8,300340,科恒股份,20.65,0.73,0.15,0.34,16.49,1.66,7.32,6.44亿,1.87亿,38.62亿,--
8,9,600872,中炬高新,38.86,0.73,0.28,0.05,0.53,0.81,2.49,1.59亿,7.85亿,305.20亿,54.66
9,10,600281,华阳新材,4.79,0.63,0.03,0.21,0.29,1.05,1.05,0.07亿,5.14亿,24.64亿,--
10,11,600392,盛和资源,16.25,0.62,0.1,0.06,0.61,0.88,1.49,1.73亿,17.53亿,284.83亿,14.38
11,12,600111,北方稀土,28.86,0.52,0.15,0.07,0.71,1.18,1.95,7.38亿,36.15亿,1043.31亿,16.89
12,13,002056,横店东磁,22.18,0.5,0.11,-0.05,0.46,0.77,1.45,1.63亿,15.97亿,354.23亿,22.4
13,14,002943,宇晶股份,54.65,0.46,0.25,-0.07,2.07,0.92,2.06,0.70亿,0.62亿,34.14亿,60.24
14,15,000831,中国稀土,41.25,0.24,0.1,0.05,1.41,1.32,2.16,5.68亿,9.81亿,404.62亿,82.45
15,16,000795,英洛华,7.47,0.13,0.01,-0.13,0.49,0.85,1.21,0.41亿,11.34亿,84.69亿,30.1
