,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002428,云南锗业,10.96,1.29,0.14,-0.09,1.95,1.35,3.42,1.38亿,6.44亿,70.62亿,--
1,2,600293,三峡新材,2.99,1.01,0.03,0.34,0.73,1.04,1.69,0.25亿,11.60亿,34.69亿,--
2,3,300340,科恒股份,20.65,0.73,0.15,0.34,16.49,1.66,7.32,6.44亿,1.87亿,38.62亿,--
3,4,600111,北方稀土,28.86,0.52,0.15,0.07,0.71,1.18,1.95,7.38亿,36.15亿,1043.31亿,16.89
4,5,000960,锡业股份,15.0,0.47,0.07,0.07,0.45,0.67,1.41,1.10亿,16.46亿,246.87亿,13.76
5,6,600456,宝钛股份,42.99,0.42,0.18,-0.02,0.59,1.07,1.31,1.22亿,4.78亿,205.40亿,30.24
6,7,600328,中盐化工,15.79,0.38,0.06,0.0,1.14,0.83,1.08,1.00亿,5.60亿,88.36亿,7.61
7,8,600141,兴发集团,31.04,0.32,0.1,0.03,0.48,0.85,0.94,1.63亿,11.05亿,343.12亿,5.27
8,9,600188,兖矿能源,32.07,0.31,0.1,-0.03,0.24,0.68,1.09,2.31亿,29.87亿,957.92亿,4.39
9,10,000060,中金岭南,4.48,0.22,0.01,0.0,0.29,0.86,0.9,0.48亿,37.37亿,167.43亿,12.01
10,11,600497,驰宏锌锗,5.45,0.18,0.01,0.18,0.6,0.91,1.29,1.67亿,50.91亿,277.48亿,14.64
11,12,600508,上海能源,14.64,0.14,0.02,0.0,0.36,0.78,0.48,0.38亿,7.23亿,105.81亿,3.74
12,13,002176,江特电机,18.53,0.0,0.0,0.11,1.02,1.24,1.83,3.22亿,17.05亿,316.02亿,12.1
13,14,002237,恒邦股份,11.17,0.0,0.0,0.0,0.54,1.1,1.34,0.55亿,9.10亿,101.69亿,23.77
14,15,002340,格林美,7.95,0.0,0.0,0.13,0.41,0.94,0.5,1.66亿,50.75亿,403.45亿,30.44
15,16,000758,中色股份,5.67,0.0,0.0,-0.18,1.25,0.92,1.76,1.39亿,19.69亿,111.66亿,20.06
16,17,600888,新疆众和,9.02,0.0,0.0,0.0,0.61,0.99,1.11,0.74亿,13.32亿,120.18亿,7.29
17,18,000762,西藏矿业,41.81,-0.02,-0.01,-0.05,0.95,0.92,1.63,2.08亿,5.21亿,217.75亿,34.19
18,19,603977,国泰集团,9.4,-0.11,-0.01,0.21,0.35,0.82,1.06,0.20亿,6.21亿,58.40亿,21.82
19,20,600489,中金黄金,8.48,-0.12,-0.01,0.12,0.2,0.62,1.06,0.74亿,43.63亿,369.95亿,17.96
20,21,600547,山东黄金,19.12,-0.16,-0.03,0.05,0.21,0.82,0.84,1.46亿,36.14亿,691.08亿,92.57
21,22,600531,豫光金铅,5.77,-0.17,-0.01,0.0,0.56,0.97,0.86,0.35亿,10.90亿,62.91亿,17.41
22,23,600121,郑州煤电,5.2,-0.19,-0.01,0.0,0.64,0.71,0.58,0.40亿,12.18亿,63.36亿,85.40
23,24,600988,赤峰黄金,18.8,-0.21,-0.04,0.11,0.72,0.92,1.59,2.23亿,16.64亿,312.81亿,59.23
24,25,600123,兰花科创,13.42,-0.3,-0.04,-0.07,0.59,0.95,0.74,0.91亿,11.42亿,153.31亿,4.17
25,26,000697,炼石航空,6.84,-0.44,-0.03,0.0,0.62,0.84,1.02,0.24亿,5.77亿,39.46亿,--
26,27,600980,北矿科技,15.74,-0.57,-0.09,0.26,0.59,1.16,1.07,0.14亿,1.53亿,24.10亿,34.59
27,28,000655,金岭矿业,7.68,-0.65,-0.05,0.0,0.29,0.77,1.03,0.13亿,5.95亿,45.72亿,17.19
28,29,601899,紫金矿业,11.49,-0.69,-0.08,0.09,0.28,0.79,1.21,6.67亿,205.25亿,2358.36亿,13.61
29,30,600367,红星发展,17.1,-0.76,-0.13,-0.06,0.81,0.94,1.1,0.41亿,2.93亿,50.14亿,17.06
30,31,000688,国城矿业,17.53,-0.79,-0.14,0.0,0.15,0.76,1.53,0.30亿,11.18亿,195.92亿,92.57
31,32,002738,中矿资源,80.29,-0.81,-0.66,0.24,1.05,1.05,2.2,3.62亿,4.28亿,343.59亿,13.55
32,33,000630,铜陵有色,3.37,-0.88,-0.03,0.3,0.72,1.11,1.47,2.54亿,105.26亿,354.74亿,14.3
33,34,600259,广晟有色,46.13,-0.97,-0.45,0.28,1.0,1.26,2.17,1.51亿,3.29亿,151.99亿,54.8
34,35,603993,洛阳钼业,5.85,-1.01,-0.06,0.0,0.4,0.83,2.03,4.13亿,176.66亿,1033.45亿,17.86
35,36,600549,厦门钨业,22.91,-1.08,-0.25,-0.09,1.22,1.35,2.29,3.95亿,14.11亿,323.26亿,22.27
36,37,000878,云南铜业,13.17,-1.27,-0.17,0.08,1.05,0.99,1.72,2.34亿,17.00亿,223.84亿,13.36
37,38,600459,贵研铂业,16.79,-1.29,-0.22,0.06,0.6,0.91,2.0,0.75亿,7.39亿,124.07亿,29.48
38,39,600362,江西铜业,19.78,-1.3,-0.26,0.15,0.69,1.31,1.45,2.84亿,20.75亿,410.48亿,10.86
39,40,002842,翔鹭钨业,9.89,-1.59,-0.16,0.1,5.74,0.88,2.49,1.23亿,2.16亿,21.36亿,93.45
40,41,603132,金徽股份,13.4,-1.76,-0.24,0.0,1.74,0.78,2.35,0.23亿,0.98亿,13.13亿,32.02
41,42,605086,龙高股份,23.17,-2.36,-0.56,-0.13,1.71,1.15,2.99,0.20亿,0.51亿,11.85亿,26.54
42,43,601020,华钰矿业,16.54,-2.36,-0.4,0.0,2.95,1.07,3.96,2.76亿,5.62亿,93.01亿,49.43
43,44,000962,东方钽业,12.45,-2.43,-0.31,-0.08,2.31,1.21,2.59,1.28亿,4.41亿,54.88亿,30.61
