,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002663,普邦股份,2.28,10.14,0.21,0.0,3.15,4.07,11.11,0.87亿,12.48亿,28.45亿,--
1,2,001339,智微智能,31.72,9.99,2.88,0.0,18.16,2.0,2.46,3.53亿,0.62亿,19.59亿,58.99
2,3,301248,杰创智能,38.35,5.68,2.06,0.13,28.87,1.35,9.15,2.60亿,0.24亿,9.20亿,60.72
3,4,000529,广弘控股,8.74,4.8,0.4,0.0,6.23,5.12,7.91,3.07亿,5.70亿,49.81亿,5.19
4,5,000042,中洲控股,9.0,4.65,0.4,0.0,2.57,5.46,7.91,1.52亿,6.64亿,59.76亿,15.52
5,6,300199,翰宇药业,13.54,4.47,0.58,0.37,7.49,2.85,5.48,6.60亿,6.66亿,90.18亿,--
6,7,000032,深桑达A,28.36,3.92,1.07,-0.39,5.91,2.56,12.53,10.69亿,6.45亿,182.85亿,--
7,8,002429,兆驰股份,4.54,3.89,0.17,0.89,0.7,2.06,4.58,1.38亿,44.96亿,204.13亿,17.50
8,9,300738,奥飞数据,13.87,3.58,0.48,-0.22,7.84,1.59,8.96,7.33亿,6.84亿,94.93亿,64.67
9,10,002757,南兴股份,13.95,3.03,0.41,0.07,7.87,1.51,3.32,3.05亿,2.80亿,39.03亿,15.38
10,11,002016,世荣兆业,6.98,2.65,0.18,0.0,2.04,1.06,3.97,0.97亿,6.87亿,47.94亿,35.04
11,12,002137,实益达,8.13,2.52,0.2,0.0,7.25,2.11,4.92,2.27亿,3.91亿,31.75亿,23.32
12,13,002906,华阳集团,36.51,2.21,0.79,0.03,0.94,1.46,3.02,1.62亿,4.75亿,173.41亿,48.82
13,14,300468,四方精创,11.89,2.15,0.25,0.17,3.73,1.84,3.18,2.32亿,5.29亿,62.91亿,84.48
14,15,002587,奥拓电子,6.73,2.12,0.14,0.15,9.61,1.46,5.77,3.33亿,5.09亿,34.25亿,138.25
15,16,002308,威创股份,5.81,2.11,0.12,0.35,10.41,2.95,6.15,5.52亿,8.97亿,52.09亿,51.72
16,17,300377,赢时胜,9.9,2.06,0.2,0.2,2.16,1.69,3.71,1.42亿,6.68亿,66.17亿,901.65
17,18,600185,格力地产,10.37,1.97,0.2,0.1,2.01,1.15,2.56,3.89亿,18.85亿,195.47亿,--
18,19,002875,安奈儿,17.28,1.89,0.32,-0.29,7.11,1.89,2.89,1.49亿,1.22亿,21.16亿,--
19,20,002285,世联行,3.3,1.85,0.06,-0.3,1.1,1.19,3.7,0.72亿,20.15亿,66.49亿,--
20,21,000987,越秀资本,6.67,1.83,0.12,0.15,0.24,1.75,2.14,0.79亿,50.17亿,334.61亿,13.34
21,22,600004,白云机场,14.91,1.64,0.24,0.07,1.07,1.94,3.89,3.79亿,23.67亿,352.88亿,--
22,23,000020,深华发A,10.52,1.54,0.16,-0.1,1.18,2.63,4.73,0.22亿,1.81亿,19.06亿,262.08
23,24,600325,华发股份,10.12,1.4,0.14,0.1,0.54,0.71,1.4,1.15亿,21.17亿,214.26亿,8.36
24,25,000023,深天地A,11.65,1.39,0.16,0.17,1.75,2.5,4.96,0.28亿,1.39亿,16.16亿,--
25,26,300476,胜宏科技,19.29,1.37,0.26,-0.46,5.63,1.11,5.25,9.14亿,8.56亿,165.19亿,19.51
26,27,601333,广深铁路,2.24,1.36,0.03,0.0,0.39,1.48,1.81,0.49亿,56.52亿,126.61亿,--
27,28,000031,大悦城,3.79,1.34,0.05,0.27,0.21,1.16,2.41,0.31亿,40.03亿,151.71亿,134.41
28,29,000089,深圳机场,7.64,1.33,0.1,-0.13,0.35,1.36,1.99,0.56亿,20.51亿,156.68亿,--
29,30,002431,棕榈股份,3.16,1.28,0.04,-0.32,1.41,1.31,1.6,0.65亿,14.58亿,46.08亿,--
30,31,002421,达实智能,4.1,1.24,0.05,0.0,1.78,1.31,2.72,1.30亿,17.80亿,73.00亿,37.57
31,32,603515,欧普照明,17.73,1.2,0.21,0.0,0.2,1.21,2.0,0.26亿,7.54亿,133.64亿,19.82
32,33,000007,全新好,7.71,1.18,0.09,-0.13,0.79,2.21,1.44,0.19亿,3.09亿,23.82亿,--
33,34,300484,蓝海华腾,16.46,1.17,0.19,-0.06,8.31,1.22,5.35,2.20亿,1.60亿,26.36亿,41.13
34,35,001979,招商蛇口,14.77,1.16,0.17,0.07,0.17,0.59,3.15,1.88亿,77.38亿,1142.91亿,28.99
35,36,002187,广百股份,7.52,1.07,0.08,-0.13,0.73,1.12,1.75,0.28亿,5.17亿,38.89亿,--
36,37,000011,深物业A,11.44,1.06,0.12,0.09,0.47,0.76,1.24,0.28亿,5.26亿,60.23亿,11.22
37,38,300997,欢乐家,13.66,1.04,0.14,-0.07,4.81,1.57,2.96,0.58亿,0.90亿,12.29亿,39.19
38,39,600548,深高速,9.04,1.01,0.09,0.0,0.09,0.86,0.89,0.11亿,14.33亿,129.57亿,7.35
39,40,001313,粤海饲料,9.58,0.95,0.09,0.1,0.68,1.26,1.37,0.14亿,2.18亿,20.87亿,113.48
40,41,000096,广聚能源,8.55,0.94,0.08,0.0,0.29,1.62,1.53,0.13亿,5.11亿,43.68亿,55.50
41,42,601228,广州港,3.24,0.94,0.03,0.31,0.13,1.25,0.94,0.26亿,61.93亿,200.66亿,20.25
42,43,002930,宏川智慧,22.1,0.91,0.2,0.0,0.25,0.82,2.69,0.24亿,4.29亿,94.73亿,40.62
43,44,603535,嘉诚国际,19.48,0.88,0.17,0.1,0.19,0.99,1.4,0.08亿,2.18亿,42.48亿,20.95
44,45,000090,天健集团,5.74,0.88,0.05,0.18,0.39,0.96,1.41,0.42亿,18.68亿,107.24亿,5.67
45,46,002314,南山控股,3.75,0.81,0.03,-0.27,0.82,0.67,1.61,0.41亿,13.38亿,50.18亿,--
46,47,000088,盐田港,5.26,0.77,0.04,0.19,0.08,0.62,0.96,0.09亿,22.49亿,118.31亿,26.01
47,48,000029,深深房A,12.13,0.75,0.09,-0.17,0.3,1.01,2.58,0.32亿,8.92亿,108.16亿,73.56
48,49,002047,宝鹰股份,4.13,0.73,0.03,0.24,2.54,1.9,4.63,1.41亿,13.36亿,55.16亿,--
49,50,300340,科恒股份,20.65,0.73,0.15,0.34,16.49,1.66,7.32,6.44亿,1.87亿,38.62亿,--
50,51,600872,中炬高新,38.86,0.73,0.28,0.05,0.53,0.81,2.49,1.59亿,7.85亿,305.20亿,54.66
51,52,600868,梅雁吉祥,2.86,0.7,0.02,0.35,0.64,1.0,0.7,0.35亿,18.98亿,54.29亿,89.78
52,53,001872,招商港口,14.84,0.68,0.1,-0.07,0.09,1.58,1.02,0.23亿,17.42亿,258.58亿,10.10
53,54,000507,珠海港,5.95,0.68,0.04,0.0,0.51,0.78,1.52,0.27亿,9.02亿,53.69亿,19.15
54,55,002672,东江环保,6.1,0.66,0.04,0.0,0.28,1.23,0.49,0.11亿,6.79亿,41.42亿,--
55,56,002575,群兴玩具,6.46,0.62,0.04,-0.16,2.23,2.42,2.96,0.85亿,5.89亿,38.03亿,449.99
56,57,300146,汤臣倍健,22.87,0.62,0.14,0.0,0.53,1.44,1.94,1.37亿,11.29亿,258.31亿,19.68
57,58,002822,中装建设,5.07,0.59,0.03,-0.2,0.91,0.64,1.79,0.30亿,6.51亿,33.00亿,--
58,59,600428,中远海特,7.12,0.56,0.04,0.0,0.58,0.71,1.41,0.89亿,21.47亿,152.84亿,14.89
59,60,000671,阳光城,1.89,0.53,0.01,-0.53,0.73,1.16,1.6,0.56亿,40.55亿,76.64亿,--
60,61,600162,香江控股,1.94,0.52,0.01,-0.51,0.25,0.85,1.55,0.16亿,32.68亿,63.41亿,33.92
61,62,002233,塔牌集团,7.88,0.51,0.04,0.0,0.22,0.89,0.64,0.21亿,11.92亿,93.92亿,67.35
62,63,000014,沙河股份,10.42,0.48,0.05,-0.1,1.16,0.73,1.25,0.29亿,2.42亿,25.22亿,10.22
63,64,002732,燕塘乳业,20.67,0.44,0.09,0.05,0.7,0.56,1.17,0.23亿,1.56亿,32.26亿,29.05
64,65,002210,飞马国际,2.4,0.42,0.01,0.0,0.59,1.14,0.84,0.38亿,26.59亿,63.83亿,901.91
65,66,002584,西陇科学,7.35,0.41,0.03,-0.14,2.57,1.36,1.91,0.77亿,4.06亿,29.86亿,32.13
66,67,300942,易瑞生物,17.57,0.4,0.07,0.23,1.71,1.09,1.14,0.31亿,1.04亿,18.31亿,35.60
67,68,000055,方大集团,5.16,0.39,0.02,0.0,0.66,0.96,0.97,0.23亿,6.76亿,34.88亿,19.41
68,69,000838,财信发展,5.39,0.37,0.02,0.0,0.35,0.84,0.74,0.20亿,10.53亿,56.76亿,--
69,70,600008,首创环保,2.93,0.34,0.01,0.0,0.26,0.78,0.69,0.55亿,73.41亿,215.08亿,4.96
70,71,002183,怡亚通,6.13,0.33,0.02,0.0,0.4,0.64,0.82,0.63亿,25.96亿,159.15亿,55.14
71,72,002035,华帝股份,6.2,0.32,0.02,0.0,0.8,0.68,1.13,0.37亿,7.55亿,46.80亿,14.05
72,73,300949,奥雅股份,37.38,0.32,0.12,0.03,7.44,2.24,2.95,0.48亿,0.17亿,6.36亿,--
73,74,002042,华孚时尚,3.2,0.31,0.01,-0.62,0.81,1.74,1.25,0.44亿,17.01亿,54.42亿,13.58
74,75,300176,派生科技,6.89,0.29,0.02,0.0,0.56,0.53,1.31,0.15亿,3.86亿,26.62亿,445.94
75,76,300319,麦捷科技,10.5,0.29,0.03,-0.1,2.09,1.27,3.53,1.80亿,8.19亿,86.03亿,41.45
76,77,600684,珠江股份,3.81,0.26,0.01,0.0,0.41,0.61,0.79,0.13亿,8.53亿,32.52亿,--
77,78,000099,中信海直,7.84,0.26,0.02,-0.13,0.69,1.17,0.9,0.39亿,7.10亿,55.68亿,27.34
78,79,300350,华鹏飞,5.39,0.19,0.01,0.0,2.15,2.91,2.97,0.54亿,4.67亿,25.19亿,--
79,80,000006,深振业A,5.58,0.18,0.01,-0.18,1.26,0.56,1.44,0.95亿,13.50亿,75.33亿,28.10
80,81,600098,广州发展,5.9,0.17,0.01,0.0,0.18,0.77,0.51,0.33亿,32.07亿,189.20亿,12.87
81,82,300232,洲明科技,6.28,0.16,0.01,0.0,0.42,0.8,1.12,0.23亿,8.76亿,54.98亿,20.30
82,83,003037,三和管桩,12.78,0.16,0.02,-0.08,3.2,1.49,2.19,0.37亿,0.91亿,11.63亿,36.84
83,84,000539,粤电力A,6.52,0.15,0.01,-0.15,0.54,0.62,2.46,0.90亿,25.54亿,166.51亿,--
84,85,300564,筑博设计,13.24,0.08,0.01,-0.08,0.36,0.71,0.83,0.05亿,1.09亿,14.41亿,18.96
85,86,300989,蕾奥规划,20.12,0.05,0.01,-0.1,0.7,0.66,0.94,0.04亿,0.27亿,5.43亿,46.15
86,87,000039,中集集团,7.74,0.0,0.0,0.0,0.38,0.56,1.16,0.67亿,23.01亿,178.13亿,10.04
87,88,000524,岭南控股,11.8,0.0,0.0,0.0,0.85,0.87,1.95,0.68亿,6.70亿,79.07亿,--
88,89,000532,华金资本,12.26,0.0,0.0,0.0,1.08,1.12,1.22,0.45亿,3.44亿,42.12亿,25.61
89,90,000828,东莞控股,10.18,0.0,0.0,0.0,0.34,0.56,1.47,0.36亿,10.40亿,105.82亿,11.10
90,91,002325,洪涛股份,2.18,0.00,0.00,0.00,4.89,1.72,4.59,1.55亿,14.33亿,31.24亿,--
91,92,002336,人人乐,--,--,--,--,--,--,--,--,3.73亿,51.76亿,--
92,93,600629,华建集团,5.50,0.00,0.00,0.00,7.40,6.17,5.64,3.86亿,9.38亿,51.58亿,15.83
93,94,603797,联泰环保,5.92,0.00,0.00,-0.17,0.20,0.85,1.01,0.07亿,5.84亿,34.58亿,12.02
94,95,300042,朗科科技,16.38,-0.06,-0.01,0.00,7.48,2.22,7.26,2.14亿,1.74亿,28.55亿,62.99
95,96,002911,佛燃能源,13.68,-0.07,-0.01,-0.07,0.24,0.58,1.24,0.31亿,9.45亿,129.23亿,20.13
96,97,002909,集泰股份,9.94,-0.10,-0.01,0.10,6.91,2.60,5.93,2.54亿,3.62亿,35.94亿,403.22
97,98,001309,德明利,64.57,-0.12,-0.08,-0.02,4.01,0.64,3.60,0.52亿,0.20亿,12.91亿,66.36
98,99,000429,粤高速A,7.76,-0.13,-0.01,0.00,0.14,1.75,0.90,0.14亿,13.03亿,101.14亿,12.60
99,100,002579,中京电子,12.89,-0.15,-0.02,-0.08,4.44,0.88,3.18,3.33亿,5.82亿,75.03亿,--
100,101,300284,苏交科,5.99,-0.17,-0.01,0.0,0.6,1.13,0.83,0.31亿,8.71亿,52.16亿,20.26
101,102,003013,地铁设计,17.38,-0.17,-0.03,0.06,1.14,0.71,0.8,0.12亿,0.60亿,10.46亿,20.17
102,103,603160,汇顶科技,57.96,-0.19,-0.11,-0.07,0.59,0.97,1.98,1.57亿,4.58亿,265.45亿,--
103,104,002355,兴民智通,4.7,-0.21,-0.01,0.0,0.66,0.57,1.7,0.19亿,6.17亿,29.01亿,--
104,105,300621,维业股份,9.42,-0.21,-0.02,0.0,0.48,0.74,2.23,0.09亿,1.94亿,18.29亿,694.41
105,106,301365,矩阵股份,27.8,-0.25,-0.07,0.0,1.71,0.92,0.9,0.14亿,0.28亿,7.91亿,18.62
106,107,600323,瀚蓝环境,18.99,-0.26,-0.05,0.0,0.1,0.72,1.21,0.16亿,8.15亿,154.83亿,13.38
