,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,831087,秋乐种业,7.35,1.38,0.1,0.27,0.91,0.69,3.17,0.04亿,0.65亿,4.74亿,129.93
1,2,600692,亚通股份,6.44,0.94,0.06,0.16,0.46,1.34,1.41,0.08亿,2.55亿,16.42亿,--
2,3,600540,新赛股份,4.75,0.85,0.04,0.21,0.31,1.33,0.85,0.09亿,5.81亿,27.62亿,--
3,4,000019,深粮控股,7.82,0.77,0.06,-0.13,0.35,0.94,1.03,0.11亿,4.16亿,32.55亿,21.23
4,5,000998,隆平高科,17.41,0.75,0.13,-0.29,0.56,1.05,1.85,1.26亿,12.96亿,225.63亿,--
5,6,301058,中粮科工,15.58,0.71,0.11,-0.06,0.44,0.66,0.91,0.14亿,2.03亿,31.69亿,62.43
6,7,600108,亚盛集团,3.24,0.62,0.02,0.0,0.32,1.09,0.93,0.20亿,19.47亿,63.08亿,108.17
7,8,000505,京粮控股,8.36,0.6,0.05,0.0,0.31,0.81,0.72,0.16亿,6.21亿,51.90亿,49.79
8,9,600300,维维股份,3.48,0.58,0.02,0.0,0.24,0.83,1.16,0.13亿,16.17亿,56.28亿,42.88
9,10,603555,贵人鸟,3.57,0.56,0.02,0.0,0.15,1.11,0.84,0.09亿,15.72亿,56.10亿,--
10,11,002133,广宇集团,3.62,0.56,0.02,0.0,0.4,1.25,0.83,0.11亿,7.70亿,27.87亿,15.34
11,12,300189,神农科技,4.21,0.48,0.02,0.24,0.81,0.88,0.95,0.33亿,9.63亿,40.54亿,--
12,13,002646,天佑德酒,17.21,0.47,0.08,-0.12,0.88,0.96,1.17,0.72亿,4.73亿,81.32亿,61.10
13,14,603182,嘉华股份,18.77,0.43,0.08,-0.21,1.64,0.83,1.07,0.13亿,0.41亿,7.72亿,25.00
14,15,002041,登海种业,20.11,0.4,0.08,0.0,0.19,0.74,0.6,0.33亿,8.80亿,176.97亿,118.17
15,16,600811,东方集团,2.52,0.4,0.01,-0.4,0.45,2.36,1.59,0.42亿,36.59亿,92.21亿,--
16,17,600186,莲花健康,2.7,0.37,0.01,0.0,0.18,0.83,1.11,0.09亿,17.94亿,48.44亿,74.43
17,18,002505,鹏都农牧,3.04,0.33,0.01,-0.33,0.2,0.79,1.32,0.39亿,63.74亿,193.78亿,745.95
18,19,002385,大北农,8.31,0.24,0.02,0.0,0.92,0.98,0.96,2.52亿,32.94亿,273.77亿,--
19,20,600359,新农开发,8.85,0.23,0.02,0.11,0.62,0.62,0.68,0.21亿,3.82亿,33.76亿,43.45
20,21,600598,北大荒,14.21,0.21,0.03,0.14,0.23,0.99,0.49,0.59亿,17.78亿,252.61亿,14.71
21,22,600313,农发种业,10.87,0.18,0.02,-0.09,1.44,1.06,1.48,1.66亿,10.67亿,115.98亿,122.66
22,23,601952,苏垦农发,12.46,0.16,0.02,0.08,0.18,0.91,0.4,0.31亿,13.78亿,171.70亿,20.58
23,24,600127,金健米业,7.86,0.13,0.01,0.0,0.28,0.67,0.64,0.14亿,6.42亿,50.44亿,--
24,25,300087,荃银高科,16.73,0.12,0.02,0.18,0.86,1.19,1.62,0.92亿,6.39亿,106.93亿,224.46
25,26,000713,丰乐种业,9.07,0.11,0.01,0.0,0.94,0.94,0.88,0.52亿,6.14亿,55.69亿,897.26
26,27,002758,浙农股份,15.32,0.07,0.01,-0.07,1.65,1.29,1.18,0.49亿,1.92亿,29.44亿,14.08
27,28,000626,远大控股,10.19,-0.1,-0.01,0.1,0.17,1.08,0.98,0.08亿,5.00亿,50.97亿,32.12
28,29,002999,天禾股份,9.66,-0.1,-0.01,0.0,1.56,0.85,0.93,0.33亿,2.18亿,21.04亿,28.10
29,30,600191,华资实业,5.93,-0.5,-0.03,-0.17,0.2,1.08,1.01,0.06亿,4.85亿,28.76亿,--
30,31,600354,敦煌种业,7.99,-0.62,-0.05,0.13,3.35,1.05,1.74,1.41亿,5.28亿,42.17亿,--
31,32,000040,东旭蓝天,4.5,-1.1,-0.05,0.0,1.67,0.78,1.76,0.79亿,10.60亿,47.72亿,--
32,33,000638,万方发展,7.59,-1.94,-0.16,0.0,2.38,0.93,1.94,0.56亿,3.08亿,23.39亿,--
33,34,000716,黑芝麻,9.37,-2.6,-0.24,-0.74,8.42,1.66,3.64,5.45亿,6.96亿,65.21亿,611.61
