,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300181,佐力药业,12.69,6.64,0.79,-0.31,3.19,2.97,7.23,2.41亿,6.09亿,77.23亿,32.73
1,2,300199,翰宇药业,13.54,4.47,0.58,0.37,7.49,2.85,5.48,6.60亿,6.66亿,90.18亿,--
2,3,300147,香雪制药,6.13,3.55,0.21,0.49,4.84,4.48,3.55,1.92亿,6.56亿,40.22亿,--
3,4,002605,姚记科技,17.07,2.89,0.48,-0.06,1.97,1.93,4.34,1.10亿,3.28亿,55.96亿,17.98
4,5,300030,阳普医疗,7.29,2.53,0.18,0.0,2.01,3.49,2.95,0.39亿,2.68亿,19.57亿,--
5,6,603127,昭衍新药,59.03,2.39,1.38,0.05,1.26,1.91,3.04,3.32亿,4.50亿,265.73亿,37.52
6,7,300813,泰林生物,46.65,2.26,1.03,0.69,3.07,1.8,2.5,0.64亿,0.45亿,20.95亿,61.57
7,8,300363,博腾股份,47.3,2.03,0.94,0.0,1.63,1.63,2.74,3.83亿,5.00亿,236.38亿,12.28
8,9,300009,安科生物,11.53,1.41,0.16,0.09,0.52,1.23,2.11,0.70亿,11.72亿,135.12亿,24.35
9,10,300238,冠昊生物,11.62,1.31,0.15,0.09,1.43,1.63,2.18,0.44亿,2.65亿,30.81亿,--
10,11,000806,*ST银河,1.73,1.17,0.02,0.0,0.67,1.28,4.09,0.08亿,6.99亿,12.10亿,--
11,12,002675,东诚药业,18.5,1.09,0.2,0.16,0.46,0.76,2.46,0.62亿,7.38亿,136.48亿,34.64
12,13,300006,莱美药业,4.18,0.97,0.04,0.0,0.65,0.96,1.21,0.22亿,8.12亿,33.95亿,--
13,14,300273,*ST和佳,2.15,0.94,0.02,0.0,1.17,0.82,1.88,0.17亿,6.81亿,14.65亿,--
14,15,600196,复星医药,34.36,0.85,0.29,0.03,0.53,1.48,0.94,3.84亿,21.18亿,727.65亿,28.06
15,16,600227,圣济堂,3.07,0.66,0.02,0.33,0.43,1.23,1.31,0.17亿,12.78亿,39.24亿,--
16,17,000566,海南海药,4.68,0.65,0.03,0.0,0.65,1.42,1.72,0.35亿,11.65亿,54.54亿,--
17,18,600682,南京新百,9.38,0.64,0.06,0.11,0.36,1.11,1.29,0.39亿,11.65亿,109.28亿,15.42
18,19,600521,华海药业,21.57,0.51,0.11,0.14,0.49,0.91,1.21,1.54亿,14.55亿,313.76亿,30.21
19,20,600645,中源协和,18.56,0.49,0.09,0.05,0.39,0.9,1.35,0.34亿,4.68亿,86.82亿,56.87
20,21,600851,海欣股份,6.44,0.47,0.03,0.16,0.34,0.99,1.25,0.16亿,7.38亿,47.54亿,34.24
21,22,300109,新开源,27.26,0.41,0.11,0.44,0.99,0.85,2.06,0.70亿,2.62亿,71.29亿,23.86
22,23,000504,南华生物,12.04,0.25,0.03,0.08,0.19,0.86,1.0,0.07亿,3.11亿,37.41亿,5203.26
23,24,301166,优宁维,54.52,0.18,0.1,0.02,1.61,1.03,1.52,0.36亿,0.41亿,22.50亿,44.86
24,25,002004,华邦健康,5.54,0.18,0.01,0.18,0.42,1.21,0.9,0.44亿,18.80亿,104.13亿,11.47
25,26,002592,ST八菱,5.53,0.18,0.01,0.0,0.46,0.96,0.72,0.07亿,2.61亿,14.45亿,76.29
26,27,600568,ST中珠,1.84,0.0,0.0,0.0,0.2,1.19,1.09,0.06亿,15.65亿,28.80亿,--
27,28,300272,开能健康,5.97,-0.17,-0.01,-0.17,0.74,1.0,1.17,0.18亿,4.11亿,24.54亿,28.84
28,29,600276,恒瑞医药,44.38,-0.96,-0.43,0.05,0.29,0.97,1.85,8.27亿,63.79亿,2831.00亿,66.91
