,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000735,罗牛山,8.13,10.01,0.74,1.37,4.3,10.05,9.61,3.88亿,11.51亿,93.57亿,1180.63
1,2,002800,天顺股份,25.79,3.45,0.86,0.08,5.08,3.79,7.18,1.33亿,1.01亿,26.09亿,102.73
2,3,002010,传化智联,6.22,3.32,0.2,-0.16,1.8,8.68,5.98,3.02亿,27.00亿,167.91亿,21.60
3,4,603611,诺力股份,19.0,2.65,0.49,0.0,0.86,3.18,3.73,0.44亿,2.67亿,50.77亿,13.07
4,5,002889,东方嘉盛,25.14,2.11,0.52,0.08,0.87,2.38,3.17,0.20亿,0.90亿,22.58亿,17.09
5,6,002589,瑞康医药,4.27,1.91,0.08,0.0,3.1,6.14,2.62,1.53亿,11.58亿,49.45亿,78.89
6,7,600981,汇鸿集团,2.85,1.79,0.05,0.35,0.42,4.17,2.86,0.27亿,22.42亿,63.91亿,--
7,8,002401,中远海科,17.52,1.74,0.3,0.46,6.1,2.16,7.72,3.88亿,3.66亿,64.04亿,30.21
8,9,600708,光明地产,2.42,1.25,0.03,-0.41,0.36,2.14,1.25,0.19亿,22.25亿,53.85亿,198.90
9,10,600704,物产中大,4.85,1.25,0.06,0.21,0.22,1.74,1.25,0.53亿,50.62亿,245.52亿,5.88
10,11,601880,辽港股份,1.64,1.24,0.02,0.0,0.13,2.9,1.24,0.39亿,188.28亿,308.79亿,26.24
11,12,600662,外服控股,6.3,1.12,0.07,0.0,0.25,1.06,1.77,0.16亿,10.53亿,66.36亿,24.53
12,13,002314,南山控股,3.76,1.07,0.04,0.0,0.61,1.04,1.61,0.30亿,13.38亿,50.31亿,--
13,14,600125,铁龙物流,5.66,1.07,0.06,0.0,0.53,2.13,1.43,0.39亿,13.06亿,73.89亿,14.21
14,15,603871,嘉友国际,23.93,1.06,0.25,0.13,0.13,0.78,1.82,0.15亿,5.00亿,119.66亿,19.22
15,16,600368,五洲交通,3.89,1.04,0.04,0.52,0.36,2.37,1.3,0.16亿,11.26亿,43.79亿,7.15
16,17,600415,小商品城,5.05,1.0,0.05,-0.2,0.33,2.29,1.8,0.92亿,54.56亿,275.55亿,12.83
17,18,001213,中铁特货,4.53,0.89,0.04,0.0,0.53,1.78,1.11,0.25亿,10.44亿,47.31亿,31.16
18,19,001317,三羊马,43.13,0.89,0.38,0.0,2.51,1.32,2.62,0.32亿,0.30亿,12.78亿,132.99
19,20,300873,海晨股份,30.24,0.83,0.25,-0.26,0.24,0.93,2.17,0.08亿,1.07亿,32.51亿,15.89
20,21,603836,海程邦达,16.99,0.83,0.14,-0.24,0.89,2.32,1.36,0.13亿,0.86亿,14.57亿,10.48
21,22,000417,合肥百货,5.17,0.78,0.04,0.0,0.58,1.33,1.36,0.23亿,7.79亿,40.28亿,15.23
22,23,601598,中国外运,3.93,0.77,0.03,0.0,0.12,1.3,0.77,0.24亿,52.56亿,206.56亿,6.07
23,24,600693,东百集团,4.35,0.69,0.03,0.0,0.62,1.78,1.16,0.23亿,8.69亿,37.80亿,27.68
24,25,000927,中国铁物,2.97,0.68,0.02,0.0,0.19,1.53,1.02,0.25亿,44.60亿,132.47亿,22.02
25,26,300240,飞力达,7.71,0.65,0.05,0.0,0.39,1.4,1.04,0.11亿,3.62亿,27.92亿,21.43
26,27,600622,光大嘉宝,3.31,0.61,0.02,0.0,0.33,1.09,0.91,0.16亿,15.00亿,49.64亿,61.04
27,28,000088,盐田港,5.25,0.57,0.03,0.0,0.05,0.78,0.96,0.05亿,22.49亿,118.08亿,25.96
28,29,600179,安通控股,3.5,0.57,0.02,0.29,0.12,1.17,1.15,0.16亿,36.62亿,128.19亿,6.73
29,30,000759,中百集团,5.3,0.57,0.03,-0.19,0.57,1.0,1.33,0.20亿,6.56亿,34.75亿,--
30,31,000507,珠海港,5.94,0.51,0.03,0.34,0.32,1.04,1.35,0.17亿,9.02亿,53.60亿,19.12
31,32,603813,原尚股份,16.16,0.5,0.08,0.12,0.26,1.72,1.12,0.04亿,0.89亿,14.35亿,41.27
32,33,603128,华贸物流,10.18,0.49,0.05,0.0,0.27,1.47,0.79,0.36亿,13.09亿,133.30亿,13.61
33,34,600676,交运股份,4.08,0.49,0.02,0.0,0.07,0.89,0.98,0.03亿,10.28亿,41.96亿,--
34,35,600794,保税科技,4.16,0.48,0.02,0.0,0.24,1.06,1.21,0.12亿,12.12亿,50.43亿,28.90
35,36,600822,上海物贸,8.39,0.48,0.04,0.0,0.21,2.18,0.84,0.07亿,3.96亿,33.24亿,132.34
36,37,600717,天津港,4.21,0.48,0.02,-0.24,0.1,1.04,0.72,0.12亿,28.94亿,121.84亿,12.20
37,38,600279,重庆港,4.28,0.47,0.02,-0.23,0.17,1.32,0.7,0.07亿,8.70亿,37.23亿,108.34
38,39,600119,长江投资,6.8,0.44,0.03,-0.15,0.21,0.91,0.74,0.04亿,3.07亿,20.90亿,922.88
39,40,605050,福然德,13.97,0.43,0.06,0.14,0.34,1.01,0.86,0.07亿,1.51亿,21.16亿,24.29
40,41,002210,飞马国际,2.4,0.42,0.01,-0.42,0.47,1.93,0.84,0.30亿,26.59亿,63.83亿,901.91
41,42,000582,北部湾港,7.6,0.4,0.03,0.0,0.14,1.13,0.4,0.16亿,14.10亿,107.14亿,13.02
42,43,600787,中储股份,5.19,0.39,0.02,-0.19,0.21,1.41,0.97,0.24亿,21.70亿,112.63亿,18.41
43,44,600057,厦门象屿,11.31,0.35,0.04,-0.09,0.1,1.08,1.6,0.25亿,21.42亿,242.22亿,8.80
44,45,603648,畅联股份,9.51,0.32,0.03,0.0,0.24,1.09,0.95,0.08亿,3.62亿,34.47亿,22.33
45,46,603117,ST万林,3.2,0.31,0.01,0.0,0.06,0.85,0.94,0.01亿,6.33亿,20.26亿,--
46,47,601022,宁波远洋,13.27,0.3,0.04,-0.15,2.42,0.87,1.59,0.42亿,1.31亿,17.37亿,23.98
47,48,601933,永辉超市,3.51,0.29,0.01,0.0,0.07,0.7,0.86,0.22亿,90.75亿,318.53亿,--
48,49,603535,嘉诚国际,19.36,0.26,0.05,0.0,0.09,0.96,0.78,0.04亿,2.18亿,42.22亿,20.82
49,50,002732,燕塘乳业,20.63,0.24,0.05,0.0,0.4,0.68,1.17,0.13亿,1.56亿,32.20亿,28.99
50,51,600603,广汇物流,8.59,0.23,0.02,-0.12,0.27,1.33,1.87,0.29亿,12.55亿,107.79亿,64.90
51,52,300013,新宁物流,4.73,0.21,0.01,-0.42,0.71,1.11,1.27,0.15亿,4.46亿,21.10亿,--
52,53,300350,华鹏飞,5.39,0.19,0.01,0.0,1.66,4.72,2.97,0.42亿,4.67亿,25.19亿,--
53,54,002627,三峡旅游,5.46,0.18,0.01,0.0,0.97,3.17,1.28,0.37亿,6.97亿,38.06亿,458.26
54,55,000061,农产品,5.67,0.18,0.01,0.0,0.09,0.8,0.71,0.08亿,16.97亿,96.22亿,56.21
55,56,002183,怡亚通,6.12,0.16,0.01,0.0,0.24,0.82,0.82,0.38亿,25.96亿,158.89亿,55.05
56,57,600180,瑞茂通,6.18,0.16,0.01,0.0,0.13,1.41,0.65,0.09亿,10.52亿,65.01亿,12.80
57,58,002419,天虹股份,6.35,0.16,0.01,0.0,0.28,0.97,0.79,0.20亿,11.69亿,74.20亿,48.56
58,59,001202,炬申股份,15.5,0.13,0.02,0.13,0.81,1.38,0.78,0.05亿,0.40亿,6.23亿,50.36
59,60,301039,中集车辆,8.83,0.11,0.01,-0.11,0.48,1.56,1.36,0.31亿,7.25亿,64.04亿,20.22
60,61,603329,上海雅仕,16.97,0.06,0.01,-0.06,0.29,0.94,0.53,0.08亿,1.59亿,26.94亿,14.52
61,62,688360,德马科技,--,--,--,--,--,--,--,--,0.42亿,11.71亿,25.73
62,63,000530,冰山冷热,4.89,0.00,0.00,0.00,0.48,1.31,1.02,0.14亿,5.98亿,29.25亿,385.2
63,64,603569,长久物流,9.84,0.00,0.00,0.00,0.16,0.95,1.52,0.09亿,5.60亿,55.14亿,1365.94
64,65,002251,步步高,6.66,0.00,0.00,-0.15,1.81,1.08,1.95,1.04亿,8.64亿,57.54亿,240.67
65,66,601156,东航物流,15.73,0.00,0.00,0.06,0.35,1.52,0.51,0.44亿,8.02亿,126.11亿,6.36
66,67,600113,浙江东日,8.11,0.00,0.00,0.00,0.51,0.61,0.62,0.17亿,4.11亿,33.37亿,21.0
67,68,603967,中创物流,10.53,-0.10,-0.01,-0.10,0.27,1.25,0.95,0.10亿,3.47亿,36.50亿,14.12
68,69,000626,远大控股,10.19,-0.10,-0.01,-0.10,0.17,1.06,0.98,0.09亿,5.00亿,50.97亿,32.12
69,70,603056,德邦股份,19.93,-0.10,-0.02,0.20,0.16,0.86,1.45,0.30亿,9.60亿,191.33亿,47.05
70,71,603071,物产环能,17.48,-0.11,-0.02,-0.06,0.19,1.12,0.74,0.08亿,2.38亿,41.55亿,9.33
71,72,300532,今天国际,18.01,-0.17,-0.03,0.17,0.88,1.5,1.89,0.33亿,2.11亿,38.05亿,22.11
72,73,603565,中谷物流,16.2,-0.18,-0.03,0.19,0.27,0.86,0.99,0.20亿,4.34亿,70.25亿,7.84
73,74,605151,西上海,20.09,-0.2,-0.04,0.0,0.38,1.12,0.89,0.05亿,0.64亿,12.76亿,21.91
74,75,300486,东杰智能,9.2,-0.86,-0.08,0.11,0.25,0.84,1.72,0.09亿,3.84亿,35.28亿,49.82
75,76,300975,商络电子,7.19,-0.96,-0.07,0.42,0.6,1.21,1.93,0.14亿,3.22亿,23.15亿,28.8
76,77,002492,恒基达鑫,6.85,-1.01,-0.07,0.0,0.4,0.8,1.01,0.11亿,3.98亿,27.27亿,21.83
77,78,600755,厦门国贸,7.98,-1.24,-0.1,-0.25,0.48,1.41,1.61,0.78亿,20.30亿,162.00亿,5.71
78,79,002095,生意宝,21.83,-1.53,-0.34,0.28,2.77,2.45,2.03,1.52亿,2.52亿,54.95亿,240.24
79,80,000905,厦门港务,7.54,-1.95,-0.15,0.0,2.05,8.35,2.6,1.15亿,7.42亿,55.93亿,21.64
80,81,600233,圆通速递,18.43,-2.12,-0.4,-0.16,0.5,2.83,2.18,3.19亿,34.41亿,634.24亿,16.18
81,82,001228,永泰运,59.12,-3.08,-1.88,-0.1,2.7,2.07,3.69,0.42亿,0.26亿,15.35亿,18.77
82,83,603066,音飞储存,12.26,-3.46,-0.44,0.25,3.03,1.71,2.44,1.12亿,3.01亿,36.87亿,30.66
