,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000735,罗牛山,8.13,10.01,0.74,0.0,4.85,6.95,9.61,4.40亿,11.51亿,93.57亿,1180.63
1,2,301236,软通动力,43.35,8.43,3.37,0.81,9.96,4.53,7.78,3.39亿,0.82亿,35.54亿,30.72
2,3,002727,一心堂,33.39,6.41,2.01,-0.68,6.44,14.07,4.4,8.76亿,3.98亿,133.00亿,22.04
3,4,300166,东方国信,10.35,4.23,0.42,0.0,12.11,4.62,6.14,11.52亿,9.19亿,95.16亿,82.80
4,5,300058,蓝色光标,6.27,4.15,0.25,0.32,5.59,2.82,6.64,8.14亿,23.19亿,145.40亿,385.64
5,6,002279,久其软件,9.25,3.93,0.35,0.43,12.49,3.26,7.98,8.83亿,7.88亿,72.90亿,--
6,7,300148,天舟文化,3.8,3.83,0.14,0.0,8.99,5.38,6.28,2.65亿,7.75亿,29.47亿,228.76
7,8,300379,东方通,25.42,3.54,0.87,-0.43,2.98,2.98,4.85,3.23亿,4.33亿,110.11亿,--
8,9,002194,武汉凡谷,11.05,1.84,0.2,-0.27,4.52,2.89,6.45,2.51亿,5.06亿,55.88亿,22.60
9,10,000719,中原传媒,9.04,1.8,0.16,-0.22,1.13,1.23,2.03,0.68亿,6.67亿,60.31亿,9.12
10,11,688244,永信至诚,67.1,1.67,1.1,1.04,2.18,1.56,4.29,0.14亿,0.10亿,6.40亿,--
11,12,605098,行动教育,34.9,1.6,0.55,-0.11,1.58,1.07,3.7,0.24亿,0.44亿,15.34亿,32.84
12,13,600455,博通股份,24.78,1.35,0.33,0.0,1.33,1.84,2.29,0.21亿,0.62亿,15.48亿,58.47
13,14,300047,天源迪科,8.26,1.35,0.11,0.0,9.67,1.45,6.87,4.28亿,5.35亿,44.20亿,92.71
14,15,300329,海伦钢琴,7.76,1.31,0.1,0.26,1.48,1.82,2.74,0.29亿,2.52亿,19.57亿,182.17
15,16,600662,外服控股,6.31,1.28,0.08,0.0,0.32,0.85,1.77,0.21亿,10.53亿,66.47亿,24.57
16,17,002431,棕榈股份,3.16,1.28,0.04,0.0,1.33,1.59,1.6,0.61亿,14.58亿,46.08亿,--
17,18,300645,正元智慧,29.91,1.25,0.37,-0.23,0.85,2.02,3.28,0.35亿,1.38亿,41.26亿,105.54
18,19,300556,丝路视觉,21.81,1.21,0.26,-0.23,5.57,1.38,3.62,1.15亿,0.95亿,20.75亿,128.65
19,20,600730,中国高科,6.84,1.18,0.08,0.15,1.06,1.44,1.92,0.42亿,5.87亿,40.13亿,352.12
20,21,300063,天龙集团,4.33,1.17,0.05,-0.23,5.36,2.07,3.74,1.45亿,6.20亿,26.84亿,28.18
21,22,002678,珠江钢琴,6.66,1.06,0.07,0.3,0.44,1.63,2.43,0.40亿,13.58亿,90.41亿,67.91
22,23,600556,天下秀,7.84,1.03,0.08,-0.13,1.76,1.88,2.71,2.49亿,18.08亿,141.73亿,52.10
23,24,000607,华媒控股,6.03,1.0,0.06,-0.5,6.95,2.57,4.69,3.73亿,8.85亿,53.36亿,83.11
24,25,003005,竞业达,44.21,1.0,0.44,0.68,6.13,1.66,3.38,1.36亿,0.51亿,22.57亿,212.53
25,26,300559,佳发教育,11.42,0.97,0.11,0.53,0.99,0.69,2.39,0.34亿,3.02亿,34.49亿,38.23
26,27,002905,金逸影视,8.43,0.96,0.08,-0.12,0.69,1.07,1.92,0.20亿,3.49亿,29.46亿,--
27,28,300282,ST三盛,5.55,0.91,0.05,-0.18,0.61,0.9,2.18,0.13亿,3.74亿,20.77亿,--
28,29,002638,勤上股份,2.53,0.8,0.02,0.0,0.81,0.75,1.2,0.20亿,9.96亿,25.20亿,35.96
29,30,300002,神州泰岳,6.42,0.79,0.05,0.47,5.37,1.64,4.55,6.02亿,17.65亿,113.31亿,24.64
30,31,002908,德生科技,17.6,0.74,0.13,0.06,1.31,1.41,2.69,0.49亿,2.14亿,37.64亿,47.41
31,32,600712,南宁百货,4.13,0.73,0.03,0.0,0.74,1.3,1.22,0.16亿,5.39亿,22.25亿,--
32,33,600739,辽宁成大,13.5,0.67,0.09,0.0,0.22,1.62,1.04,0.46亿,15.30亿,206.51亿,13.07
33,34,002023,海特高新,9.31,0.65,0.06,0.11,0.49,1.23,1.08,0.31亿,6.84亿,63.65亿,365.91
34,35,002042,华孚时尚,3.21,0.63,0.02,0.0,0.7,1.94,1.25,0.38亿,17.01亿,54.59亿,13.62
35,36,300688,创业黑马,19.58,0.62,0.12,0.15,2.18,1.04,1.03,0.58亿,1.36亿,26.55亿,--
36,37,601928,凤凰传媒,8.53,0.59,0.05,0.12,0.31,1.33,2.36,0.67亿,25.45亿,217.08亿,9.38
37,38,000428,华天酒店,5.36,0.56,0.03,-0.19,1.13,0.63,1.5,0.62亿,10.19亿,54.61亿,--
38,39,600653,申华控股,1.98,0.51,0.01,0.0,0.17,0.63,1.01,0.07亿,19.46亿,38.54亿,--
39,40,300161,华中数控,28.24,0.5,0.14,0.0,1.63,1.18,3.95,0.78亿,1.69亿,47.61亿,--
40,41,300050,世纪鼎利,4.33,0.46,0.02,0.23,0.7,1.01,1.86,0.15亿,5.09亿,22.06亿,--
41,42,003001,中岩大地,16.44,0.43,0.07,0.0,1.32,1.34,0.92,0.11亿,0.49亿,8.11亿,--
42,43,002400,省广集团,5.25,0.38,0.02,0.0,2.99,0.95,2.68,2.65亿,16.87亿,88.58亿,63.36
43,44,600661,昂立教育,11.13,0.36,0.04,-0.09,1.75,1.43,2.07,0.56亿,2.87亿,31.89亿,14.23
44,45,000726,鲁泰A,8.39,0.24,0.02,0.0,0.43,0.91,0.84,0.21亿,5.71亿,47.89亿,8.03
45,46,600636,国新文化,10.62,0.19,0.02,-0.09,0.95,0.68,1.79,0.44亿,4.40亿,46.78亿,50.38
46,47,300608,思特奇,11.07,0.18,0.02,0.45,5.07,1.03,3.53,1.09亿,1.96亿,21.65亿,--
47,48,603528,多伦科技,7.57,0.13,0.01,-0.4,0.41,1.17,1.98,0.19亿,6.24亿,47.25亿,80.72
