,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300404,博济医药,11.01,10.32,1.03,0.09,9.3,5.5,11.22,2.63亿,2.69亿,29.66亿,142.21
1,2,300261,雅本化学,14.0,7.69,1.0,1.01,6.9,5.23,9.62,8.85亿,9.50亿,132.94亿,55.72
2,3,300086,康芝药业,7.22,6.8,0.46,0.56,9.2,9.32,9.17,2.84亿,4.36亿,31.45亿,--
3,4,603998,方盛制药,10.66,4.92,0.5,0.38,5.98,3.76,7.68,2.69亿,4.29亿,45.78亿,13.54
4,5,300158,振东制药,7.61,4.82,0.35,1.33,5.53,4.65,5.37,4.21亿,10.24亿,77.93亿,237.00
5,6,301130,西点药业,33.19,3.08,0.99,-0.18,5.74,5.1,3.35,0.38亿,0.20亿,6.70亿,62.62
6,7,301047,义翘神州,113.79,3.07,3.39,-0.04,1.05,3.53,4.5,0.69亿,0.58亿,66.53亿,39.96
7,8,688566,吉贝尔,24.11,2.99,0.7,0.42,1.42,4.56,7.05,0.28亿,0.81亿,19.47亿,42.65
8,9,600056,中国医药,15.57,2.91,0.44,-0.19,3.7,7.96,3.83,8.60亿,14.95亿,232.83亿,22.78
9,10,300485,赛升药业,13.08,2.75,0.35,-0.15,2.88,4.37,3.22,1.01亿,2.70亿,35.35亿,18.70
10,11,000705,浙江震元,8.7,2.35,0.2,0.0,3.81,6.54,2.59,0.94亿,2.82亿,24.52亿,42.24
11,12,301211,亨迪药业,29.22,2.35,0.67,0.14,9.33,5.77,3.61,1.57亿,0.58亿,16.85亿,66.96
12,13,000756,新华制药,27.06,2.27,0.6,0.07,3.98,5.03,3.55,4.74亿,4.41亿,119.22亿,46.61
13,14,600664,哈药股份,3.25,2.2,0.07,0.0,1.24,7.0,3.15,1.01亿,25.17亿,81.80亿,19.06
14,15,300878,维康药业,25.37,2.13,0.53,0.36,4.33,4.38,3.06,0.44亿,0.40亿,10.10亿,29.33
15,16,002737,葵花药业,24.24,2.11,0.5,0.41,0.76,2.38,3.45,1.07亿,5.84亿,141.56亿,20.86
16,17,605199,葫芦娃,17.41,2.05,0.35,0.29,4.23,3.38,2.99,0.69亿,0.93亿,16.25亿,72.68
17,18,002550,千红制药,6.52,2.03,0.13,0.15,2.56,6.0,2.5,1.53亿,9.22亿,60.08亿,23.32
18,19,300887,谱尼测试,38.03,1.98,0.74,-0.13,0.91,2.09,3.03,0.35亿,1.02亿,38.75亿,45.30
19,20,300199,翰宇药业,13.21,1.93,0.25,0.38,5.12,4.25,3.55,4.50亿,6.66亿,87.98亿,--
20,21,002424,贵州百灵,8.52,1.91,0.16,0.12,3.23,4.07,2.99,3.29亿,12.01亿,102.30亿,90.00
21,22,300584,海辰药业,28.65,1.89,0.53,0.35,2.98,3.41,2.38,0.54亿,0.64亿,18.35亿,128.40
22,23,600535,天士力,12.53,1.87,0.23,-0.08,0.46,3.03,2.68,0.85亿,15.00亿,187.91亿,--
23,24,002644,佛慈制药,9.99,1.83,0.18,0.3,0.51,3.2,1.73,0.26亿,5.11亿,51.01亿,72.36
24,25,688136,科兴制药,22.55,1.81,0.4,0.13,1.17,2.75,1.99,0.18亿,0.67亿,15.09亿,--
25,26,002349,精华制药,12.43,1.8,0.22,0.0,2.45,4.49,3.11,2.46亿,8.11亿,100.84亿,44.95
26,27,300396,迪瑞医疗,32.15,1.74,0.55,0.13,0.34,1.27,4.56,0.28亿,2.49亿,79.92亿,34.09
27,28,300254,仟源医药,7.34,1.66,0.12,0.0,2.78,3.24,2.77,0.46亿,2.24亿,16.45亿,--
28,29,002864,盘龙药业,38.13,1.65,0.62,0.24,5.91,3.57,3.09,1.22亿,0.54亿,20.64亿,31.80
29,30,000650,仁和药业,6.5,1.56,0.1,-0.15,2.28,4.39,2.5,1.98亿,13.42亿,87.25亿,14.95
30,31,300436,广生堂,38.67,1.5,0.57,0.1,1.18,2.41,1.89,0.61亿,1.33亿,51.53亿,--
31,32,002390,信邦制药,5.09,1.39,0.07,-0.2,1.27,4.1,1.99,1.18亿,18.30亿,93.16亿,30.79
32,33,600479,千金药业,10.42,1.36,0.14,0.0,0.81,3.4,2.14,0.35亿,4.19亿,43.61亿,17.95
