,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002906,华阳集团,36.37,1.82,0.65,0.33,0.84,1.58,3.02,1.45亿,4.75亿,172.75亿,48.63
1,2,002766,索菱股份,6.05,1.0,0.06,0.0,1.64,1.17,3.67,0.73亿,7.47亿,45.21亿,1442.48
2,3,601163,三角轮胎,13.59,0.74,0.1,0.0,0.23,1.09,0.89,0.26亿,8.00亿,108.72亿,17.34
3,4,002232,启明信息,15.17,0.66,0.1,0.0,1.14,0.88,2.19,0.70亿,4.09亿,61.98亿,68.85
4,5,002405,四维图新,13.08,0.54,0.07,0.15,0.98,1.01,1.77,2.93亿,22.98亿,300.57亿,--
5,6,300445,康斯特,14.1,0.5,0.07,0.28,0.68,0.95,1.92,0.13亿,1.38亿,19.49亿,35.57
6,7,603023,威帝股份,4.32,0.23,0.01,0.0,0.36,1.16,0.7,0.09亿,5.62亿,24.28亿,986.32
7,8,603197,保隆科技,48.2,0.17,0.08,0.25,0.88,1.0,2.58,0.87亿,2.08亿,100.11亿,65.68
8,9,002284,亚太股份,8.43,0.12,0.01,0.12,0.64,0.91,1.78,0.37亿,6.86亿,57.86亿,114.79
9,10,300014,亿纬锂能,82.82,-0.01,-0.01,0.01,0.33,0.98,1.38,5.07亿,18.37亿,1521.05亿,47.58
10,11,603266,天龙股份,14.37,-0.21,-0.03,0.0,0.39,0.93,1.32,0.11亿,1.99亿,28.58亿,22.23
11,12,002813,路畅科技,32.18,-0.28,-0.09,0.22,1.7,0.84,3.72,0.64亿,1.17亿,37.76亿,808.68
12,13,300507,苏奥传感,6.99,-0.43,-0.03,0.0,1.15,0.64,1.43,0.44亿,5.49亿,38.36亿,59.87
13,14,300462,华铭智能,10.9,-0.46,-0.05,0.18,0.74,0.9,2.1,0.11亿,1.37亿,14.89亿,--
14,15,002593,日上集团,4.09,-0.49,-0.02,0.0,1.27,0.76,1.22,0.24亿,4.63亿,18.95亿,47.63
15,16,002079,苏州固锝,15.94,-0.5,-0.08,0.38,3.02,0.92,2.12,3.81亿,7.98亿,127.25亿,48.82
16,17,300007,汉威科技,20.28,-0.54,-0.11,0.15,1.74,0.76,1.42,0.99亿,2.82亿,57.27亿,21.57
17,18,002213,大为股份,16.43,-0.55,-0.09,0.12,1.0,0.69,1.51,0.34亿,2.06亿,33.85亿,226.09
18,19,603358,华达科技,21.92,-0.95,-0.21,0.09,0.33,1.25,2.08,0.32亿,4.39亿,96.24亿,29.70
19,20,300304,云意电气,4.91,-1.01,-0.05,0.0,0.7,1.52,1.81,0.29亿,8.49亿,41.69亿,31.53
20,21,000589,贵州轮胎,5.33,-1.11,-0.06,0.0,0.48,0.57,2.04,0.29亿,11.38亿,60.67亿,17.96
21,22,300667,必创科技,18.21,-1.14,-0.21,0.44,1.11,0.87,1.9,0.32亿,1.59亿,28.89亿,137.57
22,23,601965,中国汽研,21.15,-1.17,-0.25,0.52,0.27,1.23,2.94,0.57亿,9.77亿,206.68亿,30.67
23,24,603390,通达电气,7.76,-1.27,-0.1,0.0,0.81,0.91,1.65,0.22亿,3.52亿,27.29亿,--
24,25,002666,德联集团,5.53,-1.6,-0.09,0.0,1.89,0.53,1.6,0.47亿,4.50亿,24.86亿,48.54
25,26,300643,万通智控,16.48,-2.08,-0.35,0.18,1.49,1.7,2.32,0.56亿,2.29亿,37.80亿,25.11
26,27,688288,鸿泉物联,23.93,-3.55,-0.88,-0.25,2.14,1.09,5.0,0.37亿,0.71亿,17.10亿,--
27,28,688208,道通科技,40.0,-15.06,-7.09,0.25,5.93,6.2,12.49,7.86亿,3.25亿,129.82亿,132.60
