,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002320,海峡股份,6.12,4.62,0.27,0.33,0.83,4.46,6.15,1.12亿,22.29亿,136.41亿,92.42
1,2,002401,中远海科,17.68,2.67,0.46,0.11,7.04,1.6,7.72,4.49亿,3.66亿,64.62亿,30.49
2,3,002596,海南瑞泽,3.7,2.49,0.09,0.27,3.82,3.12,4.43,1.48亿,10.41亿,38.53亿,200.56
3,4,002889,东方嘉盛,25.08,1.87,0.46,-0.08,1.06,1.85,3.17,0.24亿,0.90亿,22.53亿,17.04
4,5,600650,锦江在线,10.95,1.39,0.15,0.18,0.36,1.52,1.76,0.15亿,3.91亿,42.77亿,8.75
5,6,600119,长江投资,6.83,0.89,0.06,0.0,0.33,0.9,1.03,0.07亿,3.07亿,21.00亿,926.95
6,7,601598,中国外运,3.93,0.77,0.03,-0.25,0.19,1.39,1.28,0.39亿,52.56亿,206.56亿,6.07
7,8,600676,交运股份,4.09,0.74,0.03,0.0,0.1,0.74,0.98,0.04亿,10.28亿,42.07亿,--
8,9,600717,天津港,4.22,0.72,0.03,0.24,0.14,0.95,0.72,0.17亿,28.94亿,122.13亿,12.23
9,10,603535,嘉诚国际,19.44,0.67,0.13,0.0,0.15,1.07,1.4,0.06亿,2.18亿,42.39亿,20.90
10,11,000582,北部湾港,7.62,0.66,0.05,0.0,0.22,1.1,0.66,0.24亿,14.10亿,107.42亿,13.05
11,12,601228,广州港,3.23,0.62,0.02,0.0,0.11,1.41,0.94,0.22亿,61.93亿,200.04亿,20.19
12,13,600428,中远海特,7.12,0.56,0.04,-0.14,0.52,0.85,1.41,0.80亿,21.47亿,152.84亿,14.89
13,14,601018,宁波港,3.66,0.55,0.02,0.0,0.02,1.09,0.55,0.10亿,131.73亿,482.13亿,16.69
14,15,603128,华贸物流,10.17,0.4,0.04,0.0,0.31,1.06,0.79,0.41亿,13.09亿,133.17亿,13.6
15,16,600018,上港集团,5.3,0.38,0.02,0.0,0.04,1.1,0.76,0.44亿,231.74亿,1228.20亿,7.11
16,17,600648,外高桥,12.28,0.33,0.04,0.0,0.14,1.1,0.41,0.16亿,9.35亿,114.79亿,12.91
17,18,600848,上海临港,12.39,0.32,0.04,0.0,0.07,1.56,0.65,0.21亿,23.94亿,296.61亿,30.23
18,19,603648,畅联股份,9.51,0.32,0.03,0.0,0.31,0.92,0.95,0.11亿,3.62亿,34.47亿,22.33
19,20,600179,安通控股,3.49,0.29,0.01,-0.29,0.19,1.15,1.15,0.24亿,36.62亿,127.82亿,6.71
20,21,603713,密尔克卫,129.92,0.22,0.28,0.12,0.15,0.51,1.32,0.31亿,1.64亿,212.48亿,33.62
21,22,600284,浦东建设,7.35,0.14,0.01,0.14,0.21,0.81,0.55,0.15亿,9.70亿,71.31亿,12.55
22,23,603329,上海雅仕,16.98,0.12,0.02,0.0,0.44,0.91,0.53,0.12亿,1.59亿,26.96亿,14.53
23,24,603967,中创物流,10.55,0.1,0.01,0.0,0.35,1.04,0.95,0.13亿,3.47亿,36.57亿,14.14
24,25,600278,东方创业,7.31,0.0,0.0,-0.27,0.28,1.42,0.82,0.14亿,6.79亿,49.63亿,14.23
25,26,603117,ST万林,3.18,-0.31,-0.01,-0.31,0.08,0.76,0.94,0.02亿,6.33亿,20.13亿,--
26,27,000955,欣龙控股,5.18,-0.96,-0.05,0.19,0.63,1.06,1.53,0.18亿,5.38亿,27.85亿,--
27,28,000905,厦门港务,7.51,-2.34,-0.18,-0.13,2.76,7.21,2.6,1.55亿,7.42亿,55.71亿,21.55
