,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300787,海能实业,34.06,6.17,1.98,-0.06,7.12,5.96,11.44,2.15亿,0.89亿,30.36亿,12.92
1,2,002903,宇环数控,25.57,5.01,1.22,0.04,9.15,2.09,6.53,2.19亿,0.95亿,24.27亿,55.2
2,3,002384,东山精密,32.54,4.66,1.45,0.15,1.36,1.67,6.05,6.06亿,13.90亿,452.40亿,26.4
3,4,601208,东材科技,14.38,4.43,0.61,-0.14,1.56,2.87,7.55,1.98亿,8.88亿,127.75亿,28.8
4,5,688400,凌云光,30.3,3.77,1.1,0.0,7.43,2.16,5.17,1.96亿,0.87亿,26.48亿,66.61
5,6,300567,精测电子,63.75,3.15,1.95,-0.11,1.1,1.43,3.71,1.42亿,2.07亿,131.85亿,92.58
6,7,002182,云海金属,23.66,2.51,0.58,0.04,1.98,1.77,2.56,2.58亿,5.57亿,131.83亿,19.81
7,8,002975,博杰股份,41.28,2.33,0.94,-0.05,1.82,2.0,4.81,0.48亿,0.64亿,26.39亿,26.6
8,9,002129,TCL中环,43.83,1.81,0.78,0.07,0.84,2.16,2.95,11.87亿,32.30亿,1415.74亿,21.24
9,10,300433,蓝思科技,13.93,1.75,0.24,0.14,0.6,1.0,3.0,4.11亿,49.61亿,691.01亿,68.43
10,11,002475,立讯精密,33.8,1.72,0.57,0.09,0.34,1.22,2.41,8.04亿,71.04亿,2401.26亿,28.18
11,12,002600,领益智造,6.01,1.69,0.1,0.17,0.47,1.09,3.21,1.92亿,68.92亿,414.18亿,25.88
12,13,002008,大族激光,30.89,1.51,0.46,0.03,1.99,1.36,2.76,6.00亿,9.79亿,302.48亿,24.05
13,14,002861,瀛通通讯,12.66,1.44,0.18,-0.08,4.87,1.93,3.93,0.67亿,1.08亿,13.71亿,--
14,15,300476,胜宏科技,19.29,1.37,0.26,-0.46,5.63,1.11,5.25,9.14亿,8.56亿,165.19亿,19.51
15,16,000970,中科三环,14.75,1.3,0.19,0.07,1.89,1.21,2.54,3.37亿,12.16亿,179.32亿,21.82
16,17,688003,天准科技,41.48,1.2,0.49,0.63,0.63,0.71,2.88,0.50亿,1.95亿,80.76亿,203.97
17,18,603626,科森科技,8.6,1.06,0.09,0.12,4.68,1.52,4.82,2.27亿,5.55亿,47.72亿,95.20
18,19,002416,爱施德,9.85,1.03,0.1,0.0,0.45,1.47,1.95,0.53亿,12.24亿,120.54亿,14.51
19,20,600745,闻泰科技,60.41,0.9,0.54,0.1,0.8,1.03,2.87,5.97亿,12.43亿,750.78亿,28.97
20,21,000988,华工科技,20.3,0.84,0.17,0.05,0.74,0.82,1.64,1.51亿,10.05亿,204.01亿,21.20
21,22,000823,超声电子,10.8,0.75,0.08,0.28,0.84,1.18,1.77,0.48亿,5.37亿,57.99亿,14.65
22,23,300684,中石科技,17.69,0.74,0.13,0.0,0.89,1.11,1.65,0.29亿,1.82亿,32.19亿,25.92
23,24,000050,深天马A,10.0,0.7,0.07,0.1,0.36,1.69,2.32,0.85亿,23.76亿,237.58亿,50.98
24,25,300050,世纪鼎利,4.34,0.7,0.03,0.23,0.81,0.91,2.09,0.18亿,5.09亿,22.11亿,--
25,26,688112,鼎阳科技,91.0,0.66,0.6,0.0,0.86,1.54,2.83,0.23亿,0.30亿,26.93亿,72.42
26,27,600392,盛和资源,16.25,0.62,0.1,0.06,0.61,0.88,1.49,1.73亿,17.53亿,284.83亿,14.38
27,28,301338,凯格精机,59.0,0.6,0.35,0.24,5.55,1.45,2.83,0.57亿,0.18亿,10.37亿,34.01
28,29,002045,国光电器,14.03,0.57,0.08,-0.07,2.28,0.8,2.87,1.48亿,4.68亿,65.62亿,29.04
29,30,002056,横店东磁,22.18,0.5,0.11,-0.05,0.46,0.77,1.45,1.63亿,15.97亿,354.23亿,22.40
30,31,601138,工业富联,10.1,0.5,0.05,-0.1,0.18,1.63,2.69,3.68亿,197.96亿,1999.35亿,12.75
31,32,000725,京东方A,4.28,0.47,0.02,0.0,0.87,1.41,1.88,13.65亿,364.69亿,1560.88亿,23.17
32,33,301389,隆扬电子,20.74,0.29,0.06,-0.05,4.14,1.49,1.69,0.58亿,0.67亿,13.94亿,33.0
33,34,603203,快克股份,36.29,0.28,0.1,-0.22,0.18,0.64,1.71,0.17亿,2.47亿,89.61亿,30.73
34,35,603328,依顿电子,7.32,0.27,0.02,-0.14,0.46,0.96,1.51,0.34亿,9.98亿,73.09亿,24.46
35,36,603256,宏和科技,7.42,0.27,0.02,0.14,0.11,0.92,1.08,0.07亿,8.78亿,65.13亿,117.92
36,37,603648,畅联股份,9.5,0.21,0.02,0.0,0.38,0.84,0.95,0.13亿,3.62亿,34.43亿,22.3
37,38,002613,北玻股份,5.53,0.18,0.01,0.0,2.52,0.51,1.99,0.80亿,5.78亿,31.99亿,134.71
38,39,002036,联创电子,14.02,0.14,0.02,0.0,1.35,1.21,2.0,1.98亿,10.50亿,147.25亿,55.3
39,40,000795,英洛华,7.47,0.13,0.01,-0.13,0.49,0.85,1.21,0.41亿,11.34亿,84.69亿,30.1
40,41,002938,鹏鼎控股,30.32,0.07,0.02,0.13,0.16,0.79,1.35,1.09亿,22.39亿,678.97亿,16.17
41,42,688115,思林杰,45.63,0.07,0.03,0.0,0.96,0.75,1.18,0.07亿,0.16亿,7.30亿,41.23
42,43,603327,福蓉科技,17.2,0.06,0.01,0.12,0.25,0.66,0.93,0.23亿,5.21亿,89.66亿,20.55
43,44,000049,德赛电池,46.77,0.0,0.0,0.0,1.31,1.02,2.1,1.82亿,2.99亿,139.97亿,17.33
44,45,002055,得润电子,10.22,0.0,0.0,-0.2,0.92,1.02,1.17,0.55亿,5.89亿,60.23亿,--
45,46,002501,利源精制,1.99,0.0,0.0,0.51,0.14,0.62,1.0,0.10亿,34.70亿,69.06亿,--
46,47,002947,恒铭达,24.25,0.0,0.0,0.0,1.27,0.55,1.98,0.46亿,1.52亿,36.83亿,27.58
47,48,300088,长信科技,6.91,0.0,0.0,0.15,0.93,0.96,1.3,1.57亿,24.43亿,168.79亿,21.82
48,49,600361,创新新材,6.48,0.0,0.0,-0.15,0.56,0.71,2.01,0.24亿,6.66亿,43.14亿,--
49,50,603936,博敏电子,15.03,0.0,0.0,0.07,1.21,0.55,1.93,0.92亿,5.11亿,76.81亿,44.32
50,51,300709,精研科技,25.18,-0.04,-0.01,0.16,1.66,0.89,2.1,0.62亿,1.49亿,37.49亿,23.25
51,52,300136,信维通信,19.06,-0.05,-0.01,0.0,1.09,0.81,1.78,1.71亿,8.24亿,156.97亿,23.0
52,53,300793,佳禾智能,17.82,-0.06,-0.01,0.23,0.87,0.7,1.35,0.51亿,3.30亿,58.78亿,29.21
53,54,688079,美迪凯,11.12,-0.09,-0.01,-0.09,0.92,0.98,1.8,0.18亿,1.74亿,19.36亿,380.3
54,55,300602,飞荣达,17.67,-0.17,-0.03,0.0,0.48,0.78,1.98,0.27亿,3.15亿,55.63亿,5984.25
55,56,000969,安泰科技,8.92,-0.22,-0.02,0.0,0.62,0.98,1.34,0.57亿,10.26亿,91.50亿,40.21
56,57,002241,歌尔股份,23.04,-0.26,-0.06,0.04,1.99,0.75,1.73,13.75亿,30.08亿,693.08亿,15.39
57,58,300218,安利股份,11.45,-0.26,-0.03,0.0,0.34,0.84,0.87,0.08亿,2.16亿,24.76亿,10.12
58,59,600114,东睦股份,10.48,-0.28,-0.03,0.1,0.63,0.58,1.62,0.41亿,6.16亿,64.60亿,51.6
59,60,605588,冠石科技,34.0,-0.29,-0.1,0.0,0.95,0.92,2.23,0.07亿,0.23亿,7.85亿,28.21
60,61,300134,大富科技,10.15,-0.29,-0.03,0.1,1.32,0.86,2.26,0.95亿,7.12亿,72.31亿,77.39
61,62,300256,ST星星,3.08,-0.32,-0.01,0.33,0.54,0.87,0.97,0.25亿,14.93亿,45.99亿,5.99
62,63,002426,胜利精密,2.78,-0.36,-0.01,0.0,0.62,0.57,0.72,0.55亿,31.51亿,87.59亿,150.33
63,64,002916,深南电路,86.2,-0.36,-0.31,0.07,0.31,0.66,1.48,1.37亿,5.10亿,439.27亿,28.06
