,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300624,万兴科技,53.45,8.64,4.25,0.85,16.75,4.01,13.72,9.68亿,1.13亿,60.16亿,213.61
1,2,002131,利欧股份,2.12,6.53,0.13,0.47,6.11,4.33,10.05,7.47亿,58.35亿,123.69亿,--
2,3,002354,天娱数科,7.13,6.1,0.41,1.14,21.28,2.12,12.95,21.86亿,14.69亿,104.72亿,--
3,4,688400,凌云光,30.68,5.07,1.48,1.09,6.62,3.26,5.17,1.74亿,0.87亿,26.81亿,67.44
4,5,300058,蓝色光标,6.29,4.49,0.27,0.48,5.41,3.57,6.64,7.88亿,23.19亿,145.87亿,386.87
5,6,600941,中国移动,79.26,4.29,3.26,0.19,1.09,4.01,5.03,6.40亿,7.59亿,600.98亿,12.89
6,7,300413,芒果超媒,35.66,3.96,1.36,-0.11,0.66,2.52,5.19,2.40亿,10.22亿,364.34亿,29.81
7,8,300148,天舟文化,3.8,3.83,0.14,-0.26,8.56,6.71,6.28,2.52亿,7.75亿,29.47亿,228.76
8,9,600640,国脉文化,11.39,3.64,0.4,0.09,1.11,4.4,5.1,0.99亿,7.96亿,90.63亿,--
9,10,300578,会畅通讯,20.33,3.15,0.62,-0.25,9.66,6.72,8.07,3.84亿,1.93亿,39.20亿,57.59
10,11,300229,拓尔思,24.34,3.05,0.72,1.46,9.01,1.77,7.11,16.32亿,7.61亿,185.17亿,134.10
11,12,301236,软通动力,41.16,2.95,1.18,1.01,6.64,3.96,4.1,2.24亿,0.82亿,33.74亿,29.17
12,13,002261,拓维信息,8.74,2.34,0.2,0.23,7.52,2.31,4.68,7.28亿,11.16亿,97.53亿,80.04
13,14,300031,宝通科技,16.48,1.98,0.32,0.0,5.29,3.91,4.33,3.02亿,3.45亿,56.89亿,50.52
14,15,600088,中视传媒,10.34,1.87,0.19,-0.39,1.88,5.41,5.52,0.78亿,3.98亿,41.12亿,--
15,16,002292,奥飞娱乐,5.55,1.83,0.1,0.0,7.1,3.47,5.5,3.87亿,9.75亿,54.13亿,--
16,17,603189,网达软件,16.91,1.81,0.3,0.24,1.53,1.95,3.31,0.69亿,2.70亿,45.58亿,72.68
17,18,300860,锋尚文化,57.67,1.62,0.92,0.56,2.11,2.1,3.4,0.51亿,0.42亿,24.19亿,121.98
18,19,603808,歌力思,10.51,1.55,0.16,-0.1,0.78,2.23,2.32,0.30亿,3.69亿,38.79亿,35.65
19,20,002587,奥拓电子,6.69,1.52,0.1,0.15,8.82,2.27,5.77,3.06亿,5.09亿,34.05亿,137.42
20,21,688039,当虹科技,46.8,1.41,0.65,0.21,3.5,2.8,5.37,0.97亿,0.59亿,27.50亿,--
21,22,688088,虹软科技,29.2,1.39,0.4,-0.14,0.66,1.64,2.5,0.77亿,4.06亿,118.55亿,166.93
22,23,002059,云南旅游,7.42,1.37,0.1,-0.14,0.65,1.38,1.91,0.45亿,9.44亿,70.03亿,--
23,24,002602,世纪华通,4.86,1.25,0.06,0.21,1.07,1.37,3.12,3.59亿,68.78亿,334.28亿,39.38
24,25,300556,丝路视觉,21.81,1.21,0.26,0.05,4.8,1.56,3.62,0.99亿,0.95亿,20.75亿,128.65
25,26,002467,二六三,6.21,1.14,0.07,0.65,4.77,2.11,2.44,3.98亿,13.58亿,84.36亿,99.31
26,27,603598,引力传媒,10.22,0.99,0.1,-0.1,5.63,3.23,3.46,1.56亿,2.68亿,27.38亿,78.92
27,28,603466,风语筑,16.23,0.81,0.13,-0.19,3.02,2.21,3.23,2.95亿,5.96亿,96.79亿,589.83
28,29,301189,奥尼电子,32.41,0.62,0.2,0.03,0.9,1.61,1.4,0.12亿,0.41亿,13.35亿,53.52
29,30,300264,佳创视讯,7.28,0.55,0.04,0.0,7.18,1.24,4.56,1.86亿,3.56亿,25.95亿,--
30,31,600986,浙文互联,5.84,0.52,0.03,0.17,1.8,1.58,2.24,1.38亿,13.22亿,77.23亿,46.21
31,32,300663,科蓝软件,16.03,0.5,0.08,0.5,2.88,1.88,4.01,1.78亿,3.85亿,61.77亿,--
32,33,300296,利亚德,6.43,0.47,0.03,0.47,0.49,1.35,1.25,0.65亿,20.72亿,133.21亿,28.24
33,34,300571,平治信息,41.0,0.34,0.14,0.12,5.15,2.19,7.32,2.45亿,1.16亿,47.39亿,22.96
34,35,300168,万达信息,10.23,0.29,0.03,0.0,0.51,1.16,1.76,0.61亿,11.83亿,121.04亿,--
35,36,603825,华扬联众,15.78,0.25,0.04,-0.13,2.29,1.64,2.1,0.92亿,2.53亿,39.98亿,47.41
36,37,300287,飞利信,4.18,0.24,0.01,0.24,2.44,1.55,2.16,1.31亿,12.84亿,53.68亿,--
37,38,300235,方直科技,13.04,0.23,0.03,0.31,3.64,0.9,2.38,0.64亿,1.34亿,17.51亿,59.38
38,39,300846,首都在线,13.02,0.15,0.02,0.54,6.08,1.17,4.08,2.51亿,3.21亿,41.79亿,--
39,40,002878,元隆雅图,18.24,0.0,0.0,-0.16,5.24,3.45,5.21,1.87亿,1.93亿,35.27亿,17.26
40,41,830799,艾融软件,6.97,-0.14,-0.01,0.43,0.37,2.96,3.15,0.03亿,1.17亿,8.18亿,34.96
41,42,300232,洲明科技,6.25,-0.32,-0.02,0.0,0.33,1.04,1.12,0.18亿,8.76亿,54.72亿,20.20
42,43,300081,恒信东方,8.82,-0.34,-0.03,0.34,10.28,2.38,5.31,4.44亿,4.92亿,43.39亿,--
