,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300459,汤姆猫,4.47,15.21,0.59,0.45,16.7,4.37,13.4,22.24亿,30.01亿,134.13亿,29.44
1,2,002425,凯撒文化,5.89,10.09,0.54,0.0,3.32,1.83,10.09,1.83亿,9.56亿,56.31亿,--
2,3,001314,亿道信息,60.98,9.99,5.54,0.0,59.18,47.15,5.38,12.45亿,0.35亿,21.41亿,37.57
3,4,600640,国脉文化,12.0,9.19,1.01,-0.66,3.36,7.93,11.1,3.13亿,7.96亿,95.40亿,--
4,5,300624,万兴科技,53.2,8.13,4.0,0.38,19.23,2.75,14.57,11.17亿,1.13亿,59.88亿,212.61
5,6,002555,三七互娱,24.1,8.02,1.79,0.25,3.07,3.96,7.71,11.82亿,16.36亿,394.16亿,17.76
6,7,002517,恺英网络,8.99,6.64,0.56,0.0,3.63,3.31,8.54,6.16亿,19.07亿,171.42亿,15.88
7,8,300133,华策影视,5.79,6.04,0.33,0.35,3.02,3.11,7.14,2.78亿,16.18亿,93.71亿,27.42
8,9,002354,天娱数科,7.09,5.51,0.37,0.43,22.92,1.36,12.95,23.56亿,14.69亿,104.13亿,--
9,10,002858,力盛体育,14.73,5.44,0.76,0.2,7.77,4.06,8.16,1.63亿,1.45亿,21.31亿,--
10,11,000063,中兴通讯,30.66,5.36,1.56,-0.13,1.87,3.25,7.01,22.43亿,39.80亿,1220.23亿,15.97
11,12,301011,华立科技,32.7,5.21,1.62,0.37,4.07,3.35,5.79,0.78亿,0.59亿,19.42亿,142.41
12,13,605289,罗曼股份,29.16,4.55,1.27,-0.68,5.83,1.82,7.6,0.86亿,0.51亿,14.79亿,288.50
13,14,300413,芒果超媒,35.79,4.34,1.49,-0.06,0.89,2.03,5.98,3.24亿,10.22亿,365.67亿,29.92
14,15,300323,华灿光电,8.0,4.3,0.33,0.0,3.78,3.79,3.65,2.76亿,9.18亿,73.44亿,--
15,16,600715,文投控股,2.48,4.2,0.1,0.0,3.06,4.27,8.4,1.41亿,18.55亿,46.00亿,--
16,17,300379,东方通,25.57,4.16,1.02,0.04,3.46,2.71,4.85,3.76亿,4.33亿,110.75亿,--
17,18,300148,天舟文化,3.8,3.83,0.14,0.0,9.32,4.36,6.28,2.75亿,7.75亿,29.47亿,228.76
18,19,002624,完美世界,15.18,3.69,0.54,0.0,3.3,3.12,4.51,9.09亿,18.27亿,277.39亿,15.32
19,20,300567,精测电子,64.0,3.56,2.2,0.16,1.08,1.43,3.71,1.41亿,2.07亿,132.36亿,92.94
20,21,300166,东方国信,10.28,3.52,0.35,0.1,12.58,3.75,6.14,11.97亿,9.19亿,94.52亿,82.24
21,22,300315,掌趣科技,3.85,3.5,0.13,0.0,2.77,3.04,4.57,2.76亿,26.07亿,100.35亿,54.53
22,23,300622,博士眼镜,23.35,3.46,0.78,0.04,2.21,4.3,5.54,0.56亿,1.08亿,25.14亿,62.52
23,24,300598,诚迈科技,58.11,3.36,1.89,-0.31,4.87,2.65,6.56,4.49亿,1.60亿,93.02亿,--
24,25,002776,ST柏龙,3.42,3.32,0.11,0.29,1.0,1.94,5.74,0.18亿,5.38亿,18.40亿,--
25,26,002236,大华股份,13.95,3.18,0.43,-0.5,2.14,2.5,5.25,5.76亿,19.59亿,273.32亿,18.74
26,27,002238,天威视讯,8.2,3.15,0.25,0.12,3.59,3.28,4.91,2.35亿,8.03亿,65.81亿,60.00
27,28,300418,昆仑万维,25.99,3.13,0.79,-0.99,9.6,1.38,8.81,26.33亿,10.74亿,279.03亿,29.29
28,29,300075,数字政通,21.51,3.12,0.65,0.05,5.75,1.58,4.65,5.03亿,4.15亿,89.30亿,46.02
29,30,300578,会畅通讯,20.32,3.1,0.61,-0.49,10.66,4.43,8.07,4.24亿,1.93亿,39.18亿,57.57
