,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300026,红日药业,6.75,2.43,0.16,0.15,1.29,4.62,3.04,2.35亿,26.99亿,182.16亿,32.33
1,2,300562,乐心医疗,10.63,2.11,0.22,0.09,3.54,5.32,2.98,0.54亿,1.44亿,15.29亿,191.73
2,3,300206,理邦仪器,13.17,1.78,0.23,-0.23,1.06,2.88,3.25,0.48亿,3.40亿,44.84亿,30.28
3,4,002223,鱼跃医疗,30.32,1.68,0.5,0.2,0.64,2.83,2.18,1.81亿,9.38亿,284.34亿,20.08
4,5,300869,康泰医学,26.34,1.39,0.36,0.0,1.29,2.72,1.5,0.54亿,1.60亿,42.16亿,45.56
5,6,300753,爱朋医疗,18.26,1.16,0.21,0.11,0.9,2.48,1.77,0.12亿,0.75亿,13.70亿,--
6,7,300246,宝莱特,15.69,0.71,0.11,0.0,0.7,2.54,1.28,0.15亿,1.39亿,21.75亿,202.61
7,8,301087,可孚医疗,38.45,0.68,0.26,-0.13,0.83,1.98,1.21,0.28亿,0.88亿,33.81亿,35.90
8,9,002432,九安医疗,51.55,0.66,0.34,0.04,0.57,1.9,1.15,1.41亿,4.81亿,248.19亿,1.16
9,10,301290,东星医疗,41.75,0.46,0.19,-0.05,1.54,1.09,0.94,0.15亿,0.23亿,9.45亿,40.75
10,11,835892,中科美菱,12.59,0.08,0.01,-0.08,0.21,1.04,1.03,0.01亿,0.20亿,2.50亿,18.58
11,12,300018,中元股份,7.08,0.0,0.0,0.0,0.76,2.17,2.68,0.22亿,4.05亿,28.68亿,140.68
12,13,600839,四川长虹,3.0,-0.33,-0.01,0.0,0.21,1.06,1.0,0.29亿,46.15亿,138.45亿,45.92
13,14,002614,奥佳华,8.88,-0.34,-0.03,0.0,0.54,0.98,0.67,0.21亿,4.41亿,39.15亿,60.66
14,15,000521,长虹美菱,4.92,-0.41,-0.02,0.2,0.41,1.17,1.01,0.18亿,8.76亿,43.09亿,23.43
15,16,300003,乐普医疗,23.96,-0.42,-0.1,-0.04,0.14,1.03,0.87,0.53亿,16.14亿,386.75亿,18.67
16,17,300793,佳禾智能,17.73,-0.56,-0.1,-0.23,0.46,1.1,1.18,0.27亿,3.30亿,58.49亿,29.06
17,18,002449,国星光电,9.36,-1.06,-0.1,0.0,0.56,1.44,1.59,0.32亿,6.12亿,57.32亿,39.44
18,19,300211,亿通科技,8.84,-1.34,-0.12,-0.56,0.55,1.29,1.0,0.15亿,2.98亿,26.31亿,81.31
19,20,002681,奋达科技,4.21,-1.64,-0.07,0.0,1.04,1.57,1.64,0.56亿,12.69亿,53.43亿,41.73
20,21,002980,华盛昌,36.39,-1.75,-0.65,-0.17,3.91,2.24,1.92,0.47亿,0.33亿,12.13亿,37.94
21,22,002870,香山股份,38.81,-2.37,-0.94,0.44,6.37,8.15,2.97,2.75亿,1.10亿,42.80亿,44.34
