,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600066,宇通客车,9.16,7.51,0.64,-0.11,2.02,14.58,8.92,4.04亿,22.14亿,202.80亿,116.27
1,2,600557,康缘药业,26.36,6.21,1.54,-0.6,1.83,5.86,10.31,2.79亿,5.76亿,151.95亿,41.08
2,3,002462,嘉事堂,15.65,4.06,0.61,-0.38,3.52,13.8,4.85,1.60亿,2.91亿,45.55亿,13.86
3,4,600056,中国医药,15.64,3.37,0.51,0.19,3.36,9.69,3.83,7.80亿,14.95亿,233.87亿,22.89
4,5,600115,中国东航,5.55,2.78,0.15,0.0,0.23,4.79,2.41,1.40亿,112.03亿,621.75亿,--
5,6,600729,重庆百货,25.27,2.77,0.68,0.04,0.33,3.86,3.42,0.33亿,4.02亿,101.53亿,9.17
6,7,002415,海康威视,37.14,2.65,0.96,0.43,0.17,2.8,2.98,5.74亿,91.09亿,3383.00亿,29.50
7,8,600757,长江传媒,6.06,2.37,0.14,0.33,0.98,7.08,4.05,0.72亿,12.13亿,73.54亿,7.83
8,9,002244,滨江集团,10.39,2.26,0.23,0.0,0.29,1.91,2.26,0.80亿,26.82亿,278.70亿,11.79
9,10,601668,中国建筑,5.51,2.23,0.13,-0.18,0.31,4.75,2.6,7.13亿,413.20亿,2280.89亿,3.99
10,11,600585,海螺水泥,30.64,2.17,0.65,0.33,0.31,2.73,2.13,3.75亿,40.00亿,1225.51亿,9.81
11,12,601868,中国能建,2.39,2.14,0.05,0.42,2.09,10.78,2.56,7.10亿,142.22亿,339.92亿,17.89
12,13,600085,同仁堂,47.9,2.13,1.0,-0.08,0.45,4.66,2.41,2.96亿,13.71亿,656.93亿,49.13
13,14,600398,海澜之家,5.46,2.06,0.11,0.0,0.19,2.84,2.99,0.44亿,43.20亿,235.85亿,10.11
14,15,600690,海尔智家,26.78,1.98,0.52,0.11,0.07,1.62,2.06,1.27亿,63.09亿,1689.43亿,16.27
15,16,601633,长城汽车,33.51,1.98,0.65,0.03,0.13,2.43,1.98,2.72亿,61.33亿,2055.00亿,35.13
16,17,601555,东吴证券,7.12,1.86,0.13,0.0,0.29,4.12,2.15,1.04亿,50.08亿,356.53亿,21.64
17,18,601888,中国中免,204.2,1.84,3.7,-0.04,0.24,2.14,2.35,9.42亿,19.52亿,3986.95亿,84.07
18,19,001979,招商蛇口,14.86,1.78,0.26,0.41,0.1,1.07,3.15,1.15亿,77.38亿,1149.87亿,29.16
19,20,600383,金地集团,9.91,1.75,0.17,-0.1,0.6,1.95,2.88,2.67亿,45.15亿,447.39亿,10.06
