,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002024,ST易购,2.3,5.02,0.11,0.0,0.71,8.06,4.57,1.28亿,78.83亿,181.32亿,--
1,2,600600,青岛啤酒,108.9,2.95,3.12,0.04,0.52,1.58,3.58,3.88亿,7.00亿,762.60亿,26.11
2,3,600085,同仁堂,47.89,2.11,0.99,0.06,0.6,2.41,2.41,3.92亿,13.71亿,656.80亿,49.12
3,4,000100,TCL科技,4.57,2.01,0.09,0.22,2.77,3.29,3.35,17.32亿,136.52亿,623.91亿,208.48
4,5,600519,贵州茅台,1872.5,1.71,31.5,0.14,0.12,1.44,2.63,29.01亿,12.56亿,23522.30亿,39.73
5,6,600436,片仔癀,316.66,1.67,5.21,0.15,0.19,1.68,2.05,3.62亿,6.03亿,1910.46亿,77.38
6,7,603288,海天味业,79.23,1.51,1.18,0.06,0.07,1.53,1.79,2.64亿,46.34亿,3671.39亿,59.00
7,8,600690,海尔智家,26.65,1.49,0.39,0.19,0.15,1.27,2.06,2.54亿,63.09亿,1681.23亿,16.19
8,9,000538,云南白药,57.38,1.47,0.83,-0.02,0.29,2.34,1.86,2.78亿,16.85亿,966.62亿,33.55
9,10,000858,五粮液,213.64,1.25,2.64,0.09,0.27,1.17,3.17,22.26亿,38.81亿,8292.32亿,31.11
10,11,000002,万科A,17.55,1.21,0.21,0.06,0.43,1.64,2.08,7.33亿,97.17亿,1705.40亿,8.98
11,12,600305,恒顺醋业,13.02,1.09,0.14,0.08,0.66,0.75,1.55,0.85亿,10.03亿,130.59亿,63.41
12,13,000869,张裕A,32.56,0.96,0.31,-0.06,0.25,1.32,2.02,0.37亿,4.53亿,147.65亿,38.54
13,14,600104,上汽集团,15.08,0.87,0.13,0.0,0.1,1.95,1.07,1.73亿,116.83亿,1761.87亿,10.45
14,15,603515,欧普照明,17.67,0.86,0.15,0.06,0.19,1.33,2.0,0.25亿,7.54亿,133.19亿,19.75
15,16,300999,金龙鱼,45.35,0.84,0.38,0.04,0.64,1.23,1.62,1.57亿,5.43亿,246.09亿,78.36
16,17,002304,洋河股份,178.09,0.78,1.38,-0.02,0.15,0.88,2.23,3.91亿,15.03亿,2676.18亿,22.19
17,18,002594,比亚迪,281.13,0.76,2.13,-0.09,0.38,1.05,1.36,12.36亿,11.65亿,3274.50亿,65.92
18,19,002568,百润股份,43.28,0.7,0.3,0.33,0.52,0.66,2.33,1.61亿,7.17亿,310.44亿,111.81
19,20,000423,东阿阿胶,45.87,0.59,0.27,-0.22,0.31,0.8,1.97,0.92亿,6.54亿,300.00亿,43.87
20,21,000568,泸州老窖,252.0,0.56,1.4,0.1,0.37,1.11,2.55,13.72亿,14.64亿,3690.55亿,33.85
21,22,600887,伊利股份,31.35,0.55,0.17,0.06,0.28,1.38,1.35,5.57亿,63.08亿,1977.55亿,18.67
22,23,000651,格力电器,34.71,0.49,0.17,0.09,0.15,0.97,0.78,2.98亿,55.87亿,1939.42亿,8.01
23,24,002507,涪陵榨菜,27.27,0.48,0.13,0.04,0.68,0.82,1.73,1.63亿,8.78亿,239.34亿,26.07
24,25,000333,美的集团,51.53,0.35,0.18,0.02,0.13,0.93,1.5,4.46亿,68.53亿,3531.39亿,11.05
25,26,000895,双汇发展,26.24,0.27,0.07,0.04,0.18,1.02,1.07,1.63亿,34.64亿,908.99亿,16.77
26,27,002216,三全食品,17.62,0.11,0.02,0.0,0.59,0.87,1.88,0.66亿,6.30亿,111.03亿,22.10
27,28,600597,光明乳业,10.99,-0.18,-0.02,-0.09,0.25,0.55,0.55,0.36亿,12.99亿,142.60亿,30.73
28,29,002607,中公教育,6.08,-0.82,-0.05,0.17,2.06,1.45,2.61,6.89亿,54.55亿,331.69亿,--
29,30,603899,晨光股份,57.44,-0.85,-0.49,-0.14,0.08,0.64,2.76,0.41亿,9.24亿,530.65亿,42.70
30,31,603195,公牛集团,161.57,-0.9,-1.46,-0.1,0.07,0.99,2.33,0.65亿,5.99亿,967.99亿,30.84
