,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300174,元力股份,23.57,4.71,1.06,0.77,2.91,2.6,6.84,2.45亿,3.62亿,85.42亿,38.63
1,2,601608,中信重工,3.81,0.53,0.02,0.26,0.11,0.6,0.79,0.18亿,43.39亿,165.33亿,64.21
2,3,002091,江苏国泰,9.03,0.45,0.04,0.22,0.67,0.83,1.33,0.96亿,15.73亿,142.03亿,8.02
3,4,600673,东阳光,9.29,0.43,0.04,0.0,0.2,0.91,1.08,0.55亿,29.95亿,278.25亿,29.36
4,5,600510,黑牡丹,7.26,0.28,0.02,0.14,0.58,0.79,1.24,0.42亿,10.15亿,73.69亿,23.85
5,6,000021,深科技,12.9,0.08,0.01,0.31,0.8,0.89,2.02,1.59亿,15.60亿,201.24亿,26.24
6,7,002480,新筑股份,5.52,-0.36,-0.02,0.18,0.9,0.5,1.26,0.32亿,6.45亿,35.60亿,--
7,8,000636,风华高科,17.98,-0.39,-0.07,0.0,0.61,0.94,2.22,1.17亿,10.78亿,193.91亿,49.88
8,9,002028,思源电气,44.93,-0.47,-0.21,0.07,0.29,0.47,1.88,0.78亿,5.97亿,268.25亿,28.38
9,10,300726,宏达电子,48.54,-0.49,-0.24,-0.12,0.95,1.05,1.58,0.99亿,2.14亿,103.67亿,22.66
10,11,603678,火炬电子,47.8,-0.56,-0.27,0.0,0.62,0.77,2.75,1.36亿,4.59亿,219.35亿,22.94
11,12,002012,凯恩股份,6.24,-0.64,-0.04,0.0,2.44,0.53,1.75,0.71亿,4.67亿,29.11亿,33.88
12,13,600884,杉杉股份,18.36,-0.65,-0.12,-0.05,0.79,0.63,1.08,2.55亿,17.57亿,322.63亿,14.11
13,14,605589,圣泉集团,23.85,-0.67,-0.16,-0.04,0.28,0.4,1.62,0.41亿,6.15亿,146.73亿,29.32
14,15,600563,法拉电子,162.9,-0.68,-1.11,-0.06,0.39,0.87,1.33,1.41亿,2.25亿,366.52亿,39.76
15,16,000723,美锦能源,9.74,-0.71,-0.07,-0.1,0.43,0.74,1.02,1.68亿,39.71亿,386.75亿,18.47
16,17,002598,山东章鼓,14.43,-0.82,-0.12,0.21,6.01,0.58,3.37,2.34亿,2.72亿,39.28亿,34.33
17,18,002484,江海股份,23.97,-0.83,-0.2,-0.17,0.36,0.94,2.48,0.68亿,7.87亿,188.76亿,30.98
18,19,300037,新宙邦,45.87,-0.89,-0.41,-0.07,0.7,1.16,1.73,1.72亿,5.35亿,245.55亿,19.43
19,20,002418,康盛股份,3.26,-0.91,-0.03,-0.31,0.77,0.52,1.52,0.29亿,11.36亿,37.03亿,1424.85
20,21,002347,泰尔股份,5.53,-1.07,-0.06,0.18,5.08,1.02,2.33,1.05亿,3.74亿,20.71亿,--
21,22,300057,万顺新材,9.74,-1.32,-0.13,0.0,1.63,1.15,1.82,0.88亿,5.53亿,53.83亿,40.79
22,23,000733,振华科技,104.96,-1.52,-1.62,-0.01,0.57,1.17,1.98,3.12亿,5.20亿,545.85亿,21.98
23,24,002951,金时科技,12.0,-1.64,-0.2,0.0,1.97,0.78,2.21,0.95亿,4.05亿,48.60亿,1069.20
24,25,300960,通业科技,19.17,-2.19,-0.43,0.05,4.83,1.02,2.4,0.24亿,0.26亿,4.91亿,213.55
25,26,000962,东方钽业,12.45,-2.43,-0.31,-0.08,2.31,1.21,2.59,1.28亿,4.41亿,54.88亿,30.61
26,27,002350,北京科锐,8.28,-2.82,-0.24,-0.12,3.31,0.65,3.17,1.45亿,5.29亿,43.82亿,--
27,28,301238,瑞泰新材,27.76,-2.9,-0.83,-0.04,4.94,1.19,3.25,2.13亿,1.55亿,42.91亿,23.08
28,29,603733,仙鹤股份,29.56,-4.28,-1.32,0.07,0.26,1.29,3.43,0.56亿,7.06亿,208.69亿,27.61
