,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002415,海康威视,38.04,5.14,1.86,0.16,0.62,3.46,5.5,21.07亿,91.09亿,3464.97亿,30.22
1,2,300043,星辉娱乐,3.33,3.1,0.1,0.0,3.97,2.96,4.64,1.23亿,9.38亿,31.23亿,--
2,3,002587,奥拓电子,6.73,2.12,0.14,0.15,9.61,1.46,5.77,3.33亿,5.09亿,34.25亿,138.25
3,4,000558,莱茵体育,2.87,1.41,0.04,0.0,0.77,1.34,1.41,0.28亿,12.89亿,36.98亿,--
4,5,002431,棕榈股份,3.16,1.28,0.04,-0.32,1.41,1.31,1.6,0.65亿,14.58亿,46.08亿,--
5,6,600158,中体产业,9.18,1.1,0.1,-0.11,1.93,1.84,2.31,1.28亿,7.22亿,66.29亿,--
6,7,600104,上汽集团,15.1,1.0,0.15,0.0,0.11,1.89,1.07,1.92亿,116.83亿,1764.20亿,10.46
7,8,605099,共创草坪,24.8,0.94,0.23,-0.08,3.75,2.42,3.74,0.37亿,0.40亿,9.94亿,21.11
8,9,600340,华夏幸福,2.7,0.75,0.02,-0.37,0.53,1.18,1.49,0.56亿,38.93亿,105.12亿,--
9,10,600606,绿地控股,3.17,0.64,0.02,0.0,0.31,1.04,2.22,1.38亿,140.54亿,445.52亿,4.81
10,11,002701,奥瑞金,5.13,0.59,0.03,0.0,0.23,0.77,1.18,0.30亿,25.71亿,131.89亿,18.22
11,12,300005,探路者,7.81,0.39,0.03,-0.13,0.21,0.77,1.03,0.15亿,8.84亿,69.02亿,456.43
12,13,600018,上港集团,5.3,0.38,0.02,-0.19,0.04,0.94,0.76,0.51亿,231.74亿,1228.20亿,7.11
13,14,002899,英派斯,14.38,0.14,0.02,0.0,0.55,0.63,0.97,0.09亿,1.20亿,17.26亿,43.74
14,15,001300,三柏硕,15.53,0.06,0.01,0.0,2.04,0.83,0.77,0.19亿,0.61亿,9.46亿,29.9
15,16,300355,蒙草生态,3.41,0.0,0.0,0.0,0.92,1.01,0.88,0.41亿,13.19亿,44.97亿,27.0
16,17,300218,安利股份,11.45,-0.26,-0.03,0.0,0.34,0.84,0.87,0.08亿,2.16亿,24.76亿,10.12
17,18,300162,雷曼光电,7.58,-0.92,-0.07,0.0,1.17,0.95,1.57,0.23亿,2.64亿,20.04亿,47.58
18,19,002768,国恩股份,30.96,-1.09,-0.34,-0.03,0.76,0.82,1.76,0.42亿,1.77亿,54.72亿,11.78
19,20,002181,粤传媒,5.76,-1.37,-0.08,0.17,3.31,1.79,2.91,2.18亿,11.34亿,65.34亿,184.49
20,21,002395,双象股份,10.36,-1.52,-0.16,-0.1,0.8,1.18,1.9,0.22亿,2.68亿,27.79亿,102.64
21,22,600136,ST明诚,2.65,-1.85,-0.05,0.0,2.37,1.07,2.22,0.31亿,4.85亿,12.86亿,--
