,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300379,东方通,25.32,3.14,0.77,0.92,1.95,3.08,3.75,2.10亿,4.33亿,109.67亿,--
1,2,301236,软通动力,40.76,1.95,0.78,0.39,6.41,4.59,4.1,2.16亿,0.82亿,33.41亿,28.89
2,3,600036,招商银行,37.78,1.64,0.61,0.08,0.12,1.75,1.8,9.69亿,206.29亿,7793.62亿,6.90
3,4,000001,平安银行,13.88,1.54,0.21,0.29,0.29,2.01,1.76,7.67亿,194.06亿,2693.49亿,5.92
4,5,600928,西安银行,3.53,1.44,0.05,0.28,0.19,2.22,1.44,0.20亿,30.25亿,106.79亿,6.61
5,6,600415,小商品城,5.06,1.2,0.06,0.0,0.34,2.27,1.8,0.94亿,54.56亿,276.09亿,12.85
6,7,601166,兴业银行,17.16,1.18,0.2,0.06,0.12,1.79,1.24,4.20亿,207.74亿,3564.86亿,3.90
7,8,300180,华峰超纤,4.3,0.94,0.04,0.47,0.22,1.08,1.64,0.13亿,14.33亿,61.60亿,215.27
8,9,601988,中国银行,3.23,0.94,0.03,0.0,0.03,3.9,0.94,1.93亿,2107.66亿,6807.73亿,4.12
9,10,600811,东方集团,2.53,0.8,0.02,0.4,0.46,2.16,1.59,0.42亿,36.59亿,92.58亿,--
10,11,002315,焦点科技,20.32,0.69,0.14,0.05,3.39,2.35,3.72,1.33亿,1.91亿,38.87亿,19.66
11,12,300468,四方精创,11.72,0.69,0.08,0.0,2.19,2.2,2.49,1.36亿,5.29亿,62.01亿,83.27
12,13,000617,中油资本,6.08,0.66,0.04,0.0,0.16,1.22,1.49,1.20亿,126.42亿,768.64亿,11.60
13,14,300047,天源迪科,8.2,0.61,0.05,0.0,8.75,2.07,6.87,3.87亿,5.35亿,43.88亿,92.04
14,15,600015,华夏银行,5.17,0.58,0.03,0.0,0.12,2.9,0.97,0.77亿,128.23亿,662.93亿,3.61
15,16,600016,民生银行,3.46,0.58,0.02,0.29,0.04,1.4,0.58,0.45亿,354.62亿,1226.99亿,3.36
16,17,600000,浦发银行,7.24,0.56,0.04,0.0,0.02,1.67,0.69,0.42亿,293.52亿,2125.10亿,3.94
17,18,002647,仁东控股,7.27,0.41,0.03,0.14,0.99,1.55,1.1,0.40亿,5.60亿,40.71亿,--
18,19,601328,交通银行,4.88,0.41,0.02,-0.2,0.05,1.58,0.62,0.99亿,392.51亿,1915.44亿,4.00
