,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301171,易点天下,22.76,5.76,1.24,-0.52,19.46,1.19,8.92,3.08亿,0.71亿,16.14亿,32.17
1,2,688201,信安世纪,66.44,5.48,3.45,-0.09,1.52,1.43,6.56,0.61亿,0.61亿,40.64亿,126.21
2,3,688590,新致软件,12.39,4.73,0.56,-0.08,5.38,1.31,5.07,1.06亿,1.61亿,19.94亿,126.97
3,4,300541,先进数通,14.53,4.38,0.61,-0.07,13.41,1.99,6.04,4.88亿,2.55亿,37.03亿,85.81
4,5,600850,电科数字,25.03,4.12,0.99,-0.04,1.54,2.05,5.45,2.12亿,5.55亿,138.89亿,44.18
5,6,300663,科蓝软件,15.97,3.97,0.61,0.38,4.59,1.4,4.62,2.78亿,3.85亿,61.54亿,--
6,7,300674,宇信科技,17.93,3.7,0.64,0.17,4.91,1.9,8.33,6.21亿,7.03亿,126.09亿,84.97
7,8,301208,中亦科技,64.36,3.11,1.94,0.09,6.41,1.23,3.67,0.68亿,0.17亿,10.73亿,43.85
8,9,000555,神州信息,12.61,2.94,0.36,-0.08,1.38,1.78,3.35,1.68亿,9.80亿,123.57亿,77.30
9,10,300465,高伟达,10.63,2.9,0.3,-0.09,2.24,1.09,4.36,1.06亿,4.47亿,47.49亿,--
10,11,301236,软通动力,39.76,2.9,1.12,-0.13,4.02,1.03,4.87,1.29亿,0.82亿,32.60亿,28.18
11,12,300047,天源迪科,8.16,2.77,0.22,-0.12,9.84,0.78,4.41,4.24亿,5.35亿,43.66亿,91.59
12,13,002065,东华软件,6.71,2.76,0.18,-0.15,1.41,1.68,3.98,2.73亿,29.04亿,194.87亿,33.35
13,14,300542,新晨科技,13.54,2.04,0.27,0.07,2.56,1.08,3.09,0.83亿,2.42亿,32.78亿,316.29
14,15,300872,天阳科技,14.83,1.72,0.25,0.0,1.97,0.94,2.33,0.75亿,2.56亿,38.01亿,121.74
15,16,002315,焦点科技,20.19,1.71,0.34,0.05,3.41,0.75,2.47,1.31亿,1.91亿,38.62亿,19.53
16,17,300379,东方通,24.52,1.7,0.41,0.12,1.8,1.07,3.28,1.91亿,4.33亿,106.21亿,--
17,18,300348,长亮科技,12.67,1.52,0.19,-0.08,1.95,0.82,2.56,1.50亿,6.11亿,77.41亿,1154.45
18,19,600571,信雅达,11.59,1.49,0.17,-0.26,5.27,0.71,4.03,2.70亿,4.46亿,51.65亿,--
19,20,000948,南天信息,24.2,1.34,0.32,-0.17,4.22,0.8,2.35,3.40亿,3.35亿,80.95亿,146.91
20,21,300468,四方精创,11.62,1.22,0.14,0.0,2.28,0.82,2.0,1.39亿,5.29亿,61.48亿,82.56
21,22,003029,吉大正元,38.36,1.21,0.46,-0.36,3.37,1.38,5.01,1.45亿,1.13亿,43.53亿,--
22,23,002987,京北方,31.26,1.03,0.32,-0.1,4.24,0.76,2.91,1.71亿,1.30亿,40.73亿,39.20
23,24,300079,数码视讯,6.2,0.98,0.06,0.0,4.22,0.79,3.26,3.29亿,12.67亿,78.55亿,88.03
24,25,300180,华峰超纤,4.27,0.71,0.03,0.0,0.53,0.95,1.42,0.32亿,14.33亿,61.17亿,213.77
25,26,600839,四川长虹,3.01,0.67,0.02,0.0,0.92,1.26,1.34,1.28亿,46.15亿,138.91亿,46.08
26,27,002537,海联金汇,8.5,0.59,0.05,0.0,2.13,1.06,1.3,2.12亿,11.74亿,99.78亿,73.07
27,28,002647,仁东控股,7.27,0.55,0.04,0.14,2.35,1.29,2.08,0.95亿,5.60亿,40.71亿,--
28,29,300773,拉卡拉,21.28,0.47,0.1,-0.09,1.46,0.41,2.55,2.36亿,7.57亿,161.17亿,30.82
29,30,601288,农业银行,2.92,0.34,0.01,0.0,0.04,0.94,0.34,3.36亿,2992.85亿,8739.11亿,3.88
30,31,002153,石基信息,17.6,0.23,0.04,-0.06,0.35,0.7,2.56,0.75亿,12.30亿,216.53亿,2441.90
31,32,300130,新国都,16.21,0.06,0.01,0.19,4.54,0.8,3.4,2.74亿,3.71亿,60.10亿,20.04
32,33,601988,中国银行,3.2,0.0,0.0,-0.31,0.01,0.46,0.31,0.65亿,2107.66亿,6744.50亿,4.08
33,34,600015,华夏银行,5.14,-0.19,-0.01,0.0,0.08,0.77,0.39,0.53亿,128.23亿,659.09亿,3.59
