,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300189,神农科技,4.21,0.48,0.02,0.24,1.14,0.71,0.95,0.46亿,9.63亿,40.54亿,--
1,2,000998,隆平高科,17.36,0.46,0.08,0.06,0.77,0.82,1.85,1.73亿,12.96亿,224.98亿,--
2,3,000713,丰乐种业,9.09,0.33,0.03,0.0,1.48,0.84,1.32,0.82亿,6.14亿,55.81亿,899.24
3,4,002041,登海种业,20.08,0.25,0.05,0.0,0.25,0.57,0.6,0.45亿,8.80亿,176.70亿,117.99
4,5,002385,大北农,8.31,0.24,0.02,0.0,1.42,0.86,0.96,3.88亿,32.94亿,273.77亿,--
5,6,600596,新安股份,16.25,0.12,0.02,0.0,0.46,0.81,0.62,0.77亿,10.29亿,167.26亿,4.87
6,7,600313,农发种业,10.86,0.09,0.01,0.09,1.78,0.75,1.48,2.06亿,10.67亿,115.88亿,122.55
7,8,002170,芭田股份,6.19,0.0,0.0,0.16,0.69,0.63,1.13,0.30亿,7.08亿,43.84亿,49.71
8,9,600371,万向德农,13.62,-0.37,-0.05,0.0,0.98,0.57,0.73,0.39亿,2.93亿,39.85亿,54.12
9,10,300087,荃银高科,16.61,-0.6,-0.1,-0.12,1.12,0.88,1.62,1.19亿,6.39亿,106.17亿,222.85
10,11,600354,敦煌种业,7.98,-0.75,-0.06,0.25,4.11,0.74,1.74,1.73亿,5.28亿,42.12亿,--
