,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688158,优刻得,20.94,20.0,3.49,0.0,11.37,3.95,19.71,7.83亿,3.55亿,74.42亿,--
1,2,688262,国芯科技,64.21,10.48,6.09,-0.68,4.33,2.86,12.51,5.00亿,1.87亿,120.16亿,119.59
2,3,001339,智微智能,31.72,9.99,2.88,0.0,18.12,2.28,2.46,3.53亿,0.62亿,19.59亿,58.99
3,4,688316,青云科技,44.85,8.23,3.41,0.09,9.79,2.21,13.13,1.47亿,0.35亿,15.70亿,--
4,5,000977,浪潮信息,39.98,7.16,2.67,-0.18,11.79,2.24,7.16,67.13亿,14.62亿,584.45亿,28.39
5,6,000063,中兴通讯,30.89,6.15,1.79,-0.03,1.73,3.4,6.98,20.67亿,39.80亿,1229.39亿,16.09
6,7,000711,京蓝科技,3.08,5.84,0.17,0.0,12.78,4.7,10.31,3.26亿,8.20亿,25.27亿,--
7,8,002415,海康威视,37.78,4.42,1.6,0.4,0.51,3.23,5.06,17.15亿,91.09亿,3441.29亿,30.01
8,9,600845,宝信软件,51.83,4.01,2.0,0.14,0.41,2.46,4.92,2.96亿,14.37亿,745.04亿,50.23
9,10,300166,东方国信,10.32,3.93,0.39,0.1,12.35,4.17,6.14,11.75亿,9.19亿,94.88亿,82.56
10,11,300738,奥飞数据,13.9,3.81,0.51,-0.43,7.6,1.76,8.96,7.10亿,6.84亿,95.13亿,64.81
11,12,688619,罗普特,16.4,3.8,0.6,0.0,11.51,2.29,8.1,1.68亿,0.87亿,14.34亿,--
12,13,002439,启明星辰,30.76,3.6,1.07,-0.16,1.2,1.73,6.6,2.63亿,7.24亿,222.83亿,--
13,14,002757,南兴股份,13.97,3.18,0.43,0.43,7.68,1.68,3.32,2.98亿,2.80亿,39.09亿,15.40
14,15,002261,拓维信息,8.8,3.04,0.26,-0.23,8.7,1.81,4.68,8.44亿,11.16亿,98.20亿,80.59
15,16,300638,广和通,23.95,2.79,0.65,-0.75,2.8,2.46,7.21,2.68亿,4.07亿,97.54亿,39.70
16,17,300036,超图软件,21.31,2.75,0.57,0.28,1.77,1.89,3.62,1.58亿,4.25亿,90.47亿,125.75
17,18,300212,易华录,27.35,2.7,0.72,-0.15,4.57,2.35,7.85,7.83亿,6.41亿,175.24亿,--
18,19,002544,普天科技,21.53,2.52,0.53,-0.28,0.76,2.07,3.76,1.07亿,6.67亿,143.53亿,91.01
19,20,300603,立昂技术,13.48,2.51,0.33,-0.59,13.36,1.26,9.05,4.54亿,2.53亿,34.14亿,77.81
20,21,300052,中青宝,23.24,2.47,0.56,0.13,11.71,2.15,6.3,7.09亿,2.61亿,60.71亿,647.26
21,22,002587,奥拓电子,6.75,2.43,0.16,0.15,9.35,1.63,5.77,3.24亿,5.09亿,34.35亿,138.66
22,23,600804,ST鹏博士,3.61,2.27,0.08,-0.28,1.75,2.49,3.97,0.87亿,13.93亿,50.27亿,99.35
23,24,300479,神思电子,25.61,1.87,0.47,-0.04,13.7,1.85,8.43,7.02亿,1.97亿,50.46亿,--
24,25,688088,虹软科技,29.33,1.84,0.53,-0.03,0.94,1.58,2.99,1.10亿,4.06亿,119.08亿,167.67
25,26,300353,东土科技,12.07,1.77,0.21,0.0,3.74,1.95,6.16,1.98亿,4.39亿,52.98亿,--
26,27,300846,首都在线,13.2,1.54,0.2,-0.75,8.77,1.14,5.62,3.65亿,3.21亿,42.37亿,--
