,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600115,中国东航,5.5,1.85,0.1,-0.18,0.36,2.59,2.59,2.22亿,112.03亿,616.15亿,--
1,2,300542,新晨科技,13.73,1.25,0.17,-0.15,2.67,1.6,2.43,0.88亿,2.42亿,33.24亿,320.72
2,3,001316,润贝航科,40.75,1.12,0.45,0.15,6.06,2.62,3.55,0.49亿,0.20亿,8.15亿,40.73
3,4,600340,华夏幸福,2.7,0.75,0.02,-0.37,0.53,1.18,1.49,0.56亿,38.93亿,105.12亿,--
4,5,600990,四创电子,33.51,0.57,0.19,-0.03,0.56,1.09,1.86,0.39亿,2.07亿,69.34亿,--
5,6,000571,ST大洲,2.36,0.43,0.01,0.0,0.76,1.44,1.28,0.15亿,8.14亿,19.21亿,18.98
6,7,600038,中直股份,45.84,0.39,0.18,0.09,0.37,0.72,1.16,1.00亿,5.89亿,270.22亿,424.33
7,8,002542,中化岩土,3.25,0.31,0.01,0.31,0.84,0.73,1.24,0.43亿,15.72亿,51.09亿,--
8,9,000099,中信海直,7.84,0.26,0.02,-0.13,0.69,1.17,0.9,0.39亿,7.10亿,55.68亿,27.34
9,10,002023,海特高新,9.27,0.22,0.02,-0.22,0.57,1.12,1.08,0.36亿,6.84亿,63.38亿,364.34
10,11,600862,中航高科,23.4,0.21,0.05,-0.04,0.16,0.43,1.24,0.51亿,13.93亿,325.97亿,36.44
11,12,600523,贵航股份,16.67,0.06,0.01,-0.06,0.62,0.62,0.66,0.42亿,4.04亿,67.35亿,55.09
12,13,603766,隆鑫通用,5.47,0.0,0.0,0.37,0.3,0.8,1.28,0.34亿,20.54亿,112.33亿,10.61
13,14,002097,山河智能,6.55,0.0,0.0,0.15,0.57,0.67,0.76,0.38亿,10.02亿,65.63亿,--
14,15,603308,应流股份,21.8,-0.05,-0.01,0.0,0.52,0.97,1.7,0.77亿,6.83亿,148.93亿,49.08
15,16,001696,宗申动力,7.16,-0.14,-0.01,0.0,0.44,0.71,1.25,0.28亿,8.79亿,62.95亿,15.56
16,17,300965,恒宇信通,50.14,-0.34,-0.17,0.0,0.65,0.64,1.41,0.05亿,0.16亿,8.24亿,--
17,18,600219,南山铝业,3.61,-0.55,-0.02,0.0,0.38,1.49,1.1,1.59亿,117.09亿,422.68亿,11.13
18,19,300397,天和防务,10.7,-0.56,-0.06,0.0,1.01,0.56,1.49,0.43亿,4.01亿,42.86亿,--
19,20,300135,宝利国际,2.93,-0.68,-0.02,0.0,3.08,0.52,1.02,0.64亿,7.10亿,20.80亿,222.69
20,21,600316,洪都航空,27.56,-0.69,-0.19,0.0,0.48,0.89,1.08,0.96亿,7.17亿,197.64亿,943.35
21,22,002111,威海广泰,10.89,-0.73,-0.08,-0.09,0.45,0.89,1.64,0.23亿,4.75亿,51.77亿,51.67
22,23,300424,航新科技,13.4,-0.74,-0.1,0.08,0.84,0.95,1.26,0.27亿,2.39亿,32.03亿,117.07
23,24,300159,ST新研,3.14,-0.95,-0.03,0.32,1.04,0.57,2.21,0.46亿,14.20亿,44.60亿,210.87
24,25,002651,利君股份,7.92,-1.0,-0.08,0.0,1.37,0.98,1.25,0.61亿,5.62亿,44.53亿,45.12
25,26,300719,安达维尔,12.8,-1.0,-0.13,0.16,0.96,0.84,2.09,0.22亿,1.81亿,23.19亿,--
26,27,002253,川大智胜,16.95,-1.05,-0.18,-0.18,7.57,0.66,2.57,2.65亿,2.07亿,35.12亿,612.78
27,28,002520,日发精机,8.01,-1.23,-0.1,-0.13,3.16,0.92,1.85,1.59亿,6.25亿,50.09亿,--
28,29,300581,晨曦航空,19.13,-1.49,-0.29,0.0,1.13,0.76,1.44,0.70亿,3.24亿,61.90亿,1339.95
29,30,002085,万丰奥威,6.75,-1.75,-0.12,0.0,0.55,1.11,2.33,0.79亿,21.42亿,144.56亿,18.26
