,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688262,国芯科技,64.05,10.2,5.93,0.08,4.53,2.61,12.51,5.24亿,1.87亿,119.86亿,119.29
1,2,600050,中国联通,5.35,5.94,0.3,0.0,1.64,3.12,9.51,26.87亿,309.62亿,1656.49亿,18.68
2,3,603660,苏州科达,6.62,1.53,0.1,-0.15,2.8,1.36,4.45,0.92亿,4.94亿,32.72亿,--
3,4,002212,天融信,12.07,1.43,0.17,0.17,1.04,1.46,3.61,1.46亿,11.68亿,140.95亿,--
4,5,603703,盛洋科技,17.09,1.24,0.21,0.06,1.03,1.82,2.55,0.52亿,2.99亿,51.03亿,170.98
5,6,000988,华工科技,20.3,0.84,0.17,0.05,0.74,0.82,1.64,1.51亿,10.05亿,204.01亿,21.20
6,7,600120,浙江东方,3.85,0.79,0.03,-0.26,0.62,2.21,2.09,0.69亿,28.96亿,111.51亿,31.98
7,8,300287,飞利信,4.2,0.72,0.03,-0.24,3.27,1.23,2.4,1.76亿,12.84亿,53.94亿,--
8,9,300349,金卡智能,11.78,0.68,0.08,-0.09,0.21,0.62,1.71,0.10亿,3.81亿,44.91亿,20.83
9,10,300419,浩丰科技,6.69,0.6,0.04,0.15,1.95,1.29,2.26,0.48亿,3.68亿,24.60亿,156.34
10,11,000555,神州信息,12.67,0.48,0.06,0.16,0.94,1.48,2.22,1.16亿,9.80亿,124.16亿,77.67
11,12,002179,中航光电,57.14,0.05,0.03,0.07,0.19,0.64,0.73,1.69亿,15.67亿,895.66亿,34.21
12,13,601789,宁波建工,5.21,0.00,0.00,0.19,2.35,0.66,1.73,1.33亿,10.87亿,56.62亿,18.76
13,14,600260,*ST凯乐,--,--,--,--,--,--,--,--,9.95亿,4.68亿,--
14,15,300297,*ST蓝盾,1.48,0.00,0.00,0.00,1.14,0.64,2.03,0.21亿,12.48亿,18.47亿,--
15,16,002211,ST宏达,2.78,0.00,0.00,0.00,0.40,0.88,1.44,0.05亿,4.32亿,12.02亿,--
16,17,300620,光库科技,43.82,-0.02,-0.01,-0.02,0.82,0.62,3.01,0.57亿,1.60亿,70.26亿,59.93
17,18,002268,电科网安,35.28,-0.06,-0.02,-0.06,2.21,1.75,2.98,6.53亿,8.41亿,296.81亿,451.42
18,19,300123,亚光科技,7.05,-0.14,-0.01,-0.14,0.96,0.68,2.27,0.67亿,9.88亿,69.63亿,--
19,20,000066,中国长城,13.90,-0.29,-0.04,0.36,3.67,2.13,5.74,15.72亿,31.47亿,437.40亿,--
20,21,300768,迪普科技,17.23,-0.29,-0.05,0.29,1.06,1.58,3.07,0.70亿,3.85亿,66.37亿,122.05
21,22,600487,亨通光电,14.93,-0.67,-0.1,0.0,1.62,1.31,2.33,5.94亿,24.67亿,368.28亿,19.46
22,23,300077,国民技术,16.88,-0.71,-0.12,0.24,2.09,0.89,2.65,1.95亿,5.55亿,93.70亿,2495.09
23,24,002335,科华数据,46.94,-0.89,-0.42,0.04,1.76,0.99,2.43,3.27亿,3.98亿,186.69亿,56.35
24,25,300555,ST路通,6.63,-0.9,-0.06,-0.15,0.77,1.03,2.24,0.10亿,1.98亿,13.10亿,--
25,26,600764,中国海防,26.3,-0.9,-0.24,0.04,0.34,0.57,1.32,0.63亿,7.11亿,186.90亿,60.52
26,27,600879,航天电子,7.55,-0.92,-0.07,0.0,0.82,1.07,1.57,1.69亿,27.19亿,205.31亿,30.51
27,28,002126,银轮股份,15.72,-0.94,-0.15,0.26,0.64,0.82,1.95,0.75亿,7.45亿,117.11亿,40.34
28,29,002089,*ST新海,1.04,-0.95,-0.01,-0.95,18.82,7.05,8.57,2.41亿,12.47亿,12.97亿,108.63
29,30,600406,国电南瑞,26.14,-1.02,-0.27,0.19,0.14,0.94,1.29,2.52亿,66.28亿,1732.46亿,35.91
30,31,002512,达华智能,4.41,-1.12,-0.05,0.0,3.49,0.89,2.24,1.61亿,10.49亿,46.28亿,--
31,32,002935,天奥电子,28.85,-1.27,-0.37,0.04,0.38,0.67,1.85,0.29亿,2.60亿,74.89亿,134.40
32,33,002230,科大讯飞,49.91,-1.73,-0.88,-0.02,2.16,0.9,1.67,23.72亿,22.00亿,1097.78亿,206.99
33,34,603019,中科曙光,30.89,-2.34,-0.74,0.23,6.08,1.81,4.36,27.00亿,14.51亿,448.13亿,51.89
34,35,688027,国盾量子,140.6,-2.5,-3.61,0.02,2.17,0.74,1.6,1.38亿,0.45亿,63.49亿,--
35,36,002281,光迅科技,22.82,-4.16,-0.99,0.04,4.84,1.1,4.03,7.53亿,6.74亿,153.84亿,24.28
36,37,300520,科大国创,26.26,-4.68,-1.29,-0.42,12.69,1.14,3.85,7.74亿,2.32亿,60.86亿,88.62
37,38,300895,铜牛信息,43.89,-5.06,-2.34,-0.09,19.59,1.11,3.87,5.19亿,0.60亿,26.40亿,224.47
