,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002672,东江环保,6.1,0.66,0.04,0.0,0.28,1.23,0.49,0.11亿,6.79亿,41.42亿,--
1,2,603588,高能环境,10.91,0.55,0.06,0.0,0.52,2.44,3.32,0.84亿,14.86亿,162.09亿,20.71
2,3,002479,富春环保,4.82,0.42,0.02,0.21,0.76,0.8,1.67,0.32亿,8.61亿,41.52亿,23.67
3,4,300145,中金环境,2.81,0.36,0.01,0.36,0.4,0.62,1.07,0.21亿,18.94亿,53.21亿,30.21
4,5,600361,创新新材,6.48,0.0,0.0,-0.15,0.56,0.71,2.01,0.24亿,6.66亿,43.14亿,--
5,6,601388,怡球资源,3.64,0.0,0.0,0.0,0.49,0.94,0.82,0.36亿,20.21亿,73.56亿,20.71
6,7,002340,格林美,7.95,0.0,0.0,0.13,0.41,0.94,0.5,1.66亿,50.75亿,403.45亿,30.44
7,8,603045,福达合金,15.38,-0.13,-0.02,0.13,0.7,1.3,1.1,0.15亿,1.38亿,21.17亿,156.28
8,9,000546,金圆股份,12.64,-0.16,-0.02,0.08,0.83,0.95,1.26,0.75亿,7.11亿,89.93亿,32.93
9,10,002160,常铝股份,4.6,-0.43,-0.02,0.0,0.87,0.9,1.3,0.30亿,7.53亿,34.66亿,--
10,11,002379,宏创控股,4.4,-0.45,-0.02,0.0,0.94,1.3,1.58,0.38亿,9.26亿,40.76亿,80.72
11,12,002552,宝鼎科技,16.22,-0.49,-0.08,0.0,0.37,0.52,1.04,0.14亿,2.31亿,37.52亿,626.39
12,13,000009,中国宝安,12.86,-0.54,-0.07,0.0,0.44,0.57,1.16,1.43亿,25.51亿,328.11亿,43.22
13,14,002009,天奇股份,16.13,-0.62,-0.1,-0.12,0.96,0.97,1.36,0.58亿,3.72亿,60.02亿,22.89
14,15,301026,浩通科技,39.48,-0.93,-0.37,0.08,1.66,1.07,2.46,0.37亿,0.56亿,22.01亿,25.96
15,16,600362,江西铜业,19.78,-1.3,-0.26,0.15,0.69,1.31,1.45,2.84亿,20.75亿,410.48亿,10.86
16,17,688269,凯立新材,81.9,-1.77,-1.48,0.17,0.49,1.04,2.7,0.25亿,0.60亿,49.51亿,45.85
17,18,002666,德联集团,5.52,-1.78,-0.1,0.0,2.03,0.47,1.6,0.50亿,4.50亿,24.82亿,48.45
18,19,300930,屹通新材,28.74,-1.84,-0.54,-0.14,1.49,1.14,2.73,0.13亿,0.29亿,8.48亿,30.58
19,20,002996,顺博合金,14.32,-3.37,-0.5,0.07,4.71,1.59,3.85,0.85亿,1.26亿,18.00亿,31.19
20,21,300428,立中集团,33.11,-3.47,-1.19,-0.03,1.56,1.04,3.88,2.42亿,4.64亿,153.67亿,40.97
21,22,002645,华宏科技,18.12,-4.03,-0.76,0.11,2.56,2.02,5.72,2.20亿,4.75亿,86.00亿,19.68
