,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600961,株冶集团,8.22,0.37,0.03,0.12,0.56,0.69,1.47,0.24亿,5.27亿,43.36亿,45.03
1,2,601212,白银有色,2.76,0.36,0.01,0.36,0.13,0.72,0.73,0.26亿,74.05亿,204.37亿,--
2,3,000603,盛达资源,13.7,0.29,0.04,-0.07,0.46,0.68,1.39,0.37亿,5.89亿,80.67亿,32.20
3,4,000060,中金岭南,4.48,0.22,0.01,0.0,0.29,0.86,0.9,0.48亿,37.37亿,167.43亿,12.01
4,5,600497,驰宏锌锗,5.45,0.18,0.01,0.18,0.6,0.91,1.29,1.67亿,50.91亿,277.48亿,14.64
5,6,600331,宏达股份,3.06,0.0,0.0,0.33,0.38,0.96,0.65,0.24亿,20.32亿,62.18亿,48.70
6,7,002237,恒邦股份,11.17,0.0,0.0,0.0,0.54,1.1,1.34,0.55亿,9.10亿,101.69亿,23.77
7,8,000758,中色股份,5.67,0.0,0.0,-0.18,1.25,0.92,1.76,1.39亿,19.69亿,111.66亿,20.06
8,9,000751,锌业股份,3.38,0.0,0.0,0.0,0.31,0.58,0.89,0.15亿,14.10亿,47.65亿,--
9,10,600338,西藏珠峰,24.94,-0.04,-0.01,0.04,0.74,0.53,1.88,1.69亿,9.14亿,228.00亿,31.15
10,11,000426,兴业矿业,7.12,-0.14,-0.01,0.0,0.46,0.7,0.98,0.49亿,14.75亿,105.02亿,42.68
11,12,601168,西部矿业,11.28,-0.35,-0.04,0.09,0.63,0.95,1.32,1.68亿,23.83亿,268.80亿,8.42
12,13,002114,罗平锌电,7.44,-0.4,-0.03,0.14,0.73,0.85,1.34,0.18亿,3.23亿,24.06亿,--
13,14,601899,紫金矿业,11.49,-0.69,-0.08,0.09,0.28,0.79,1.21,6.67亿,205.25亿,2358.36亿,13.61
14,15,000688,国城矿业,17.53,-0.79,-0.14,0.0,0.15,0.76,1.53,0.30亿,11.18亿,195.92亿,92.57
15,16,600711,盛屯矿业,6.31,-0.94,-0.06,0.0,0.95,1.83,1.41,1.68亿,28.00亿,176.68亿,19.16
16,17,002716,金贵银业,3.15,-0.94,-0.03,0.0,0.44,0.89,1.26,0.30亿,21.81亿,68.70亿,--
17,18,000975,银泰黄金,11.91,-1.33,-0.16,-0.08,0.77,1.08,1.91,2.25亿,24.46亿,291.34亿,26.67
18,19,603132,金徽股份,13.4,-1.76,-0.24,0.0,1.74,0.78,2.35,0.23亿,0.98亿,13.13亿,32.02
19,20,601020,华钰矿业,16.54,-2.36,-0.4,0.0,2.95,1.07,3.96,2.76亿,5.62亿,93.01亿,49.43
