,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002506,协鑫集成,3.29,0.92,0.03,-0.3,1.22,3.06,3.07,2.36亿,58.49亿,192.45亿,--
1,2,000567,海德股份,17.64,0.8,0.14,-0.11,0.17,0.97,1.14,0.28亿,9.28亿,163.64亿,22.64
2,3,600875,东方电气,20.32,0.79,0.16,-0.15,0.81,1.34,3.12,3.25亿,20.15亿,409.48亿,19.01
3,4,600157,永泰能源,1.6,0.63,0.01,0.0,0.35,0.94,1.26,1.22亿,222.18亿,355.48亿,17.30
4,5,600517,国网英大,5.31,0.57,0.03,0.0,0.67,2.23,2.65,0.68亿,19.00亿,100.87亿,27.67
5,6,002145,中核钛白,7.68,0.52,0.04,-0.13,0.89,0.8,1.83,1.57亿,23.07亿,177.20亿,27.81
6,7,000709,河钢股份,2.45,0.41,0.01,-0.41,0.17,0.72,0.82,0.42亿,103.35亿,253.22亿,16.34
7,8,600839,四川长虹,3.02,0.33,0.01,0.33,0.36,0.78,1.0,0.50亿,46.15亿,139.37亿,46.23
8,9,601727,上海电气,4.19,0.24,0.01,-0.24,0.08,1.28,0.72,0.45亿,126.55亿,531.52亿,--
9,10,002601,龙佰集团,21.6,0.23,0.05,0.05,0.23,0.92,1.07,0.82亿,16.49亿,356.12亿,12.20
10,11,002203,海亮股份,12.27,0.16,0.02,-0.08,0.1,1.06,1.31,0.22亿,19.40亿,238.09亿,19.55
11,12,000822,山东海化,8.39,0.12,0.01,0.0,0.77,0.95,1.07,0.58亿,8.95亿,75.10亿,5.38
12,13,600956,新天绿能,10.24,0.0,0.0,0.1,0.53,0.85,0.98,0.16亿,2.89亿,29.59亿,19.28
13,14,300080,易成新能,5.95,-0.34,-0.02,-0.34,0.49,0.89,1.51,0.35亿,12.22亿,72.70亿,55.97
14,15,601168,西部矿业,11.27,-0.44,-0.05,-0.09,0.58,1.1,1.32,1.54亿,23.83亿,268.56亿,8.41
15,16,000655,金岭矿业,7.69,-0.52,-0.04,0.0,0.26,0.85,1.03,0.12亿,5.95亿,45.78亿,17.21
16,17,002534,西子洁能,16.87,-0.53,-0.09,0.0,0.48,0.78,2.0,0.59亿,7.26亿,122.41亿,91.04
17,18,600387,海越能源,7.77,-0.64,-0.05,0.13,1.18,1.52,1.28,0.37亿,4.04亿,31.39亿,38.75
18,19,603067,振华股份,15.03,-0.66,-0.1,-0.07,0.46,0.64,1.52,0.35亿,5.03亿,75.57亿,18.04
19,20,600101,明星电力,9.44,-0.74,-0.07,-0.11,1.11,0.8,1.79,0.44亿,4.21亿,39.78亿,25.04
20,21,002978,安宁股份,38.48,-0.75,-0.29,-0.08,0.65,0.74,1.08,0.24亿,0.95亿,36.56亿,13.29
21,22,601028,玉龙股份,13.93,-0.99,-0.14,-0.22,2.05,1.16,2.2,2.25亿,7.83亿,109.08亿,58.84
22,23,000629,钒钛股份,5.65,-1.05,-0.06,-0.35,1.11,0.68,2.45,5.42亿,85.89亿,485.30亿,29.70
23,24,002169,智光电气,9.48,-1.86,-0.18,0.11,1.46,1.39,2.38,1.06亿,7.64亿,72.40亿,161.79
24,25,300706,阿石创,27.48,-2.07,-0.58,0.15,4.16,0.99,4.06,1.10亿,0.96亿,26.48亿,194.68
25,26,300444,双杰电气,5.66,-4.39,-0.26,-0.18,3.83,1.41,3.38,1.29亿,5.92亿,33.52亿,--
