,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,601390,中国中铁,5.97,2.23,0.13,0.0,0.38,1.86,2.4,4.56亿,203.63亿,1215.70亿,4.82
1,2,601618,中国中冶,3.39,0.89,0.03,0.0,0.27,1.59,1.49,1.61亿,178.53亿,605.20亿,7.85
2,3,601669,中国电建,7.02,0.57,0.04,0.0,0.41,1.4,0.86,3.17亿,109.91亿,771.60亿,10.53
3,4,002460,赣锋锂业,76.99,0.4,0.31,0.12,0.95,0.98,2.36,8.81亿,12.08亿,929.81亿,7.87
4,5,603799,华友钴业,62.28,0.29,0.18,0.05,0.4,0.99,1.8,3.92亿,15.80亿,984.01亿,24.84
5,6,000060,中金岭南,4.48,0.22,0.01,0.22,0.28,0.88,0.9,0.46亿,37.37亿,167.43亿,12.01
6,7,002203,海亮股份,12.27,0.16,0.02,0.0,0.1,0.94,1.31,0.24亿,19.40亿,238.09亿,19.55
7,8,002340,格林美,7.96,0.13,0.01,0.13,0.4,0.97,0.5,1.62亿,50.75亿,403.95亿,30.48
8,9,000762,西藏矿业,41.86,0.1,0.04,0.05,0.93,0.95,1.63,2.02亿,5.21亿,218.01亿,34.23
9,10,600490,鹏欣资源,3.29,0.0,0.0,0.31,0.38,0.95,0.91,0.25亿,19.93亿,65.56亿,--
10,11,301219,腾远钴业,72.91,-0.04,-0.03,0.0,1.27,0.73,0.84,0.42亿,0.46亿,33.40亿,29.36
11,12,300618,寒锐钴业,43.75,-0.07,-0.03,-0.07,0.38,0.74,0.75,0.46亿,2.73亿,119.27亿,40.05
12,13,300919,中伟股份,73.89,-0.14,-0.1,0.1,1.01,1.13,1.65,1.70亿,2.29亿,168.90亿,34.26
13,14,000426,兴业矿业,7.12,-0.14,-0.01,0.0,0.46,0.74,0.98,0.48亿,14.75亿,105.02亿,42.68
14,15,002266,浙富控股,4.17,-0.24,-0.01,0.0,0.24,0.81,0.72,0.32亿,31.97亿,133.30亿,16.10
15,16,000009,中国宝安,12.89,-0.31,-0.04,0.08,0.42,0.58,1.16,1.38亿,25.51亿,328.88亿,43.32
16,17,000655,金岭矿业,7.69,-0.52,-0.04,0.0,0.28,0.78,1.03,0.13亿,5.95亿,45.78亿,17.21
17,18,300073,当升科技,63.43,-0.53,-0.34,0.03,1.14,1.21,1.57,3.50亿,4.86亿,308.39亿,16.30
18,19,002009,天奇股份,16.14,-0.56,-0.09,-0.06,0.95,1.02,1.36,0.57亿,3.72亿,60.06亿,22.91
19,20,000622,恒立实业,4.85,-0.61,-0.03,0.21,1.0,0.39,0.82,0.21亿,4.25亿,20.62亿,--
20,21,688005,容百科技,75.38,-0.63,-0.48,0.11,0.51,0.81,1.57,1.07亿,2.80亿,211.38亿,27.76
21,22,000688,国城矿业,17.56,-0.68,-0.11,0.06,0.15,0.79,1.53,0.29亿,11.18亿,196.26亿,92.73
22,23,601899,紫金矿业,11.48,-0.78,-0.09,0.09,0.27,0.81,1.21,6.46亿,205.25亿,2356.30亿,13.6
23,24,600711,盛屯矿业,6.32,-0.79,-0.05,0.0,0.92,1.89,1.41,1.63亿,28.00亿,176.96亿,19.19
24,25,300409,道氏技术,16.82,-0.83,-0.14,0.0,1.36,0.93,1.65,1.10亿,4.78亿,80.35亿,48.6
25,26,603993,洛阳钼业,5.86,-0.85,-0.05,0.0,0.39,0.86,2.03,4.03亿,176.66亿,1035.21亿,17.89
26,27,600549,厦门钨业,22.95,-0.91,-0.21,-0.04,1.2,1.42,2.29,3.89亿,14.11亿,323.83亿,22.31
27,28,300477,合纵科技,5.87,-1.34,-0.08,-0.34,2.1,0.97,1.68,1.15亿,9.28亿,54.44亿,44.77
