,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300459,汤姆猫,4.49,15.72,0.61,0.45,16.8,4.36,13.4,22.37亿,30.01亿,134.74亿,29.57
1,2,002425,凯撒文化,5.89,10.09,0.54,0.0,3.32,1.81,10.09,1.83亿,9.56亿,56.31亿,--
2,3,300271,华宇软件,10.21,9.67,0.9,-0.1,8.43,3.12,15.9,5.73亿,6.91亿,70.59亿,--
3,4,600640,国脉文化,12.0,9.19,1.01,0.0,3.38,7.91,11.1,3.15亿,7.96亿,95.48亿,--
4,5,301017,漱玉平民,21.99,7.95,1.62,-0.05,6.23,4.56,5.89,1.48亿,1.09亿,24.04亿,51.42
5,6,301236,软通动力,42.63,6.63,2.65,-0.37,11.61,4.09,7.78,3.97亿,0.82亿,34.95亿,30.21
6,7,002373,千方科技,12.15,5.65,0.65,0.25,1.89,3.08,7.04,3.07亿,13.74亿,166.88亿,--
7,8,300068,南都电源,28.05,5.1,1.36,-0.25,4.58,1.89,6.59,10.48亿,8.34亿,233.99亿,29.92
8,9,002024,ST易购,2.3,5.02,0.11,0.0,0.75,7.42,4.57,1.34亿,78.83亿,181.32亿,--
9,10,002368,太极股份,40.5,4.79,1.85,0.22,3.79,2.2,11.56,8.92亿,5.88亿,238.03亿,153.02
10,11,300078,思创医惠,5.96,4.56,0.26,0.34,9.29,3.94,5.79,4.22亿,7.75亿,46.22亿,824.44
11,12,688246,嘉和美康,39.55,4.11,1.56,0.15,2.82,2.1,5.37,1.09亿,1.00亿,39.50亿,2771.06
12,13,301085,亚康股份,40.55,3.47,1.36,-0.86,21.22,2.05,6.12,2.74亿,0.32亿,12.90亿,42.09
13,14,000034,神州数码,28.09,3.16,0.86,0.79,13.81,6.05,10.5,20.93亿,5.49亿,154.08亿,20.69
14,15,000756,新华制药,27.27,3.06,0.81,0.29,5.57,3.22,3.55,6.62亿,4.41亿,120.15亿,46.97
15,16,300638,广和通,24.01,3.05,0.71,0.13,2.89,2.23,7.21,2.77亿,4.07亿,97.79亿,39.80
16,17,600258,首旅酒店,25.79,2.87,0.72,0.27,0.78,0.99,3.95,2.14亿,10.70亿,276.06亿,--
17,18,600242,*ST中昌,1.44,2.86,0.04,0.0,2.34,1.19,4.29,0.15亿,4.51亿,6.50亿,--
18,19,605136,丽人丽妆,13.6,2.64,0.35,0.15,3.62,2.53,3.47,0.96亿,1.96亿,26.67亿,--
19,20,688100,威胜信息,27.86,2.58,0.7,0.0,0.28,1.31,3.61,0.38亿,4.90亿,136.48亿,36.75
20,21,600126,杭钢股份,4.83,2.55,0.12,0.21,0.53,1.83,3.19,0.86亿,33.77亿,163.12亿,24.66
21,22,603636,南威软件,17.41,2.29,0.39,0.23,2.88,1.11,4.41,2.93亿,5.91亿,102.86亿,--
22,23,600398,海澜之家,5.46,2.06,0.11,-0.37,0.37,1.92,3.55,0.87亿,43.20亿,235.85亿,10.11
23,24,002401,中远海科,17.56,1.97,0.34,0.11,7.8,1.31,7.72,4.98亿,3.66亿,64.18亿,30.28
24,25,600332,白云山,30.77,1.85,0.56,0.03,0.57,2.62,2.38,2.48亿,14.06亿,432.59亿,10.80
25,26,600588,用友网络,25.75,1.82,0.46,0.16,0.56,1.23,3.99,4.85亿,34.17亿,879.85亿,--
26,27,002739,万达电影,14.19,1.79,0.25,-0.07,0.67,1.26,2.87,2.01亿,21.08亿,299.10亿,--
27,28,300212,易华录,27.1,1.76,0.47,-0.07,4.79,2.15,7.85,8.21亿,6.41亿,173.64亿,--
28,29,300251,光线传媒,8.13,1.75,0.14,0.0,0.54,1.67,2.0,1.21亿,27.87亿,226.60亿,176.19
29,30,600986,浙文互联,5.91,1.72,0.1,0.34,3.57,1.85,4.47,2.77亿,13.22亿,78.16亿,46.76
30,31,688608,恒玄科技,142.72,1.65,2.31,-0.22,1.15,1.64,4.8,1.32亿,0.79亿,113.26亿,85.54
31,32,600690,海尔智家,26.69,1.64,0.43,0.08,0.16,1.2,2.06,2.74亿,63.09亿,1683.75亿,16.21
32,33,002027,分众传媒,6.92,1.61,0.11,-0.14,0.4,1.32,3.08,3.99亿,144.42亿,999.40亿,35.18
33,34,600633,浙数文化,9.75,1.56,0.15,0.1,2.31,1.74,3.54,2.83亿,12.66亿,123.41亿,25.80
34,35,300027,华谊兄弟,2.61,1.56,0.04,0.39,1.79,2.0,3.5,1.07亿,23.05亿,60.16亿,--
35,36,300785,值得买,35.24,1.56,0.54,-0.03,5.47,1.12,4.18,1.44亿,0.75亿,26.52亿,133.64
