,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000711,京蓝科技,3.07,5.5,0.16,-0.33,12.81,4.62,10.31,3.27亿,8.20亿,25.19亿,--
1,2,002368,太极股份,40.77,5.49,2.12,-0.2,3.61,2.35,11.56,8.48亿,5.88亿,239.62亿,154.04
2,3,002373,千方科技,12.0,4.35,0.5,0.08,1.6,2.93,5.22,2.59亿,13.74亿,164.82亿,--
3,4,002010,传化智联,6.24,3.65,0.22,0.0,2.09,5.39,5.98,3.52亿,27.00亿,168.45亿,21.66
4,5,002279,久其软件,9.2,3.37,0.3,0.0,13.61,3.09,7.98,9.64亿,7.88亿,72.50亿,--
5,6,002596,海南瑞泽,3.72,3.05,0.11,0.27,4.02,2.73,4.43,1.55亿,10.41亿,38.74亿,201.64
6,7,300374,中铁装配,14.47,2.99,0.42,0.49,4.46,1.83,2.92,1.21亿,1.89亿,27.38亿,--
7,8,002544,普天科技,21.59,2.81,0.59,0.19,0.77,2.07,3.76,1.10亿,6.67亿,143.93亿,91.26
8,9,002116,中国海诚,12.5,2.71,0.33,0.4,5.33,3.39,7.81,2.79亿,4.16亿,52.05亿,23.00
9,10,002567,唐人神,7.93,2.59,0.2,-0.25,1.97,1.88,3.62,1.84亿,11.88亿,94.20亿,240.00
10,11,600135,乐凯胶片,8.39,2.57,0.21,0.12,2.18,4.61,4.77,1.01亿,5.53亿,46.42亿,101.09
11,12,300212,易华录,27.3,2.52,0.67,0.26,4.59,2.32,7.85,7.86亿,6.41亿,174.92亿,--
12,13,600846,同济科技,9.61,2.45,0.23,0.31,0.81,2.68,2.98,0.48亿,6.25亿,60.04亿,24.19
13,14,002310,东方园林,2.2,2.33,0.05,0.46,1.34,3.18,2.33,0.76亿,26.05亿,57.32亿,--
14,15,603138,海量数据,26.78,2.29,0.6,0.3,3.48,2.0,6.3,2.53亿,2.80亿,74.94亿,--
15,16,601633,长城汽车,33.58,2.19,0.72,0.09,0.24,1.71,2.59,5.00亿,61.33亿,2059.29亿,35.20
16,17,600376,首开股份,5.41,2.08,0.11,-0.37,0.47,1.84,3.02,0.66亿,25.80亿,139.55亿,--
17,18,000158,常山北明,6.59,2.01,0.13,1.07,1.25,1.62,3.1,1.27亿,15.81亿,104.20亿,--
18,19,002065,东华软件,6.86,1.93,0.13,0.44,0.89,1.39,2.67,1.74亿,29.04亿,199.23亿,34.10
19,20,300353,东土科技,12.08,1.85,0.22,-0.08,3.75,1.92,6.16,1.99亿,4.39亿,53.02亿,--
20,21,300075,数字政通,21.24,1.82,0.38,0.52,4.36,1.33,3.16,3.80亿,4.15亿,88.18亿,45.44
21,22,603359,东珠生态,11.29,1.8,0.2,0.0,1.54,2.84,3.52,0.78亿,4.46亿,50.36亿,19.77
22,23,600906,财达证券,8.48,1.8,0.15,0.12,2.22,2.65,2.52,2.46亿,13.12亿,111.30亿,55.15
23,24,600803,新奥股份,18.73,1.74,0.31,0.05,0.18,0.93,2.17,0.49亿,14.61亿,273.55亿,13.77
24,25,603903,中持股份,10.0,1.73,0.17,0.1,1.01,3.39,2.34,0.20亿,2.02亿,20.23亿,26.15
25,26,300255,常山药业,5.91,1.72,0.1,0.17,0.4,1.68,1.89,0.22亿,9.32亿,55.06亿,61.59
26,27,600155,华创阳安,7.28,1.53,0.11,0.14,1.1,2.54,1.67,1.39亿,17.40亿,126.64亿,65.39
27,28,300556,丝路视觉,21.88,1.53,0.33,0.05,5.86,1.26,3.62,1.21亿,0.95亿,20.82亿,129.06
28,29,600061,国投资本,6.94,1.46,0.1,0.0,0.23,1.81,2.04,1.01亿,64.25亿,446.56亿,15.64
29,30,600871,石化油服,2.14,1.42,0.03,0.0,0.16,1.33,1.9,0.47亿,135.69亿,290.38亿,110.25
30,31,300495,*ST美尚,2.93,1.38,0.04,0.0,4.92,1.29,4.84,0.76亿,5.21亿,15.25亿,4.14
31,32,603955,大千生态,18.89,1.34,0.25,0.05,0.95,1.86,2.84,0.24亿,1.36亿,25.64亿,205.23
32,33,002431,棕榈股份,3.16,1.28,0.04,0.0,1.38,1.43,1.6,0.63亿,14.58亿,46.08亿,--
33,34,002158,汉钟精机,27.25,1.26,0.34,0.0,0.37,1.14,1.82,0.54亿,5.33亿,145.33亿,23.06
34,35,002421,达实智能,4.1,1.24,0.05,0.0,1.73,1.42,2.72,1.26亿,17.80亿,73.00亿,37.57
35,36,000881,中广核技,8.39,1.21,0.1,0.12,0.98,3.25,2.65,0.64亿,7.76亿,65.11亿,28.16
36,37,300137,先河环保,6.77,1.2,0.08,0.15,1.28,1.14,1.79,0.42亿,4.82亿,32.60亿,121.52
37,38,002775,文科园林,4.31,1.17,0.05,0.0,0.52,1.36,1.17,0.10亿,4.44亿,19.14亿,--
38,39,001979,招商蛇口,14.77,1.16,0.17,0.2,0.16,0.65,3.15,1.83亿,77.38亿,1142.91亿,28.99
39,40,601992,金隅集团,2.62,1.16,0.03,0.0,0.17,1.05,1.93,0.36亿,83.34亿,218.35亿,9.01
40,41,600812,华北制药,6.36,1.11,0.07,-0.16,0.59,2.53,1.11,0.61亿,16.31亿,103.72亿,215.74
41,42,600221,海航控股,1.82,1.11,0.02,0.55,0.18,1.39,2.22,1.08亿,328.73亿,598.28亿,--
42,43,601800,中国交建,9.17,1.1,0.1,-0.11,0.31,1.24,1.76,3.38亿,117.47亿,1077.22亿,7.03
43,44,300579,数字认证,28.55,1.06,0.3,0.49,1.11,1.47,2.76,0.82亿,2.62亿,74.76亿,261.15
44,45,603098,森特股份,28.9,1.01,0.29,0.1,0.15,1.43,1.12,0.23亿,5.39亿,155.71亿,116.60
45,46,002146,荣盛发展,2.14,0.94,0.02,0.0,0.25,0.5,0.94,0.21亿,39.00亿,83.47亿,--
46,47,600482,中国动力,16.5,0.92,0.15,0.0,0.11,0.96,1.28,0.37亿,20.27亿,334.53亿,91.76
47,48,000615,奥园美谷,7.77,0.91,0.07,0.13,1.58,1.0,2.08,0.94亿,7.62亿,59.17亿,--
48,49,000897,津滨发展,2.43,0.83,0.02,0.0,0.39,1.2,1.25,0.15亿,16.17亿,39.30亿,27.36
49,50,300197,节能铁汉,2.44,0.83,0.02,0.41,0.52,0.89,1.24,0.24亿,19.41亿,47.36亿,--
50,51,000709,河钢股份,2.46,0.82,0.02,0.41,0.17,0.66,0.82,0.44亿,103.35亿,254.25亿,16.41
51,52,300608,思特奇,11.14,0.81,0.09,-0.36,5.88,1.04,4.53,1.26亿,1.96亿,21.78亿,--
52,53,000826,启迪环境,3.78,0.8,0.03,0.27,0.41,0.66,0.8,0.22亿,14.31亿,54.08亿,--
53,54,300070,碧水源,5.08,0.79,0.04,0.0,0.41,1.23,1.19,0.56亿,27.27亿,138.52亿,634.82
54,55,300941,创识科技,24.43,0.78,0.19,0.41,2.04,0.97,2.35,0.42亿,0.85亿,20.82亿,70.06
55,56,000778,新兴铸管,3.88,0.78,0.03,0.0,0.32,1.23,1.04,0.48亿,38.96亿,151.17亿,8.43
56,57,000088,盐田港,5.26,0.77,0.04,-0.19,0.07,0.65,0.96,0.09亿,22.49亿,118.31亿,26.01
57,58,000786,北新建材,29.43,0.75,0.22,0.24,0.13,0.67,2.23,0.65亿,16.32亿,480.43亿,15.91
58,59,600340,华夏幸福,2.71,0.75,0.02,0.37,0.52,1.29,1.49,0.54亿,38.93亿,105.12亿,--
59,60,600170,上海建工,2.71,0.74,0.02,0.37,0.15,0.74,1.11,0.35亿,89.04亿,241.31亿,103.88
60,61,300368,汇金股份,6.89,0.73,0.05,0.44,0.72,0.98,2.05,0.26亿,5.19亿,35.75亿,--
61,62,600820,隧道股份,5.54,0.73,0.04,0.18,0.19,0.97,0.91,0.33亿,31.44亿,174.18亿,9.61
62,63,601766,中国中车,5.58,0.72,0.04,0.18,0.08,0.89,0.9,1.04亿,243.28亿,1357.49亿,19.93
63,64,002305,南国置业,2.8,0.72,0.02,0.36,0.79,0.65,1.08,0.38亿,17.33亿,48.51亿,--
64,65,601326,秦港股份,2.87,0.7,0.02,0.0,0.14,1.53,1.4,0.20亿,47.58亿,136.54亿,10.74
65,66,600008,首创环保,2.94,0.69,0.02,0.0,0.22,0.76,0.69,0.48亿,73.41亿,215.81亿,4.98
66,67,600739,辽宁成大,13.5,0.67,0.09,0.07,0.24,1.53,1.04,0.50亿,15.30亿,206.51亿,13.07
67,68,000401,冀东水泥,9.02,0.67,0.06,0.0,0.38,1.23,1.79,0.53亿,15.47亿,139.57亿,11.00
68,69,000958,电投产融,4.55,0.66,0.03,0.0,0.3,1.85,1.55,0.75亿,53.83亿,244.94亿,17.86
69,70,300422,博世科,6.25,0.64,0.04,0.0,0.32,0.82,1.29,0.08亿,3.84亿,24.00亿,--
70,71,600874,创业环保,6.42,0.63,0.04,0.16,0.23,1.36,0.78,0.16亿,10.87亿,69.80亿,11.95
71,72,000965,天保基建,4.92,0.61,0.03,0.0,0.84,0.81,0.82,0.46亿,11.10亿,54.60亿,66.55
72,73,600149,廊坊发展,6.6,0.61,0.05,0.0,0.51,0.69,1.07,0.13亿,3.80亿,25.13亿,--
73,74,600533,栖霞建设,3.84,0.52,0.02,0.0,1.07,1.52,1.83,0.43亿,10.50亿,40.32亿,14.10
74,75,300107,建新股份,5.79,0.52,0.03,0.0,1.04,1.63,1.39,0.20亿,3.37亿,19.54亿,49.21
75,76,000959,首钢股份,3.96,0.51,0.02,0.0,0.08,0.69,1.01,0.19亿,60.13亿,238.13亿,13.05
76,77,600717,天津港,4.21,0.48,0.02,0.0,0.17,0.92,0.95,0.20亿,28.94亿,121.84亿,12.20
77,78,300041,回天新材,19.2,0.47,0.09,-0.05,1.34,1.57,2.88,1.07亿,4.19亿,80.52亿,23.83
78,79,003001,中岩大地,16.44,0.43,0.07,0.12,1.39,1.21,0.92,0.11亿,0.49亿,8.11亿,--
79,80,605303,园林股份,11.8,0.43,0.05,-0.25,0.74,1.52,1.79,0.06亿,0.68亿,8.02亿,--
80,81,000415,渤海租赁,2.4,0.42,0.01,0.0,0.6,1.4,3.35,0.62亿,42.56亿,102.14亿,--
81,82,300021,大禹节水,4.93,0.41,0.02,0.0,0.59,0.52,0.41,0.20亿,7.01亿,34.56亿,69.37
82,83,600751,海航科技,2.5,0.4,0.01,0.0,0.33,1.1,1.21,0.21亿,25.73亿,64.33亿,28.94
83,84,603603,*ST博天,5.02,0.4,0.02,0.0,0.35,0.97,1.6,0.14亿,8.18亿,41.04亿,--
84,85,300140,中环装备,8.2,0.37,0.03,0.24,1.04,0.96,1.96,0.36亿,4.23亿,34.72亿,--
85,86,002459,晶澳科技,60.38,0.37,0.22,0.22,0.24,1.1,2.33,3.35亿,23.43亿,1415.01亿,32.42
86,87,601000,唐山港,2.84,0.35,0.01,0.35,0.18,0.87,0.71,0.30亿,59.26亿,168.30亿,9.11
87,88,600480,凌云股份,8.74,0.34,0.02,0.12,0.22,0.9,0.8,0.17亿,8.61亿,75.20亿,27.69
88,89,002652,扬子新材,2.93,0.34,0.01,0.69,0.66,1.12,1.37,0.10亿,5.12亿,14.99亿,--
89,90,002743,富煌钢构,5.93,0.34,0.02,0.0,0.45,0.75,0.68,0.12亿,4.34亿,25.76亿,25.22
90,91,002573,清新环境,5.95,0.34,0.02,0.0,0.22,0.69,0.84,0.14亿,10.79亿,64.21亿,17.35
91,92,300823,建科机械,18.28,0.33,0.06,-0.06,0.95,0.58,0.71,0.07亿,0.38亿,6.98亿,40.09
92,93,000605,渤海股份,6.58,0.3,0.02,-0.15,0.52,1.01,1.07,0.12亿,3.38亿,22.22亿,165.93
93,94,605081,太和水,16.8,0.3,0.05,0.0,0.46,0.83,0.72,0.07亿,0.85亿,14.35亿,88.95
94,95,300334,津膜科技,6.93,0.29,0.02,0.0,0.35,1.06,1.74,0.07亿,3.02亿,20.93亿,--
95,96,300152,新动力,3.58,0.28,0.01,0.0,1.56,0.79,1.4,0.40亿,7.12亿,25.51亿,193.92
96,97,600206,有研新材,14.51,0.28,0.05,0.21,0.71,0.76,1.31,0.87亿,8.47亿,122.92亿,35.43
97,98,002392,北京利尔,3.89,0.26,0.01,-0.26,0.35,1.04,1.03,0.12亿,8.84亿,34.38亿,12.06
98,99,300929,华骐环保,12.56,0.24,0.03,0.08,0.68,0.81,0.64,0.08亿,0.95亿,11.98亿,29.52
99,100,000652,泰达股份,4.28,0.23,0.01,0.23,0.31,0.87,0.7,0.20亿,14.74亿,63.11亿,34.94
100,101,603569,长久物流,9.86,0.2,0.02,0.1,0.22,0.69,1.52,0.12亿,5.60亿,55.25亿,1368.71
101,102,002204,大连重工,5.79,0.17,0.01,0.0,0.56,0.67,1.21,0.62亿,19.31亿,111.83亿,35.67
102,103,002625,光启技术,18.2,0.17,0.03,0.11,0.33,0.81,1.16,1.06亿,17.77亿,323.45亿,98.81
103,104,601686,友发集团,6.6,0.15,0.01,0.3,0.38,0.91,1.21,0.14亿,5.63亿,37.15亿,98.15
