,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600378,昊华科技,54.6,9.99,4.96,0.0,0.15,1.64,0.0,0.76亿,9.04亿,493.56亿,49.37
1,2,300223,北京君正,86.18,6.79,5.48,0.17,3.27,2.89,7.52,11.28亿,4.10亿,353.49亿,42.54
2,3,688286,敏芯股份,70.31,4.63,3.11,0.27,3.35,1.94,7.54,0.81亿,0.35亿,24.62亿,--
3,4,688123,聚辰股份,95.24,3.73,3.42,0.04,2.77,1.86,7.96,3.14亿,1.21亿,115.15亿,33.42
4,5,688508,芯朋微,79.95,3.29,2.55,0.2,2.12,1.92,5.84,1.20亿,0.72亿,57.18亿,86.16
5,6,300655,晶瑞电材,16.84,2.81,0.46,0.18,4.18,3.82,5.43,3.88亿,5.54亿,93.24亿,67.73
6,7,002137,实益达,8.13,2.52,0.2,0.0,7.25,2.11,4.92,2.27亿,3.91亿,31.75亿,23.32
7,8,300316,晶盛机电,68.68,2.34,1.57,0.03,0.41,1.89,4.28,3.41亿,12.31亿,845.27亿,33.56
8,9,002975,博杰股份,41.28,2.33,0.94,-0.05,1.82,2.0,4.81,0.48亿,0.64亿,26.39亿,26.60
9,10,000100,TCL科技,4.58,2.23,0.1,-0.22,3.2,3.32,3.35,19.97亿,136.52亿,625.27亿,208.94
10,11,688035,德邦科技,68.76,2.17,1.46,0.38,6.67,1.54,4.61,1.35亿,0.29亿,20.27亿,88.43
11,12,600198,大唐电信,7.2,1.98,0.14,0.0,1.05,1.54,3.12,0.66亿,8.80亿,63.39亿,--
12,13,603893,瑞芯微,91.1,1.92,1.72,0.33,0.77,1.42,4.97,2.86亿,4.15亿,378.48亿,103.39
13,14,300101,振芯科技,28.84,1.87,0.53,-0.21,1.02,1.75,3.74,1.66亿,5.62亿,162.20亿,57.32
14,15,300666,江丰电子,81.8,1.85,1.49,0.21,3.13,1.41,5.22,4.48亿,1.76亿,143.74亿,73.00
15,16,002129,TCL中环,43.83,1.81,0.78,0.07,0.84,2.16,2.95,11.87亿,32.30亿,1415.74亿,21.24
16,17,600658,电子城,5.27,1.74,0.09,0.38,1.53,1.75,2.51,0.89亿,11.19亿,58.95亿,101.82
17,18,688372,伟测科技,120.02,1.69,1.99,0.02,3.66,1.1,2.95,0.79亿,0.18亿,21.56亿,47.25
18,19,688019,安集科技,208.1,1.67,3.41,-0.02,0.96,2.03,3.38,1.48亿,0.75亿,155.45亿,56.45
19,20,688072,拓荆科技,282.36,1.57,4.36,-0.13,2.4,1.18,4.73,1.88亿,0.28亿,77.90亿,112.78
20,21,002971,和远气体,26.28,1.51,0.39,-0.04,5.83,2.55,5.56,1.91亿,1.24亿,32.67亿,62.27
21,22,688270,臻镭科技,109.6,1.49,1.61,-0.04,0.83,0.9,4.39,0.56亿,0.62亿,67.83亿,125.7
22,23,688002,睿创微纳,47.57,1.47,0.69,-0.02,0.46,0.8,2.62,0.78亿,3.60亿,171.05亿,87.25
23,24,300180,华峰超纤,4.32,1.41,0.06,0.23,0.54,1.32,1.88,0.33亿,14.33亿,61.89亿,216.27
24,25,300613,富瀚微,67.05,1.28,0.85,0.06,1.59,0.69,3.14,2.31亿,2.16亿,145.11亿,33.23
25,26,603867,新化股份,38.02,1.28,0.48,0.29,1.11,0.8,3.04,0.77亿,1.85亿,70.20亿,21.22
26,27,688521,芯原股份,64.75,1.22,0.78,-0.03,1.56,1.03,5.0,2.11亿,2.09亿,135.13亿,737.54
27,28,688003,天准科技,41.48,1.2,0.49,0.63,0.63,0.71,2.88,0.50亿,1.95亿,80.76亿,203.97
28,29,002371,北方华创,258.81,1.12,2.88,-0.15,0.92,1.14,3.58,12.44亿,5.26亿,1360.82亿,60.85
29,30,002158,汉钟精机,27.21,1.11,0.3,0.0,0.38,1.05,1.82,0.55亿,5.33亿,145.12亿,23.03
30,31,301330,熵基科技,41.73,1.11,0.46,-0.07,6.36,0.85,3.51,0.88亿,0.33亿,13.88亿,34.63
31,32,300661,圣邦股份,176.0,1.07,1.86,0.0,0.39,1.16,3.01,2.30亿,3.38亿,594.38亿,62.80
32,33,600641,万业企业,19.58,1.03,0.2,-0.1,1.55,1.88,3.1,2.83亿,9.31亿,182.22亿,260.02
33,34,300054,鼎龙股份,23.6,1.03,0.24,0.04,0.57,1.01,2.83,1.00亿,7.37亿,173.96亿,56.92
34,35,688362,甬矽电子,27.78,0.98,0.27,0.0,13.1,1.68,4.4,1.66亿,0.46亿,12.66亿,41.24
35,36,300236,上海新阳,36.26,0.97,0.35,-0.11,1.38,1.82,3.68,1.56亿,3.10亿,112.42亿,611.03
36,37,002506,协鑫集成,3.29,0.92,0.03,-0.3,1.29,2.57,3.07,2.51亿,58.49亿,192.45亿,--
37,38,688012,中微公司,113.5,0.92,1.03,0.1,0.72,1.14,1.7,4.96亿,6.08亿,690.10亿,66.15
38,39,600745,闻泰科技,60.41,0.9,0.54,0.1,0.8,1.03,2.87,5.97亿,12.43亿,750.78亿,28.97
39,40,603501,韦尔股份,95.31,0.89,0.84,0.11,0.56,1.29,2.34,6.26亿,11.80亿,1124.40亿,39.37
40,41,002446,盛路通信,10.29,0.88,0.09,-0.1,1.88,1.26,4.12,1.61亿,8.43亿,86.79亿,36.67
41,42,300475,香农芯创,18.52,0.87,0.16,0.11,0.71,2.22,5.94,0.54亿,4.04亿,74.87亿,40.90
42,43,688018,乐鑫科技,116.98,0.74,0.86,-0.01,0.69,0.71,3.01,0.65亿,0.80亿,94.15亿,84.22
43,44,300395,菲利华,48.87,0.72,0.35,-0.25,0.42,0.9,2.1,0.97亿,4.77亿,233.35亿,50.00
44,45,002180,纳思达,57.04,0.69,0.39,0.12,0.32,0.94,2.24,2.16亿,12.06亿,688.18亿,39.04
45,46,600460,士兰微,36.74,0.69,0.25,0.03,0.98,1.34,3.23,5.04亿,14.16亿,520.26亿,50.39
46,47,600667,太极实业,5.99,0.67,0.04,-0.17,1.07,2.18,1.85,1.35亿,21.06亿,126.16亿,--
47,48,688981,中芯国际,43.12,0.61,0.26,0.05,0.34,0.81,0.98,2.85亿,19.57亿,844.03亿,28.12
48,49,600990,四创电子,33.51,0.57,0.19,-0.03,0.56,1.09,1.86,0.39亿,2.07亿,69.34亿,--
49,50,300672,国科微,92.33,0.57,0.52,-0.01,1.41,0.99,3.17,2.26亿,1.74亿,160.90亿,127.44
50,51,688368,晶丰明源,157.38,0.56,0.88,-0.04,1.97,0.98,7.33,1.21亿,0.39亿,61.60亿,--
51,52,300102,乾照光电,7.19,0.56,0.04,0.14,0.7,1.32,2.52,0.45亿,9.01亿,64.82亿,--
52,53,603629,利通电子,18.79,0.54,0.1,-0.05,0.39,0.91,1.77,0.13亿,1.82亿,34.20亿,48.09
53,54,688052,纳芯微,329.43,0.53,1.75,0.4,0.68,0.69,2.66,0.51亿,0.23亿,75.13亿,103.17
54,55,603986,兆易创新,117.33,0.48,0.56,-0.06,1.06,1.33,3.4,8.30亿,6.63亿,778.23亿,28.06
55,56,000725,京东方A,4.28,0.47,0.02,0.0,0.87,1.41,1.88,13.65亿,364.69亿,1560.88亿,23.17
56,57,300303,聚飞光电,4.58,0.44,0.02,0.0,0.96,1.03,1.75,0.55亿,12.53亿,57.41亿,29.55
57,58,000581,威孚高科,18.99,0.42,0.08,0.0,0.18,0.58,0.9,0.29亿,8.24亿,156.52亿,9.29
58,59,002859,洁美科技,32.03,0.34,0.11,-0.13,0.34,0.65,2.57,0.44亿,3.99亿,127.92亿,69.65
59,60,002658,雪迪龙,9.11,0.33,0.03,-0.11,1.08,0.58,0.99,0.34亿,3.45亿,31.41亿,18.70
60,61,300416,苏试试验,30.5,0.33,0.1,0.07,0.22,0.55,1.58,0.26亿,3.89亿,118.54亿,50.07
61,62,600651,飞乐音响,3.56,0.28,0.01,0.0,0.4,0.87,0.84,0.18亿,12.42亿,44.20亿,21.31
62,63,688106,金宏气体,21.68,0.28,0.06,0.05,0.71,1.09,1.9,0.41亿,2.64亿,57.26亿,46.75
63,64,603005,晶方科技,22.11,0.23,0.05,0.14,1.5,0.88,2.18,2.15亿,6.52亿,144.19亿,49.05
64,65,000670,盈方微,8.92,0.23,0.02,0.0,3.83,1.01,2.92,2.07亿,6.10亿,54.40亿,1021.54
65,66,002023,海特高新,9.27,0.22,0.02,-0.22,0.57,1.12,1.08,0.36亿,6.84亿,63.38亿,364.34
66,67,300260,新莱应材,75.34,0.2,0.15,0.07,3.44,1.2,2.65,3.95亿,1.53亿,115.29亿,46.53
67,68,002151,北斗星通,31.65,0.16,0.05,-0.03,1.0,1.14,1.71,1.23亿,3.90亿,123.46亿,104.49
68,69,300671,富满微,48.55,0.14,0.07,0.04,1.55,0.82,3.09,1.63亿,2.17亿,105.36亿,107.15
69,70,002036,联创电子,14.02,0.14,0.02,0.0,1.35,1.21,2.0,1.98亿,10.50亿,147.25亿,55.3
70,71,688126,沪硅产业,21.41,0.14,0.03,0.14,0.35,0.98,2.95,1.19亿,15.86亿,339.63亿,348.27
71,72,300346,南大光电,33.26,0.12,0.04,0.06,1.54,0.95,2.14,2.61亿,5.13亿,170.70亿,64.22
72,73,300046,台基股份,16.82,0.12,0.02,0.06,0.94,0.96,1.84,0.37亿,2.37亿,39.78亿,94.98
