,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600378,昊华科技,54.6,9.99,4.96,0.0,0.15,1.64,0.0,0.76亿,9.04亿,493.56亿,49.37
1,2,300084,海默科技,6.5,3.17,0.2,-0.15,4.89,1.57,5.56,1.04亿,3.30亿,21.43亿,--
2,3,600871,石化油服,2.15,1.9,0.04,0.0,0.17,1.26,1.9,0.49亿,135.69亿,291.74亿,110.76
3,4,600028,中国石化,4.56,1.11,0.05,0.0,0.09,2.54,1.55,3.74亿,951.15亿,4337.27亿,7.24
4,5,601857,中国石油,5.2,0.97,0.05,0.19,0.04,2.17,1.17,3.57亿,1619.22亿,8419.95亿,5.93
5,6,000883,湖北能源,4.39,0.69,0.03,0.0,0.15,0.77,0.92,0.43亿,65.06亿,285.60亿,11.78
6,7,600256,广汇能源,9.84,0.61,0.06,-0.1,0.34,0.65,1.23,2.20亿,65.66亿,646.07亿,5.77
7,8,600739,辽宁成大,13.49,0.6,0.08,-0.15,0.26,1.45,1.04,0.53亿,15.30亿,206.36亿,13.06
8,9,002221,东华能源,9.25,0.54,0.05,-0.11,0.26,0.79,1.41,0.35亿,14.58亿,134.90亿,68.98
9,10,600938,中国海油,16.01,0.44,0.07,0.0,0.83,1.14,0.88,2.33亿,17.50亿,280.20亿,5.25
10,11,300164,通源石油,4.4,0.23,0.01,-0.23,1.1,0.94,1.14,0.23亿,4.85亿,21.34亿,112.16
11,12,002278,神开股份,5.8,0.17,0.01,0.0,0.68,0.8,1.55,0.13亿,3.41亿,19.77亿,378.38
12,13,002353,杰瑞股份,31.8,0.16,0.05,-0.03,0.32,0.56,1.35,0.69亿,6.90亿,219.37亿,16.38
13,14,600509,天富能源,6.77,0.15,0.01,0.3,0.5,0.6,1.18,0.39亿,11.51亿,77.95亿,--
14,15,300072,海新能科,4.48,0.0,0.0,0.0,0.32,0.66,1.34,0.34亿,23.30亿,104.38亿,--
15,16,300191,潜能恒信,19.9,0.0,0.0,0.15,0.27,0.61,0.75,0.12亿,2.20亿,43.79亿,112.12
16,17,002535,ST林重,2.94,0.0,0.0,0.0,1.18,0.76,1.7,0.20亿,5.71亿,16.78亿,188.53
17,18,300309,*ST吉艾,1.14,0.0,0.0,0.0,6.92,0.69,6.14,0.67亿,8.37亿,9.55亿,--
18,19,600157,永泰能源,1.59,0.0,0.0,0.0,0.38,0.81,1.26,1.34亿,222.18亿,353.26亿,17.19
19,20,000407,胜利股份,4.11,0.0,0.0,-0.24,0.57,1.09,0.73,0.21亿,8.76亿,35.99亿,19.17
20,21,000852,石化机械,6.31,-0.16,-0.01,0.0,0.4,0.79,0.95,0.23亿,9.03亿,57.01亿,91.71
21,22,002490,山东墨龙,4.83,-0.21,-0.01,-0.21,1.74,0.4,1.24,0.46亿,5.42亿,26.16亿,--
22,23,002207,准油股份,7.53,-0.27,-0.02,-0.13,1.15,0.84,1.32,0.23亿,2.60亿,19.59亿,553.11
23,24,002478,常宝股份,6.35,-0.31,-0.02,0.16,0.78,1.03,1.73,0.30亿,6.19亿,39.30亿,12.30
24,25,601798,蓝科高新,7.63,-0.65,-0.05,0.0,0.62,1.14,1.43,0.17亿,3.55亿,27.05亿,--
25,26,300332,天壕环境,12.21,-0.65,-0.08,0.0,0.2,0.6,1.38,0.21亿,8.43亿,102.90亿,30.61
26,27,301063,海锅股份,34.6,-0.66,-0.23,0.03,1.21,0.86,2.76,0.17亿,0.41亿,14.19亿,32.03
27,28,002629,仁智股份,4.4,-0.68,-0.03,-0.23,1.15,0.83,1.35,0.17亿,3.45亿,15.16亿,73.69
28,29,300228,富瑞特装,5.85,-0.85,-0.05,0.0,1.35,0.78,1.7,0.43亿,5.43亿,31.76亿,--
29,30,603800,道森股份,32.43,-0.95,-0.31,0.12,0.34,0.74,3.08,0.23亿,2.08亿,67.45亿,80.02
30,31,603699,纽威股份,11.5,-1.12,-0.13,-0.09,0.22,0.63,2.06,0.19亿,7.49亿,86.14亿,18.63
31,32,002828,贝肯能源,9.61,-1.23,-0.12,-0.1,3.76,0.59,1.85,0.54亿,1.51亿,14.49亿,--
32,33,001296,长江材料,21.5,-1.29,-0.28,-0.05,3.52,2.0,1.29,0.29亿,0.38亿,8.17亿,36.66
33,34,300471,厚普股份,14.57,-1.29,-0.19,-0.07,1.43,0.9,2.58,0.71亿,3.37亿,49.14亿,--
34,35,600777,新潮能源,2.62,-1.5,-0.04,0.0,1.62,1.06,1.88,2.72亿,63.66亿,166.79亿,5.05
35,36,300157,恒泰艾普,3.84,-1.54,-0.06,-0.26,1.93,1.13,3.59,0.52亿,6.98亿,26.80亿,--
