,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000529,广弘控股,8.9,6.71,0.56,3.61,3.81,6.16,7.91,1.86亿,5.70亿,50.72亿,5.28
1,2,301073,君亭酒店,70.53,4.17,2.82,-0.31,3.28,1.85,6.0,0.97亿,0.42亿,29.69亿,264.53
2,3,301116,益客食品,16.67,3.09,0.5,-0.24,4.17,2.25,4.14,0.80亿,1.17亿,19.42亿,--
3,4,603339,四方科技,15.21,2.98,0.44,0.26,1.62,4.2,4.26,0.75亿,3.09亿,47.10亿,14.83
4,5,002234,民和股份,21.41,2.69,0.56,0.28,2.49,2.38,4.51,1.36亿,2.56亿,54.87亿,--
5,6,603708,家家悦,12.78,2.49,0.31,-0.16,0.41,1.67,2.73,0.32亿,6.08亿,77.75亿,31.12
6,7,603345,安井食品,172.29,2.07,3.49,0.52,0.34,1.2,2.94,1.71亿,2.93亿,505.32亿,54.97
7,8,605136,丽人丽妆,13.52,2.04,0.27,0.07,2.84,3.91,3.47,0.75亿,1.96亿,26.51亿,--
8,9,002982,湘佳股份,46.58,2.04,0.93,0.56,2.37,2.13,2.89,0.51亿,0.46亿,21.59亿,36.61
9,10,002746,仙坛股份,9.33,1.97,0.18,0.97,0.75,1.93,2.4,0.49亿,7.10亿,66.21亿,58.83
10,11,002567,唐人神,7.88,1.94,0.15,0.0,1.05,1.76,2.2,0.98亿,11.88亿,93.61亿,238.48
11,12,600097,开创国际,10.65,1.82,0.19,0.28,0.53,2.46,2.39,0.14亿,2.41亿,25.66亿,43.60
12,13,000501,武商集团,11.13,1.64,0.18,-0.09,0.51,2.56,2.01,0.43亿,7.68亿,85.49亿,19.35
13,14,002321,ST华英,2.53,1.61,0.04,-0.39,0.27,3.04,2.01,0.14亿,21.29亿,53.85亿,--
14,15,603057,紫燕食品,31.95,1.46,0.46,-0.09,1.81,0.72,1.37,0.24亿,0.42亿,13.42亿,43.38
15,16,600981,汇鸿集团,2.84,1.43,0.04,-0.35,0.42,3.93,2.86,0.27亿,22.42亿,63.69亿,--
16,17,605567,春雪食品,15.24,1.33,0.2,0.07,1.05,1.86,1.2,0.20亿,1.24亿,18.83亿,29.38
17,18,600327,大东方,4.76,1.28,0.06,0.0,0.66,2.98,1.06,0.28亿,8.85亿,42.12亿,18.36
18,19,300999,金龙鱼,45.51,1.2,0.54,0.15,0.48,1.6,1.62,1.19亿,5.43亿,246.96亿,78.64
19,20,000900,现代投资,4.35,1.16,0.05,-0.23,0.28,2.27,1.86,0.19亿,15.18亿,66.02亿,10.98
20,21,002695,煌上煌,13.41,1.13,0.15,0.0,0.62,1.11,2.41,0.38亿,4.64亿,62.27亿,60.99
21,22,002187,广百股份,7.52,1.07,0.08,0.27,0.49,1.46,1.75,0.19亿,5.17亿,38.89亿,--
22,23,002299,圣农发展,23.88,1.01,0.24,0.25,0.19,1.13,1.61,0.55亿,12.30亿,293.69亿,115.87
23,24,600280,中央商场,3.01,1.01,0.03,0.0,0.31,1.57,2.35,0.11亿,11.28亿,33.96亿,186.16
24,25,603336,宏辉果蔬,7.08,1.0,0.07,0.14,0.54,0.94,1.43,0.17亿,4.39亿,31.06亿,45.55
25,26,000417,合肥百货,5.18,0.97,0.05,0.0,0.61,1.31,1.36,0.24亿,7.79亿,40.35亿,15.26
26,27,600965,福成股份,7.46,0.95,0.07,0.13,0.43,1.5,1.22,0.26亿,8.19亿,61.08亿,34.41
27,28,002840,华统股份,18.38,0.93,0.17,0.16,0.42,0.84,1.26,0.36亿,4.63亿,85.04亿,184.24
28,29,600073,上海梅林,8.72,0.93,0.08,0.0,0.88,1.38,1.97,0.71亿,9.38亿,81.77亿,14.79
29,30,000019,深粮控股,7.83,0.9,0.07,0.13,0.4,0.93,1.16,0.13亿,4.16亿,32.59亿,21.26
30,31,002702,海欣食品,6.72,0.9,0.06,0.15,1.17,1.15,1.5,0.30亿,3.86亿,25.95亿,45.24
31,32,605338,巴比食品,34.23,0.88,0.3,-0.06,0.46,0.62,1.44,0.14亿,0.86亿,29.53亿,38.20
32,33,000798,中水渔业,11.49,0.88,0.1,0.17,0.55,0.83,1.49,0.23亿,3.66亿,42.03亿,62.49
33,34,001313,粤海饲料,9.57,0.84,0.08,0.0,0.37,1.34,1.37,0.08亿,2.18亿,20.85亿,113.37
34,35,600650,锦江在线,10.89,0.83,0.09,0.0,0.22,1.37,1.02,0.09亿,3.91亿,42.53亿,8.70
35,36,600811,东方集团,2.53,0.8,0.02,0.0,0.46,2.11,1.59,0.43亿,36.59亿,92.58亿,--
36,37,002726,龙大美食,9.14,0.77,0.07,0.0,0.18,1.1,0.77,0.18亿,10.77亿,98.47亿,150.07
37,38,603170,宝立食品,30.1,0.77,0.23,-0.17,2.1,0.66,1.84,0.25亿,0.40亿,12.04亿,58.84
38,39,000524,岭南控股,11.89,0.76,0.09,0.0,0.6,1.21,1.61,0.48亿,6.70亿,79.67亿,--
