,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002053,云南能投,13.41,7.37,0.92,-0.15,1.74,7.28,10.49,1.75亿,7.61亿,102.05亿,45.14
1,2,832662,方盛股份,8.38,3.58,0.29,0.0,6.78,4.3,3.09,0.11亿,0.20亿,1.68亿,14.80
2,3,000753,漳州发展,4.6,3.37,0.15,0.0,1.89,3.19,4.49,0.86亿,9.91亿,45.61亿,43.35
3,4,688191,智洋创新,16.7,3.34,0.54,0.0,2.41,2.37,5.14,0.28亿,0.71亿,11.90亿,74.56
4,5,002112,三变科技,9.28,2.77,0.25,0.0,13.08,4.73,9.19,3.15亿,2.58亿,23.98亿,82.40
5,6,301155,海力风电,92.81,1.76,1.61,-0.2,2.2,1.84,3.41,1.81亿,0.89亿,82.42亿,62.87
6,7,002576,通达动力,21.52,1.75,0.37,-0.05,12.96,2.13,6.43,4.47亿,1.62亿,34.84亿,54.73
7,8,300353,东土科技,12.03,1.43,0.17,-0.08,3.92,1.79,6.16,2.08亿,4.39亿,52.80亿,--
8,9,000690,宝新能源,6.58,1.39,0.09,0.0,0.42,0.48,2.62,0.60亿,21.74亿,143.08亿,56.45
9,10,001255,博菲电气,49.9,1.38,0.68,-0.04,23.1,1.04,7.11,2.33亿,0.20亿,9.98亿,53.55
10,11,601800,中国交建,9.19,1.32,0.12,0.0,0.33,1.15,1.76,3.52亿,117.47亿,1079.57亿,7.04
11,12,603928,兴业股份,12.35,1.31,0.16,0.0,0.37,1.37,2.13,0.09亿,2.02亿,24.90亿,21.08
12,13,000970,中科三环,14.75,1.3,0.19,0.07,1.89,1.21,2.54,3.37亿,12.16亿,179.32亿,21.82
13,14,600875,东方电气,20.39,1.14,0.23,-0.05,0.92,1.2,3.22,3.71亿,20.15亿,410.89亿,19.08
14,15,688187,时代电气,54.24,1.14,0.61,0.11,0.72,0.97,1.96,0.82亿,2.10亿,113.82亿,36.87
15,16,600483,福能股份,12.6,1.12,0.14,0.0,0.28,0.85,1.85,0.63亿,17.46亿,220.00亿,11.48
16,17,600548,深高速,9.04,1.01,0.09,0.0,0.09,0.86,0.89,0.11亿,14.33亿,129.57亿,7.35
17,18,300274,阳光电源,117.5,0.95,1.11,-0.09,0.64,0.9,2.59,8.38亿,11.29亿,1326.40亿,63.52
18,19,000958,电投产融,4.56,0.89,0.04,0.44,0.32,1.73,1.55,0.78亿,53.83亿,245.48亿,17.9
19,20,000631,顺发恒业,3.76,0.8,0.03,-0.27,0.2,0.83,1.34,0.18亿,24.33亿,91.46亿,60.98
20,21,600169,太原重工,2.55,0.79,0.02,0.39,0.24,0.7,1.19,0.16亿,25.64亿,65.38亿,68.61
21,22,601669,中国电建,7.03,0.72,0.05,0.14,0.43,1.38,0.86,3.32亿,109.91亿,772.70亿,10.54
22,23,601727,上海电气,4.22,0.72,0.03,0.0,0.12,1.4,1.19,0.62亿,126.55亿,534.05亿,--
23,24,000883,湖北能源,4.39,0.69,0.03,0.0,0.15,0.77,0.92,0.43亿,65.06亿,285.60亿,11.78
24,25,000507,珠海港,5.95,0.68,0.04,0.0,0.51,0.78,1.52,0.27亿,9.02亿,53.69亿,19.15
25,26,600744,华银电力,4.46,0.68,0.03,0.0,0.92,1.18,1.58,0.34亿,8.28亿,36.91亿,--
26,27,688186,广大特材,29.93,0.67,0.2,0.0,0.98,1.2,2.39,0.61亿,2.05亿,61.42亿,59.95
27,28,601106,中国一重,3.13,0.64,0.02,-0.32,0.11,0.7,0.96,0.24亿,68.58亿,214.65亿,230.73
28,29,600968,海油发展,3.25,0.62,0.02,-0.31,0.21,1.25,1.86,0.70亿,101.65亿,330.37亿,13.46
29,30,002822,中装建设,5.07,0.59,0.03,-0.2,0.91,0.64,1.79,0.30亿,6.51亿,33.00亿,--
30,31,600578,京能电力,3.39,0.59,0.02,0.3,0.07,0.67,1.19,0.17亿,66.94亿,226.92亿,21.9
31,32,601766,中国中车,5.57,0.54,0.03,0.0,0.08,0.86,0.9,1.13亿,243.28亿,1355.06亿,19.89
32,33,601608,中信重工,3.81,0.53,0.02,0.26,0.11,0.6,0.79,0.18亿,43.39亿,165.33亿,64.21
33,34,600236,桂冠电力,5.72,0.53,0.03,0.18,0.05,0.66,0.88,0.21亿,78.82亿,450.87亿,10.51
34,35,600970,中材国际,9.53,0.53,0.05,0.11,0.48,0.89,1.48,0.80亿,17.43亿,166.07亿,10.35
35,36,002851,麦格米特,30.67,0.46,0.14,-0.07,0.61,1.05,3.01,0.77亿,4.10亿,125.89亿,37.6
36,37,838670,恒进感应,17.84,0.45,0.08,0.0,0.34,1.56,0.62,0.01亿,0.19亿,3.33亿,22.4
37,38,600938,中国海油,16.01,0.44,0.07,0.0,0.83,1.14,0.88,2.33亿,17.50亿,280.20亿,5.25
38,39,688248,南网科技,55.15,0.44,0.24,-0.27,4.64,1.41,4.7,2.03亿,0.81亿,44.84亿,171.8
39,40,600025,华能水电,6.91,0.44,0.03,0.0,0.07,1.26,1.31,0.85亿,180.00亿,1243.80亿,15.64
40,41,300699,光威复材,67.35,0.42,0.28,0.02,0.25,0.5,1.12,0.85亿,5.10亿,343.30亿,37.46
41,42,002671,龙泉股份,4.83,0.42,0.02,0.21,0.5,0.95,0.83,0.11亿,4.58亿,22.12亿,--
42,43,000791,甘肃电投,5.43,0.37,0.02,0.0,0.26,0.73,0.92,0.19亿,13.60亿,73.82亿,17.81
43,44,600642,申能股份,5.6,0.36,0.02,0.0,0.11,0.93,0.72,0.29亿,48.65亿,272.44亿,17.98
44,45,603606,东方电缆,56.89,0.35,0.2,0.05,1.26,1.31,2.42,4.87亿,6.88亿,391.24亿,39.85
45,46,002204,大连重工,5.8,0.35,0.02,0.17,0.6,0.64,1.21,0.67亿,19.31亿,112.02亿,35.73
46,47,600150,中国船舶,23.92,0.34,0.08,0.0,0.55,0.68,1.55,3.21亿,24.43亿,584.44亿,54.84
47,48,603063,禾望电气,30.59,0.29,0.09,-0.03,0.87,1.38,3.28,1.16亿,4.42亿,135.12亿,59.55
48,49,600863,内蒙华电,3.59,0.28,0.01,0.28,0.23,0.4,0.56,0.53亿,65.27亿,234.31亿,11.28
49,50,300481,濮阳惠成,30.54,0.26,0.08,0.07,1.23,0.93,1.58,1.10亿,2.93亿,89.52亿,21.15
50,51,600176,中国巨石,15.42,0.26,0.04,0.07,0.19,0.63,1.43,1.18亿,40.03亿,617.28亿,8.39
51,52,000099,中信海直,7.84,0.26,0.02,-0.13,0.69,1.17,0.9,0.39亿,7.10亿,55.68亿,27.34
52,53,600795,国电电力,3.93,0.26,0.01,0.26,0.31,0.73,1.28,2.16亿,178.36亿,700.94亿,10.36
53,54,002802,洪汇新材,16.17,0.25,0.04,-0.06,0.27,0.52,0.99,0.06亿,1.39亿,22.54亿,27.81
54,55,600758,辽宁能源,4.07,0.25,0.01,0.0,0.37,0.85,0.74,0.20亿,13.21亿,53.75亿,18.82
55,56,688349,三一重能,34.88,0.23,0.08,0.06,0.64,0.93,1.98,0.32亿,1.42亿,49.69亿,29.83
56,57,600540,新赛股份,4.72,0.21,0.01,0.21,0.5,0.94,1.06,0.14亿,5.81亿,27.44亿,--
57,58,002309,ST中利,5.27,0.19,0.01,0.0,1.31,0.81,2.66,0.52亿,7.46亿,39.34亿,--
58,59,301162,国能日新,104.94,0.18,0.19,-0.47,2.47,1.66,5.04,0.45亿,0.18亿,18.61亿,152.76
59,60,600905,三峡能源,5.65,0.18,0.01,0.0,0.58,0.81,0.53,2.81亿,85.71亿,484.26亿,22.78
60,61,002202,金风科技,11.65,0.17,0.02,0.09,0.29,0.94,0.95,1.13亿,33.94亿,395.35亿,15.61
61,62,600098,广州发展,5.9,0.17,0.01,0.0,0.18,0.77,0.51,0.33亿,32.07亿,189.20亿,12.87
62,63,832885,星辰科技,12.33,0.16,0.02,0.0,0.01,0.13,1.79,0.00亿,0.43亿,5.36亿,34.61
63,64,000539,粤电力A,6.52,0.15,0.01,-0.15,0.54,0.62,2.46,0.90亿,25.54亿,166.51亿,--
64,65,002164,宁波东力,6.85,0.15,0.01,0.0,0.86,0.87,0.73,0.28亿,4.81亿,32.94亿,6.70
65,66,000795,英洛华,7.47,0.13,0.01,-0.13,0.49,0.85,1.21,0.41亿,11.34亿,84.69亿,30.10
66,67,605060,联德股份,26.55,0.11,0.03,0.0,0.66,0.68,2.0,0.14亿,0.82亿,21.66亿,26.64
67,68,600956,新天绿能,10.24,0.1,0.01,0.0,0.6,0.77,0.98,0.18亿,2.89亿,29.62亿,19.30
68,69,600089,特变电工,21.2,0.09,0.02,0.09,0.36,0.85,0.85,2.94亿,38.85亿,823.72亿,5.59
69,70,000039,中集集团,7.74,0.0,0.0,0.0,0.38,0.56,1.16,0.67亿,23.01亿,178.13亿,10.04
70,71,000065,北方国际,9.99,0.0,0.0,-0.1,1.17,0.73,2.2,1.06亿,9.05亿,90.44亿,15.05
71,72,000155,川能动力,18.11,0.0,0.0,0.11,0.63,1.07,1.6,1.47亿,12.97亿,234.87亿,46.09
72,73,000767,晋控电力,3.4,0.0,0.0,0.3,0.21,0.57,0.88,0.21亿,29.12亿,99.02亿,164.26
73,74,000875,吉电股份,5.97,0.0,0.0,0.17,0.4,0.77,0.84,0.59亿,24.46亿,146.01亿,15.21
74,75,002046,国机精工,12.97,0.0,0.0,-0.08,1.56,2.01,2.0,1.07亿,5.24亿,68.01亿,25.98
75,76,002176,江特电机,18.53,0.0,0.0,0.11,1.02,1.24,1.83,3.22亿,17.05亿,316.02亿,12.10
76,77,002272,川润股份,7.56,0.0,0.0,-0.13,4.0,0.53,2.38,1.01亿,3.33亿,25.18亿,--
77,78,002545,东方铁塔,9.34,0.0,0.0,-0.11,0.26,0.72,0.96,0.27亿,11.30亿,105.51亿,12.21
78,79,002564,天沃科技,5.34,0.0,0.0,0.19,0.78,0.69,1.12,0.36亿,8.58亿,45.82亿,--
79,80,300105,龙源技术,8.41,0.0,0.0,0.12,1.21,0.57,1.55,0.52亿,5.13亿,43.16亿,45.83
80,81,300185,通裕重工,2.64,0.0,0.0,0.38,0.46,0.8,1.14,0.45亿,37.05亿,97.82亿,44.84
81,82,301090,华润材料,11.04,0.0,0.0,0.09,0.8,0.96,0.81,0.20亿,2.22亿,24.50亿,17.80
82,83,600163,中闽能源,5.68,0.0,0.0,-0.18,0.56,0.49,1.23,0.37亿,11.54亿,65.56亿,17.98
83,84,600396,金山股份,2.66,0.0,0.0,-0.38,0.35,0.65,0.75,0.14亿,14.73亿,39.17亿,--
84,85,600889,南京化纤,5.55,0.0,0.0,0.36,0.36,0.82,1.62,0.07亿,3.66亿,20.33亿,--
85,86,601177,杭齿前进,9.05,0.0,0.0,-0.22,0.26,0.93,0.99,0.09亿,4.00亿,36.21亿,18.76
86,87,601399,国机重装,3.25,0.0,0.0,0.62,0.34,0.92,1.23,0.35亿,31.49亿,102.33亿,55.70
87,88,603356,华菱精工,15.21,-0.07,-0.01,0.33,1.24,1.38,3.55,0.25亿,1.33亿,20.28亿,318.55
88,89,300263,隆华科技,9.05,-0.11,-0.01,0.11,2.67,0.67,3.31,1.87亿,7.72亿,69.86亿,39.96
89,90,300665,飞鹿股份,8.25,-0.12,-0.01,0.0,0.51,1.09,0.85,0.06亿,1.34亿,11.09亿,--
90,91,688660,电气风电,6.72,-0.15,-0.01,0.0,0.73,0.82,1.49,0.25亿,5.17亿,34.76亿,619.01
91,92,000537,广宇发展,12.94,-0.15,-0.02,-0.08,0.2,0.6,1.31,0.47亿,18.63亿,241.01亿,29.02
92,93,000027,深圳能源,6.27,-0.16,-0.01,0.0,0.11,0.73,0.48,0.33亿,47.57亿,298.29亿,13.69
93,94,002015,协鑫能科,11.74,-0.17,-0.02,0.0,0.36,0.48,0.94,0.69亿,16.23亿,190.58亿,21.67
94,95,002205,国统股份,11.69,-0.17,-0.02,0.26,1.67,0.75,2.13,0.36亿,1.86亿,21.73亿,--
95,96,000600,建投能源,5.68,-0.18,-0.01,0.0,0.98,0.65,1.58,0.60亿,10.90亿,61.91亿,26.75
96,97,001258,立新能源,11.28,-0.18,-0.02,0.09,1.59,0.68,0.97,0.42亿,2.33亿,26.32亿,41.97
97,98,601179,中国西电,5.02,-0.2,-0.01,-0.2,0.25,0.78,1.39,0.65亿,51.26亿,257.32亿,41.14
98,99,688226,威腾电气,27.74,-0.22,-0.06,0.07,0.66,0.48,2.12,0.15亿,0.82亿,22.83亿,64.41
99,100,603693,江苏新能,13.5,-0.22,-0.03,-0.07,0.17,0.64,0.96,0.18亿,8.03亿,108.46亿,23.67
100,101,601016,节能风电,3.97,-0.25,-0.01,0.0,0.41,1.23,1.0,0.97亿,59.52亿,236.28亿,14.73
101,102,300850,新强联,58.23,-0.26,-0.15,-0.07,1.33,0.91,2.26,1.53亿,1.99亿,115.82亿,43.15
102,103,000993,闽东电力,10.79,-0.28,-0.03,0.0,0.52,0.59,0.65,0.24亿,4.40亿,47.45亿,17.32
103,104,002060,粤水电,7.2,-0.28,-0.02,0.0,0.67,0.69,0.97,0.58亿,12.02亿,86.54亿,72.92
104,105,002080,中材科技,24.34,-0.29,-0.07,0.04,0.15,0.69,1.27,0.61亿,16.78亿,408.45亿,12.67
105,106,603218,日月股份,23.68,-0.29,-0.07,-0.04,0.23,0.6,1.56,0.53亿,9.68亿,229.13亿,106.95
106,107,300427,红相股份,19.61,-0.3,-0.06,-0.15,0.34,0.69,1.88,0.21亿,3.23亿,63.39亿,69.51
107,108,300830,金现代,9.79,-0.31,-0.03,0.31,2.31,1.01,2.04,0.54亿,2.40亿,23.54亿,--
108,109,300187,永清环保,6.27,-0.32,-0.02,0.32,0.3,0.66,2.38,0.12亿,6.45亿,40.43亿,55.81
109,110,002483,润邦股份,6.12,-0.33,-0.02,0.16,0.74,0.43,1.47,0.40亿,8.85亿,54.18亿,25.65
110,111,600027,华电国际,5.99,-0.33,-0.02,0.0,0.22,0.4,1.33,1.08亿,81.53亿,488.34亿,19.07
111,112,002471,中超控股,2.98,-0.33,-0.01,0.0,1.05,0.79,2.01,0.39亿,12.66亿,37.73亿,--
112,113,002226,江南化工,5.85,-0.34,-0.02,-0.17,1.03,0.95,2.04,1.08亿,17.83亿,104.31亿,13.88
113,114,002441,众业达,11.41,-0.35,-0.04,0.26,2.48,0.81,1.49,1.12亿,3.99亿,45.52亿,14.61
114,115,605056,咸亨国际,13.58,-0.37,-0.05,-0.07,0.32,1.37,1.25,0.07亿,1.56亿,21.22亿,38.00
115,116,600011,华能国际,8.13,-0.37,-0.03,-0.12,0.23,0.62,2.33,2.03亿,109.98亿,894.11亿,--
116,117,301289,国缆检测,45.94,-0.37,-0.17,0.09,2.15,0.96,1.76,0.15亿,0.15亿,6.89亿,41.02
117,118,601218,吉鑫科技,4.32,-0.46,-0.02,-0.23,0.43,0.9,1.15,0.18亿,9.75亿,42.13亿,33.00
118,119,603988,中电电机,10.49,-0.47,-0.05,0.0,0.57,1.43,1.9,0.14亿,2.35亿,24.67亿,46.47
119,120,600290,ST华仪,2.08,-0.48,-0.01,0.0,0.52,1.23,2.39,0.08亿,7.60亿,15.81亿,--
120,121,300772,运达股份,16.58,-0.48,-0.08,0.0,2.22,1.45,2.58,1.71亿,4.69亿,77.70亿,18.99
121,122,603985,恒润股份,26.63,-0.49,-0.13,0.04,0.73,0.72,2.09,0.67亿,3.44亿,91.74亿,155.45
122,123,002552,宝鼎科技,16.22,-0.49,-0.08,0.0,0.37,0.52,1.04,0.14亿,2.31亿,37.52亿,626.39
123,124,600032,浙江新能,12.12,-0.49,-0.06,0.0,1.05,0.89,0.82,0.26亿,2.08亿,25.21亿,21.96
124,125,688585,上纬新材,9.75,-0.51,-0.05,0.0,0.58,0.94,1.84,0.05亿,0.84亿,8.16亿,51.06
125,126,301149,隆华新材,11.59,-0.52,-0.06,0.09,1.24,1.07,0.77,0.27亿,1.85亿,21.46亿,36.82
