,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002722,物产金轮,18.66,10.02,1.7,0.0,17.31,2.48,10.61,5.47亿,1.75亿,32.74亿,38.63
1,2,600666,*ST瑞德,2.84,5.18,0.14,0.0,9.05,12.35,4.82,2.24亿,8.84亿,25.09亿,--
2,3,300084,海默科技,6.5,3.17,0.2,-0.15,4.89,1.57,5.56,1.04亿,3.30亿,21.43亿,--
3,4,002975,博杰股份,41.28,2.33,0.94,-0.05,1.82,2.0,4.81,0.48亿,0.64亿,26.39亿,26.60
4,5,300606,金太阳,15.45,2.18,0.33,0.0,8.91,3.0,5.82,1.60亿,1.16亿,17.95亿,74.89
5,6,688697,纽威数控,30.1,2.14,0.63,0.03,1.72,0.89,5.33,0.40亿,0.79亿,23.67亿,38.89
6,7,603100,川仪股份,37.96,2.04,0.76,-0.05,0.44,1.03,5.43,0.64亿,3.91亿,148.46亿,27.72
7,8,688516,奥特维,204.11,1.99,3.98,0.04,0.86,0.85,3.33,1.31亿,0.75亿,154.06亿,49.86
8,9,002445,中南文化,2.61,1.95,0.05,0.0,1.6,1.81,3.91,0.99亿,23.80亿,62.13亿,64.93
9,10,002434,万里扬,9.78,1.66,0.16,-0.1,1.33,2.86,5.09,1.73亿,13.12亿,128.27亿,37.43
10,11,688071,华依科技,67.46,1.6,1.06,-0.37,1.09,0.99,2.97,0.26亿,0.36亿,24.36亿,143.18
11,12,002248,华东数控,10.48,1.55,0.16,0.19,5.71,2.14,4.17,1.83亿,3.07亿,32.23亿,213.92
12,13,603338,浙江鼎力,61.02,1.53,0.92,-0.05,0.28,0.76,2.1,0.85亿,5.06亿,308.97亿,26.44
13,14,002008,大族激光,30.89,1.51,0.46,0.03,1.99,1.36,2.76,6.00亿,9.79亿,302.48亿,24.05
14,15,002175,东方智造,3.72,1.36,0.05,0.0,0.97,1.5,1.64,0.46亿,12.77亿,47.50亿,83.69
15,16,601618,中国中冶,3.4,1.19,0.04,0.0,0.27,1.54,1.49,1.65亿,178.53亿,606.99亿,7.87
16,17,002526,山东矿机,2.58,1.18,0.03,0.0,1.63,1.75,2.75,0.74亿,17.61亿,45.43亿,24.57
17,18,300391,康跃科技,10.45,1.16,0.12,0.0,1.12,2.0,2.23,0.41亿,3.50亿,36.61亿,100.12
18,19,002296,辉煌科技,9.11,1.11,0.1,0.11,3.24,1.07,2.89,1.01亿,3.46亿,31.51亿,26.34
