,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000032,深桑达A,28.36,3.92,1.07,-0.39,5.91,2.56,12.53,10.69亿,6.45亿,182.85亿,--
1,2,601390,中国中铁,5.98,2.4,0.14,0.17,0.4,1.84,2.4,4.79亿,203.63亿,1217.74亿,4.82
2,3,601186,中国铁建,8.13,2.26,0.18,0.0,0.61,2.5,2.39,5.67亿,115.03亿,935.21亿,4.42
3,4,601333,广深铁路,2.24,1.36,0.03,0.0,0.39,1.48,1.81,0.49亿,56.52亿,126.61亿,--
4,5,601800,中国交建,9.19,1.32,0.12,0.0,0.33,1.15,1.76,3.52亿,117.47亿,1079.57亿,7.04
5,6,603500,祥和实业,14.96,1.22,0.18,0.07,0.84,1.29,4.33,0.31亿,2.43亿,36.31亿,54.83
6,7,300391,康跃科技,10.45,1.16,0.12,0.0,1.12,2.0,2.23,0.41亿,3.50亿,36.61亿,100.12
7,8,002296,辉煌科技,9.11,1.11,0.1,0.11,3.24,1.07,2.89,1.01亿,3.46亿,31.51亿,26.34
8,9,300200,高盟新材,8.16,0.99,0.08,0.0,0.39,1.37,1.49,0.13亿,4.16亿,33.98亿,24.04
9,10,600528,中铁工业,8.31,0.97,0.08,0.0,0.28,1.14,1.22,0.51亿,22.22亿,184.61亿,9.37
10,11,603111,康尼机电,4.79,0.84,0.04,0.0,0.4,0.88,1.68,0.16亿,8.36亿,40.04亿,21.12
11,12,601816,京沪高铁,4.84,0.83,0.04,0.0,0.07,1.11,1.25,1.76亿,491.06亿,2376.75亿,1171.32
12,13,000008,神州高铁,2.52,0.8,0.02,0.0,0.46,0.82,1.2,0.31亿,26.30亿,66.28亿,--
13,14,600169,太原重工,2.55,0.79,0.02,0.39,0.24,0.7,1.19,0.16亿,25.64亿,65.38亿,68.61
14,15,688186,广大特材,29.93,0.67,0.2,0.0,0.98,1.2,2.39,0.61亿,2.05亿,61.42亿,59.95
15,16,605128,上海沿浦,55.04,0.66,0.36,-0.2,1.04,1.2,2.19,0.24亿,0.42亿,22.96亿,92.18
16,17,300644,南京聚隆,17.04,0.65,0.11,-0.06,0.87,1.02,1.24,0.13亿,0.85亿,14.48亿,47.94
17,18,002375,亚厦股份,4.9,0.62,0.03,0.0,0.44,0.95,1.23,0.29亿,13.31亿,65.22亿,21.34
18,19,601002,晋亿实业,4.92,0.61,0.03,0.2,0.27,0.98,0.82,0.11亿,8.53亿,41.95亿,32.69
19,20,300407,凯发电气,8.7,0.58,0.05,-0.34,1.63,1.46,2.66,0.30亿,2.13亿,18.53亿,81.85
20,21,300041,回天新材,19.22,0.58,0.11,0.05,1.39,1.45,2.88,1.11亿,4.19亿,80.60亿,23.86
21,22,601766,中国中车,5.57,0.54,0.03,0.0,0.08,0.86,0.9,1.13亿,243.28亿,1355.06亿,19.89
22,23,000498,山东路桥,8.13,0.49,0.04,0.0,0.63,0.94,1.85,0.75亿,14.58亿,118.53亿,5.07
23,24,603033,三维股份,18.41,0.49,0.09,0.16,0.1,0.56,1.31,0.14亿,7.76亿,142.80亿,83.97
24,25,002298,中电兴发,7.24,0.42,0.03,0.0,3.6,0.93,1.39,1.59亿,6.12亿,44.28亿,30.71
25,26,688009,中国通号,4.98,0.4,0.02,0.0,0.05,0.64,0.81,0.23亿,86.21亿,429.33亿,15.21
26,27,000887,中鼎股份,15.26,0.4,0.06,0.07,0.6,0.69,1.32,1.20亿,13.14亿,200.48亿,20.08
