,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300459,汤姆猫,4.45,14.69,0.57,0.23,15.78,6.38,13.4,21.00亿,30.01亿,133.53亿,29.31
1,2,603927,中科软,35.72,10.01,3.25,0.0,1.88,7.28,11.03,3.86亿,5.94亿,212.03亿,52.15
2,3,300624,万兴科技,53.31,8.35,4.11,-0.93,17.11,3.78,13.72,9.90亿,1.13亿,60.00亿,213.05
3,4,301236,软通动力,41.36,3.45,1.38,-0.17,7.1,3.9,4.1,2.40亿,0.82亿,33.91亿,29.31
4,5,300598,诚迈科技,57.56,2.38,1.34,-0.19,2.4,2.02,3.52,2.18亿,1.60亿,92.14亿,--
5,6,300634,彩讯股份,20.45,2.35,0.47,0.29,3.27,3.0,5.25,2.73亿,4.20亿,85.87亿,42.57
6,7,002261,拓维信息,8.73,2.23,0.19,-0.23,7.7,2.18,4.68,7.45亿,11.16亿,97.42亿,79.95
7,8,002123,梦网科技,16.1,1.96,0.31,0.44,10.97,4.33,8.04,11.67亿,6.68亿,107.59亿,516.64
8,9,300766,每日互动,14.06,1.52,0.21,0.07,5.26,2.27,4.76,2.52亿,3.43亿,48.18亿,201.60
9,10,300036,超图软件,20.97,1.11,0.23,0.05,1.02,1.49,2.27,0.90亿,4.25亿,89.03亿,123.74
10,11,603610,麒盛科技,13.74,1.03,0.14,0.15,2.77,4.49,3.23,0.79亿,2.08亿,28.61亿,22.16
11,12,002212,天融信,12.01,0.92,0.11,0.25,0.73,1.59,2.6,1.01亿,11.68亿,140.25亿,--
12,13,300047,天源迪科,8.22,0.86,0.07,-0.36,9.16,1.66,6.87,4.05亿,5.35亿,43.98亿,92.26
13,14,300663,科蓝软件,16.02,0.44,0.07,0.19,3.01,1.81,4.01,1.86亿,3.85亿,61.74亿,--
14,15,300579,数字认证,28.32,0.25,0.07,-0.04,0.77,1.42,1.95,0.56亿,2.62亿,74.16亿,259.05
15,16,300496,中科创达,100.07,0.17,0.17,-0.13,0.82,1.24,1.89,2.74亿,3.35亿,334.81亿,53.72
16,17,000676,智度股份,6.54,0.15,0.01,-0.31,5.36,2.69,5.51,4.50亿,12.62亿,82.54亿,52.67
17,18,002908,德生科技,17.47,0.0,0.0,0.17,1.11,1.44,2.52,0.41亿,2.14亿,37.36亿,47.06
18,19,300290,荣科科技,5.21,0.0,0.0,0.0,0.85,1.28,1.73,0.28亿,6.24亿,32.49亿,84.14
19,20,003029,吉大正元,38.05,-0.1,-0.04,0.37,2.06,1.55,2.89,0.88亿,1.13亿,43.17亿,--
20,21,000997,新大陆,16.43,-0.3,-0.05,0.18,0.43,0.67,0.85,0.72亿,10.26亿,168.63亿,34.17
21,22,300339,润和软件,26.2,-0.38,-0.1,0.15,3.91,1.27,2.36,7.83亿,7.71亿,202.12亿,129.21
22,23,300941,创识科技,24.13,-0.45,-0.11,-0.12,1.34,0.89,1.4,0.27亿,0.85亿,20.56亿,69.19
23,24,003032,传智教育,18.81,-0.48,-0.09,-0.11,3.18,1.33,3.39,1.05亿,1.74亿,32.75亿,34.27
24,25,301221,光庭信息,45.94,-0.52,-0.24,-0.48,1.23,1.25,1.3,0.24亿,0.43亿,19.90亿,--
25,26,688595,芯海科技,47.01,-0.57,-0.27,-0.53,1.0,1.29,2.64,0.37亿,0.79亿,37.27亿,1568.04
26,27,002599,盛通股份,5.86,-0.68,-0.04,0.0,1.34,0.59,1.52,0.31亿,3.95亿,23.14亿,2140.00
27,28,300608,思特奇,10.97,-0.72,-0.08,-0.18,4.71,1.15,3.44,1.01亿,1.96亿,21.45亿,--
28,29,300674,宇信科技,18.16,-0.82,-0.15,0.39,2.45,1.88,5.3,3.12亿,7.03亿,127.71亿,86.06
29,30,000004,ST国华,9.99,-0.99,-0.1,0.0,0.78,2.21,1.19,0.09亿,1.19亿,11.88亿,--
30,31,300830,金现代,9.72,-1.02,-0.1,-0.21,1.67,1.14,1.43,0.39亿,2.40亿,23.37亿,--
31,32,300531,优博讯,15.68,-1.07,-0.17,0.58,2.51,2.39,2.52,1.24亿,3.15亿,49.46亿,29.05
32,33,002197,证通电子,11.77,-1.09,-0.13,0.0,9.05,2.11,3.36,5.62亿,5.34亿,62.88亿,506.60
33,34,688609,九联科技,8.05,-1.59,-0.13,0.0,3.32,2.37,2.32,0.86亿,3.21亿,25.81亿,63.89
34,35,603496,恒为科技,18.65,-2.05,-0.39,0.11,1.58,3.07,5.36,0.66亿,2.28亿,42.48亿,70.83
35,36,300364,中文在线,13.58,-2.16,-0.3,-0.8,7.9,1.79,4.97,6.97亿,6.50亿,88.28亿,--
36,37,301270,汉仪股份,39.85,-2.47,-1.01,0.25,11.55,1.07,3.92,0.88亿,0.19亿,7.59亿,69.66
37,38,300826,测绘股份,13.75,-2.96,-0.42,-0.07,3.22,2.68,2.61,0.30亿,0.67亿,9.21亿,50.97
38,39,300250,初灵信息,23.14,-5.01,-1.22,-1.32,29.38,2.48,6.53,10.70亿,1.59亿,36.87亿,359.34
