,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600139,*ST西源,0.89,4.71,0.04,0.0,2.94,0.69,1.18,0.17亿,6.62亿,5.89亿,--
1,2,002167,东方锆业,9.77,3.61,0.34,0.51,17.54,1.72,7.0,11.67亿,6.81亿,66.55亿,44.29
2,3,600987,航民股份,8.71,3.44,0.29,0.0,1.06,1.35,4.39,0.89亿,9.69亿,84.44亿,15.45
3,4,600612,老凤祥,49.45,1.98,0.96,0.04,0.16,0.87,2.64,0.25亿,3.17亿,156.81亿,14.31
4,5,002867,周大生,15.96,1.72,0.27,0.19,0.38,1.04,3.06,0.65亿,10.84亿,172.94亿,14.10
5,6,600655,豫园股份,7.88,0.77,0.06,0.0,0.05,0.62,0.77,0.17亿,38.88亿,306.34亿,25.52
6,7,600170,上海建工,2.71,0.74,0.02,0.37,0.17,0.78,1.11,0.41亿,89.04亿,241.31亿,103.88
7,8,600208,新湖中宝,2.72,0.74,0.02,0.0,0.31,0.96,1.11,0.73亿,85.98亿,233.87亿,10.98
8,9,600128,弘业股份,8.9,0.68,0.06,0.11,1.26,1.59,1.24,0.28亿,2.47亿,21.96亿,71.78
9,10,002102,ST冠福,3.08,0.65,0.02,0.33,0.17,0.93,0.98,0.13亿,24.03亿,74.03亿,9.17
10,11,301177,迪阿股份,57.03,0.62,0.35,0.05,1.67,0.57,1.66,0.38亿,0.40亿,22.82亿,22.15
11,12,600824,益民集团,3.66,0.55,0.02,0.0,0.23,0.86,0.82,0.09亿,10.54亿,38.58亿,--
12,13,605599,菜百股份,9.88,0.41,0.04,0.0,0.26,1.16,0.51,0.15亿,5.87亿,57.96亿,16.17
13,14,601212,白银有色,2.76,0.36,0.01,0.36,0.13,0.72,0.73,0.26亿,74.05亿,204.37亿,--
14,15,600766,园城黄金,17.09,0.35,0.06,-0.06,0.96,0.87,2.58,0.37亿,2.24亿,38.27亿,2839.01
15,16,000603,盛达资源,13.7,0.29,0.04,-0.07,0.46,0.68,1.39,0.37亿,5.89亿,80.67亿,32.20
16,17,000060,中金岭南,4.48,0.22,0.01,0.0,0.29,0.86,0.9,0.48亿,37.37亿,167.43亿,12.01
17,18,002345,潮宏基,6.59,0.15,0.01,-0.15,1.18,1.19,3.34,0.68亿,8.68亿,57.19亿,18.70
18,19,600089,特变电工,21.2,0.09,0.02,0.09,0.36,0.85,0.85,2.94亿,38.85亿,823.72亿,5.59
19,20,002237,恒邦股份,11.17,0.0,0.0,0.0,0.54,1.1,1.34,0.55亿,9.10亿,101.69亿,23.77
20,21,603900,莱绅通灵,6.95,0.00,0.00,0.14,0.41,0.63,0.72,0.10亿,3.40亿,23.66亿,444.84
21,22,000587,*ST金洲,--,--,--,--,--,--,--,--,12.13亿,8.73亿,--
22,23,600489,中金黄金,8.48,-0.12,-0.01,0.12,0.20,0.62,1.06,0.74亿,43.63亿,369.95亿,17.96
23,24,600547,山东黄金,19.12,-0.16,-0.03,0.05,0.21,0.82,0.84,1.46亿,36.14亿,691.08亿,92.57
24,25,000546,金圆股份,12.64,-0.16,-0.02,0.08,0.83,0.95,1.26,0.75亿,7.11亿,89.93亿,32.93
25,26,600531,豫光金铅,5.77,-0.17,-0.01,0.00,0.56,0.97,0.86,0.35亿,10.90亿,62.91亿,17.41
26,27,600988,赤峰黄金,18.80,-0.21,-0.04,0.11,0.72,0.92,1.59,2.23亿,16.64亿,312.81亿,59.23
27,28,600916,中国黄金,12.71,-0.24,-0.03,0.08,0.70,0.74,0.55,0.73亿,8.22亿,104.50亿,26.08
28,29,600807,济南高新,3.55,-0.28,-0.01,0.00,0.41,1.08,1.12,0.11亿,7.87亿,27.94亿,--
29,30,600490,鹏欣资源,3.28,-0.30,-0.01,0.00,0.39,0.93,0.91,0.26亿,19.93亿,65.36亿,--
30,31,000025,特力A,19.64,-0.3,-0.06,0.0,0.86,0.67,1.57,0.66亿,3.93亿,77.14亿,102.22
31,32,300256,ST星星,3.08,-0.32,-0.01,0.33,0.54,0.87,0.97,0.25亿,14.93亿,45.99亿,5.99
32,33,300139,晓程科技,8.7,-0.34,-0.03,-0.12,0.88,0.8,1.49,0.18亿,2.34亿,20.33亿,--
33,34,002476,宝莫股份,5.68,-0.35,-0.02,0.0,0.47,0.85,1.23,0.16亿,6.12亿,34.76亿,82.87
34,35,601168,西部矿业,11.28,-0.35,-0.04,0.09,0.63,0.95,1.32,1.68亿,23.83亿,268.80亿,8.42
35,36,603979,金诚信,30.34,-0.36,-0.11,-0.03,0.43,0.93,2.66,0.78亿,6.02亿,182.58亿,30.99
36,37,000017,深中华A,5.0,-0.4,-0.02,0.0,3.47,0.95,2.19,0.53亿,3.03亿,15.15亿,2132.71
37,38,002731,萃华珠宝,16.26,-0.43,-0.07,0.06,0.36,0.49,0.61,0.14亿,2.39亿,38.90亿,90.49
38,39,002715,登云股份,18.03,-0.5,-0.09,0.11,0.46,1.21,2.21,0.11亿,1.38亿,24.88亿,--
39,40,002574,明牌珠宝,7.7,-0.52,-0.04,-0.13,2.82,0.55,2.58,1.15亿,5.28亿,40.66亿,48.08
40,41,601899,紫金矿业,11.49,-0.69,-0.08,0.09,0.28,0.79,1.21,6.67亿,205.25亿,2358.36亿,13.61
41,42,300945,曼卡龙,14.79,-0.74,-0.11,-0.07,1.76,0.54,1.61,0.20亿,0.77亿,11.34亿,55.78
42,43,000688,国城矿业,17.53,-0.79,-0.14,0.0,0.15,0.76,1.53,0.30亿,11.18亿,195.92亿,92.57
43,44,000630,铜陵有色,3.37,-0.88,-0.03,0.3,0.72,1.11,1.47,2.54亿,105.26亿,354.74亿,14.30
44,45,601069,西部黄金,13.23,-0.9,-0.12,-0.08,0.58,1.03,1.57,0.49亿,6.36亿,84.14亿,137.68
45,46,600711,盛屯矿业,6.31,-0.94,-0.06,0.0,0.95,1.83,1.41,1.68亿,28.00亿,176.68亿,19.16
46,47,002716,金贵银业,3.15,-0.94,-0.03,0.0,0.44,0.89,1.26,0.30亿,21.81亿,68.70亿,--
47,48,603993,洛阳钼业,5.85,-1.01,-0.06,0.0,0.4,0.83,2.03,4.13亿,176.66亿,1033.45亿,17.86
48,49,000506,中润资源,3.58,-1.1,-0.04,-0.28,1.27,1.09,1.38,0.42亿,9.29亿,33.25亿,11.98
49,50,601028,玉龙股份,13.91,-1.14,-0.16,0.0,2.31,1.03,2.2,2.53亿,7.83亿,108.92亿,58.75
50,51,000878,云南铜业,13.17,-1.27,-0.17,0.08,1.05,0.99,1.72,2.34亿,17.00亿,223.84亿,13.36
51,52,600362,江西铜业,19.78,-1.3,-0.26,0.15,0.69,1.31,1.45,2.84亿,20.75亿,410.48亿,10.86
52,53,000975,银泰黄金,11.91,-1.33,-0.16,-0.08,0.77,1.08,1.91,2.25亿,24.46亿,291.34亿,26.67
53,54,002721,金一文化,3.5,-1.69,-0.06,0.0,1.01,0.54,1.97,0.34亿,9.60亿,33.60亿,--
54,55,601020,华钰矿业,16.54,-2.36,-0.4,0.0,2.95,1.07,3.96,2.76亿,5.62亿,93.01亿,49.43
55,56,600311,*ST荣华,0.94,-3.09,-0.03,0.0,7.21,2.08,5.16,0.45亿,6.66亿,6.26亿,--
56,57,002155,湖南黄金,17.37,-3.55,-0.64,0.0,1.81,0.88,3.05,3.81亿,12.02亿,208.77亿,44.70
