,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000711,京蓝科技,3.08,5.84,0.17,0.33,12.74,4.77,10.31,3.25亿,8.20亿,25.27亿,--
1,2,600095,湘财股份,9.89,5.66,0.53,-0.1,8.37,4.36,9.19,9.20亿,11.30亿,111.77亿,--
2,3,600666,*ST瑞德,2.84,5.18,0.14,0.0,8.92,14.18,4.82,2.21亿,8.84亿,25.09亿,--
3,4,603567,珍宝岛,13.75,3.38,0.45,0.51,0.58,1.82,3.31,0.74亿,9.42亿,129.43亿,63.24
4,5,600829,人民同泰,6.92,2.06,0.14,0.0,1.0,3.37,2.21,0.40亿,5.80亿,40.13亿,15.59
5,6,600664,哈药股份,3.24,1.89,0.06,0.0,1.4,4.23,3.15,1.14亿,25.17亿,81.54亿,19.00
6,7,002737,葵花药业,24.14,1.69,0.4,-0.21,0.9,1.5,3.45,1.26亿,5.84亿,140.98亿,20.77
7,8,600182,S*ST佳通,14.97,1.63,0.24,-0.2,0.69,3.37,2.31,0.17亿,1.70亿,25.45亿,208.62
8,9,600187,国中水务,2.9,1.4,0.04,0.0,1.41,1.29,1.75,0.66亿,16.14亿,46.80亿,--
9,10,600864,哈投股份,5.09,1.39,0.07,0.0,0.47,1.89,2.39,0.50亿,20.81亿,105.90亿,--
10,11,002437,誉衡药业,2.67,1.14,0.03,-0.37,1.17,1.67,2.27,0.68亿,21.91亿,58.49亿,146.21
11,12,300900,广联航空,33.65,1.05,0.35,0.0,1.89,1.2,2.46,0.78亿,1.22亿,41.14亿,70.52
12,13,002698,博实股份,17.16,1.0,0.17,-0.23,0.23,0.64,1.88,0.32亿,8.04亿,137.95亿,30.77
13,14,601106,中国一重,3.14,0.96,0.03,0.32,0.1,0.77,0.96,0.22亿,68.58亿,215.33亿,231.47
14,15,605577,龙版传媒,10.89,0.93,0.1,0.09,0.83,1.92,1.95,0.17亿,1.88亿,20.51亿,12.83
15,16,600811,东方集团,2.53,0.8,0.02,0.4,0.51,1.38,1.59,0.47亿,36.59亿,92.21亿,--
16,17,600179,安通控股,3.5,0.57,0.02,0.29,0.22,1.14,1.15,0.28亿,36.62亿,128.19亿,6.73
17,18,688011,新光光电,26.93,0.48,0.13,0.04,0.83,0.79,1.6,0.11亿,0.51亿,13.76亿,451.69
18,19,600726,*ST华源,2.55,0.39,0.01,0.0,0.11,0.98,1.18,0.04亿,15.35亿,39.13亿,--
19,20,601188,龙江交通,3.15,0.32,0.01,0.0,0.13,0.67,0.95,0.05亿,13.16亿,41.45亿,19.39
20,21,600038,中直股份,45.79,0.28,0.13,-0.07,0.34,0.76,1.16,0.91亿,5.89亿,269.98亿,423.96
21,22,600853,龙建股份,4.11,0.24,0.01,-0.24,0.88,0.74,1.71,0.37亿,10.05亿,41.30亿,19.03
22,23,603023,威帝股份,4.32,0.23,0.01,0.00,0.36,1.12,0.70,0.09亿,5.62亿,24.23亿,984.04
23,24,600598,北大荒,14.21,0.21,0.03,0.00,0.35,0.76,0.56,0.89亿,17.78亿,252.61亿,14.71
24,25,002900,哈三联,13.70,0.07,0.01,0.00,0.73,1.04,0.95,0.17亿,1.65亿,22.64亿,152.46
25,26,601011,宝泰隆,3.73,0.00,0.00,0.00,0.33,1.00,0.80,0.23亿,19.16亿,71.45亿,48.29
26,27,688459,哈铁科技,9.27,0.00,0.00,0.00,0.80,0.94,0.43,0.06亿,0.83亿,7.68亿,681.82
27,28,600289,ST信通,2.84,0.00,0.00,0.00,0.32,1.06,0.70,0.05亿,5.66亿,16.07亿,--
28,29,000587,*ST金洲,--,--,--,--,--,--,--,--,12.13亿,8.73亿,--
29,30,000985,大庆华科,18.80,-0.05,-0.01,0.11,0.41,1.07,1.54,0.10亿,1.30亿,24.37亿,82.24
30,31,301227,森鹰窗业,33.3,-0.12,-0.04,0.18,1.34,0.81,3.21,0.09亿,0.21亿,7.00亿,27.33
31,32,600178,东安动力,6.9,-0.14,-0.01,0.0,0.27,0.81,1.16,0.09亿,4.62亿,31.88亿,22.88
32,33,600202,哈空调,5.69,-0.17,-0.01,0.0,0.99,1.71,1.58,0.22亿,3.83亿,21.81亿,45.79
33,34,600356,恒丰纸业,8.56,-0.35,-0.03,-0.12,0.38,0.68,1.51,0.10亿,2.99亿,25.57亿,20.26
34,35,600371,万向德农,13.62,-0.37,-0.05,-0.07,1.03,0.55,0.73,0.41亿,2.93亿,39.85亿,54.12
35,36,000922,佳电股份,10.65,-0.56,-0.06,0.0,0.45,0.91,2.15,0.28亿,5.85亿,62.32亿,19.88
36,37,600705,中航产融,4.45,-0.67,-0.03,0.0,1.0,0.94,1.34,3.95亿,88.04亿,391.80亿,15.73
37,38,000901,航天科技,9.77,-1.21,-0.12,0.0,1.8,1.35,2.23,1.41亿,7.98亿,77.98亿,230.59
38,39,300040,九洲集团,6.68,-1.91,-0.13,0.0,1.44,1.8,3.08,0.45亿,4.62亿,30.84亿,23.65
39,40,300489,光智科技,18.62,-2.51,-0.48,-0.43,0.9,1.13,3.46,0.23亿,1.35亿,25.22亿,--
